comparison,density_diff,density_rel_effect,mean_weight_diff,mean_weight_rel_effect,median_weight_diff,median_weight_rel_effect,std_weight_diff,std_weight_rel_effect,mean_abs_weight_diff,mean_abs_weight_rel_effect,frac_positive_diff,frac_positive_rel_effect,frac_negative_diff,frac_negative_rel_effect,pre_n_years,post_n_years,country,sector,top_k
post_minus_pre,0.0002700972862263139,0.012012524907486274,-0.006894027008161885,-0.0072775883282655595,-0.0013029585083159656,-0.001361559685942143,0.012108055573387039,0.293393750803634,-0.006894027008161885,-0.0072775883282655595,0.0,0.0,0.0,,4,5,FR,LZ,5
2020_minus_pre,0.0001984126984126977,0.008824366638200937,-0.01366171615015277,-0.014421809760930692,-0.012559149231452849,-0.013124002931895905,0.004772569269324421,0.11564548827930057,-0.01366171615015277,-0.014421809760930692,0.0,0.0,0.0,,4,1,FR,LZ,5
post_minus_pre,0.0007181259600614436,0.03210300429184548,-0.011065625297148829,-0.011592207364098602,-0.002310331286432432,-0.002390561040830852,0.020065489903682433,0.48286558322239354,-0.011065625297148829,-0.011592207364098602,0.0,0.0,0.0,,4,5,FR,MN,5
2020_minus_pre,0.0005184331797235056,0.023175965665236203,-0.014917988946160476,-0.015627894192638245,-0.01274683733958204,-0.013189490579451579,0.011066255397596411,0.2663036832042514,-0.014917988946160476,-0.015627894192638245,0.0,0.0,0.0,,4,1,FR,MN,5
post_minus_pre,0.0010061443932411693,0.04540727902946282,0.0003377897040263145,0.00035770806023425507,0.017796981856538108,0.018713497556187498,0.029312771901945173,0.8017553671148592,0.0003377897040263145,0.00035770806023425507,0.0,0.0,0.0,,4,5,FR,OQ,5
2020_minus_pre,0.000166410650281619,0.007510109763142736,-0.006762865950390218,-0.007161650079630377,-0.00014191611063296694,-0.0001492245601485521,0.010777848743546543,0.29479293548206403,-0.006762865950390218,-0.007161650079630377,0.0,0.0,0.0,,4,1,FR,OQ,5
post_minus_pre,0.00115463389656938,0.05116279069767439,0.0027856171021306553,0.002915103148719907,0.012638088643005307,0.013044154504624221,0.02120300481549442,0.4951500536288668,0.0027856171021306553,0.002915103148719907,0.0,0.0,0.0,,4,5,FR,RU,5
2020_minus_pre,0.0006016385048643116,0.026659103800340343,0.0022009408206609127,0.0023032488964644044,0.004360683129155496,0.004500793283634244,0.004032485182178913,0.09416991938587833,0.0022009408206609127,0.0023032488964644044,0.0,0.0,0.0,,4,1,FR,RU,5
post_minus_pre,0.014045584045584064,0.08664323374340961,0.03323894758592416,0.0417056114164001,0.06920127174205082,0.08403244399086318,0.03885449614312714,0.28928711550500114,0.03323894758592416,0.0417056114164001,0.0,0.0,0.0,,9,5,NL,BE,5
2020_minus_pre,0.0007122507122507282,0.004393673110720662,-0.03032023675934825,-0.038043443134587136,-0.009904847238126013,-0.012027647755931452,0.019083715380412702,0.14208582078073229,-0.03032023675934825,-0.038043443134587136,0.0,0.0,0.0,,9,1,NL,BE,5
post_minus_pre,0.004188034188034179,0.02431761786600491,-0.0008248471412733993,-0.000948178580596,0.0064808683895308805,0.0071001343146145915,0.004506556542370782,0.0359449222852983,-0.0008248471412733993,-0.000948178580596,0.0,0.0,0.0,,9,5,NL,FZ,5
2020_minus_pre,0.004700854700854712,0.027295285359801552,-0.0019689161495972662,-0.002263309195877895,0.013741446740989094,0.01505448215793931,0.018003858673509815,0.1436012828798009,-0.0019689161495972662,-0.002263309195877895,0.0,0.0,0.0,,9,1,NL,FZ,5
post_minus_pre,-0.0027920227920228136,-0.01569255404323471,0.08933895519213075,0.10569229512521261,0.06275538364729893,0.06999140566392936,-0.07220454716222387,-0.486611686357459,0.08933895519213075,0.10569229512521261,0.0,0.0,0.0,,9,5,NL,GI,5
