country,sector,eval_year,observation_year_last,period,top_k,n_regions,n_possible_pairs,n_edges_valid,density,mean_weight,median_weight,std_weight,p10_weight,p25_weight,p75_weight,p90_weight,frac_positive,frac_negative,frac_near_zero,mean_abs_weight,turnover,jaccard_consecutive,pair_resample_mean_weight_p025,pair_resample_mean_weight_p975,pair_resample_density_p025,pair_resample_density_p975,pair_resample_n,pair_resample_frac,pair_resample_seed,mean_weight_abs_change,mean_weight_rel_change,median_weight_abs_change,median_weight_rel_change,density_abs_change,density_rel_change,mean_abs_weight_abs_change,mean_abs_weight_rel_change
FR,MN,2018,2017,pre-2020,5,280,39060,879,0.02250384024577573,0.944310027881358,0.9592267146024444,0.048488986777398865,0.8754747169381846,0.9308853267299242,0.9762457616543072,0.9858003571333059,1.0,0.0,0.0,0.944310027881358,0.7534246575342466,0.2465753424657534,0.9409189306575862,0.9479372479040216,0.02105654761904762,0.023939932155657963,200,0.8,42,-0.03266818331794441,-0.03343798555941402,-0.02675024817501026,-0.02713070303352318,0.000742447516641067,0.03411764705882362,-0.03266818331794441,-0.03343798555941402
FR,MN,2019,2018,pre-2020,5,280,39060,867,0.02219662058371736,0.9455220667158241,0.9545280092443064,0.041877556857111,0.8994516957514295,0.9280094614987974,0.9727362167665418,0.9856488729309997,1.0,0.0,0.0,0.9455220667158241,0.7900207900207901,0.20997920997921,0.9423872346881879,0.9487745766547079,0.020734927035330263,0.023816724270353303,200,0.8,42,0.0012120388344660782,0.0012835179111519055,-0.004698705358137989,-0.004898430461338212,-0.00030721966205837087,-0.013651877133105762,0.0012120388344660782,0.0012835179111519055
FR,MN,2020,2019,pre-2020,5,280,39060,899,0.023015873015873017,0.9514876074790792,0.966024086973551,0.0512842105375693,0.9064740052044782,0.9402087858620656,0.980323047445578,0.9898513940952703,1.0,0.0,0.0,0.9514876074790792,0.7912388774811773,0.20876112251882273,0.9481235930935511,0.9553310543530459,0.021276561699948796,0.024546370967741937,200,0.8,42,0.005965540763255173,0.0063092559901598904,0.011496077729244658,0.012043730113635983,0.000819252432155658,0.03690888119953863,0.005965540763255173,0.0063092559901598904
FR,MN,2021,2020,2020,5,280,39060,894,0.022887864823348696,0.9396564893727304,0.9536921060598571,0.05262127733512155,0.873477362396798,0.9238653710396336,0.9743800031575323,0.9873705204046831,1.0,0.0,0.0,0.9396564893727304,0.7574497574497574,0.24255024255024255,0.9357447804324531,0.9437842276062471,0.02118535586277522,0.02461197516641065,200,0.8,42,-0.011831118106348848,-0.0124343375713477,-0.012331980913693918,-0.01276570748078206,-0.00012800819252432177,-0.005561735261401566,-0.011831118106348848,-0.0124343375713477
FR,MN,2022,2021,post-2020,5,280,39060,907,0.02322068612391193,0.9370585085547286,0.9591692240268211,0.06165104109133435,0.8516084743897998,0.9196988102420787,0.9779694766599547,0.9877160654570087,1.0,0.0,0.0,0.9370585085547286,0.822875816993464,0.17712418300653596,0.9323920836450184,0.9411845721051377,0.021502976190476194,0.024609575012800818,200,0.8,42,-0.002597980818001777,-0.0027648197478379196,0.00547711796696404,0.005743067319276182,0.00033282130056323453,0.014541387024608434,-0.002597980818001777,-0.0027648197478379196
FR,MN,2023,2022,post-2020,5,280,39060,896,0.022939068100358423,0.9378776895454587,0.9571248213819312,0.05995885287302824,0.8649285116707137,0.9172976147459204,0.977958164224765,0.989031740193925,1.0,0.0,0.0,0.9378776895454587,0.7907444668008048,0.20925553319919518,0.9337307531851047,0.9426346559080642,0.02124935995903738,0.02467357910906298,200,0.8,42,0.000819180990730084,0.000874204740954273,-0.00204440264488992,-0.0021314306106559903,-0.0002816180235535072,-0.01212789415656008,0.000819180990730084,0.000874204740954273
FR,MN,2024,2023,post-2020,5,280,39060,917,0.023476702508960574,0.9431487851411843,0.968250935416027,0.07092007800215304,0.8670356182326202,0.9354124892442208,0.9832950851539896,0.9912343873763519,1.0,0.0,0.0,0.9431487851411843,0.8064516129032258,0.1935483870967742,0.9386504096672086,0.9484350361669972,0.02192060291858679,0.02506160394265233,200,0.8,42,0.005271095595725583,0.005620237750063352,0.011126114034095802,0.011624517289219935,0.0005376344086021508,0.02343750000000001,0.005271095595725583,0.005620237750063352
FR,MN,2025,2024,post-2020,5,280,39060,889,0.022759856630824374,0.9493933781952643,0.9706788221957092,0.060917041879520815,0.8800287287521915,0.9391409438544863,0.9863627399269812,0.9925064687993003,1.0,0.0,0.0,0.9493933781952643,0.7992021276595744,0.20079787234042554,0.9451043137896622,0.9534519195277925,0.02114695340501792,0.02435515873015873,200,0.8,42,0.006244593054079983,0.006621005245895748,0.002427886779682198,0.0025074974790899747,-0.0007168458781361998,-0.030534351145038132,0.006244593054079983,0.006621005245895748
FR,MN,2026,2025,post-2020,5,280,39060,900,0.02304147465437788,0.9500659036720746,0.9654192575445445,0.05465554536000145,0.8936450028459016,0.9411713837277211,0.9814492044385625,0.9905308634762046,1.0,0.0,0.0,0.9500659036720746,0.7993288590604026,0.20067114093959731,0.9459823258668881,0.9537100108212307,0.021344566052227343,0.024645577316948285,200,0.8,42,0.0006725254768102928,0.0007083738861637318,-0.005259564651164728,-0.005418439684578067,0.0002816180235535072,0.012373453318335198,0.0006725254768102928,0.0007083738861637318
FR,OQ,2017,2016,pre-2020,5,280,39060,847,0.021684587813620072,0.9763483205172967,0.9804079941020115,0.018902128574800118,0.9489203026603471,0.9664974337711558,0.9911684543696815,0.9965216225641689,1.0,0.0,0.0,0.9763483205172967,,,0.9751372600677226,0.9774747716669924,0.02006448412698413,0.023366295442908348,200,0.8,42,,,,,,,,
