country,sector,eval_year,density_k3,mean_weight_k3,n_edges_k3,density_k5,mean_weight_k5,n_edges_k5,density_k10,mean_weight_k10,n_edges_k10
NL,GI,2020,0.1076923076923077,0.9433920075330959,84,0.1794871794871795,0.9261455174986245,140,0.34615384615384615,0.8927182714176882,270
NL,GI,2021,0.10384615384615385,0.9515775837730704,81,0.17051282051282052,0.9363333726364483,133,0.33589743589743587,0.9006743547561851,262
NL,GI,2022,0.1076923076923077,0.9413763427107058,84,0.17051282051282052,0.9253983054844913,133,0.3435897435897436,0.8907238471530942,268
NL,GI,2023,0.1076923076923077,0.9528101284768105,84,0.17051282051282052,0.9423756705877677,133,0.3384615384615385,0.9178014153090269,264
NL,GI,2024,0.11282051282051282,0.9515641438781594,88,0.1782051282051282,0.940992193298377,139,0.3487179487179487,0.9171930091548617,272
NL,GI,2025,0.11153846153846154,0.9488549981612089,87,0.18461538461538463,0.9331095874359734,144,0.358974358974359,0.9082601006972866,280
NL,GI,2026,0.1,0.9479918095979537,78,0.1717948717948718,0.9311893087901898,134,0.34615384615384615,0.9020550692658148,270
NL,JZ,2012,0.10128205128205128,0.9078462267494967,79,0.16025641025641027,0.8636244825605067,125,0.33589743589743587,0.7663784641978175,262
NL,JZ,2013,0.1,0.8395124731898859,78,0.16538461538461538,0.8002012301419338,129,0.3435897435897436,0.6946466109120478,268
NL,JZ,2014,0.1,0.8201536548385047,78,0.17307692307692307,0.7719082095376792,135,0.33974358974358976,0.6731252833936642,265
NL,JZ,2015,0.1,0.8416999975798627,78,0.1641025641025641,0.7886494030414013,128,0.3371794871794872,0.6706021148964728,263
NL,JZ,2016,0.09487179487179487,0.8439451229812773,74,0.16282051282051282,0.7854112003227061,127,0.3282051282051282,0.6666445551714685,256
NL,JZ,2017,0.09871794871794871,0.8082166513247482,77,0.15897435897435896,0.7396658158516369,124,0.31794871794871793,0.6035725035091307,248
NL,JZ,2018,0.10256410256410256,0.8118050255518838,80,0.16153846153846155,0.7535577148866581,126,0.31666666666666665,0.6144181484398744,247
NL,JZ,2019,0.09487179487179487,0.8244672432842427,74,0.16282051282051282,0.7575570741335752,127,0.31666666666666665,0.6299552801659173,247
NL,JZ,2020,0.10128205128205128,0.8417968921254262,79,0.1564102564102564,0.7893736799978479,122,0.3141025641025641,0.6607705073678078,245
NL,JZ,2021,0.09487179487179487,0.8231020290435929,74,0.15384615384615385,0.7602341612376894,120,0.2987179487179487,0.6295912527385896,233
