period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
post-2020,5,0.17512820512820512,0.17051282051282052,0.18461538461538463,0.9346130131193598,0.9253983054844913,0.9423756705877677,0.9593709474012989,0.9394648419849043,0.9662032195331286,0.07617772393100115,0.05520855859227616,0.09348644427714613,0.9346130131193598,0.9253983054844913,0.9423756705877677,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,136.6,133.0,144.0,NL,GI,5
pre-2020,9,0.16282051282051282,0.1564102564102564,0.17307692307692307,0.7833276456082161,0.7396658158516369,0.8636244825605067,0.8207707335466288,0.7624176646449777,0.9288227817630555,0.15055790807164998,0.12332108158891368,0.1729003671266708,0.7833276456082161,0.7396658158516369,0.8636244825605067,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,122.0,135.0,NL,JZ,5
2020,1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.7602341612376894,0.7602341612376894,0.7602341612376894,0.774965851819432,0.774965851819432,0.774965851819432,0.13504027194589938,0.13504027194589938,0.13504027194589938,0.7602341612376894,0.7602341612376894,0.7602341612376894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,NL,JZ,5
post-2020,5,0.1735897435897436,0.16923076923076924,0.18333333333333332,0.7899026438551269,0.7701108096060669,0.8022626413494114,0.848154886943399,0.8002178327082133,0.8857551297044827,0.1804821513041741,0.13539542842729183,0.22285998571001436,0.7899026438551269,0.7701108096060669,0.8022626413494114,1.0,1.0,1.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.014814814814814815,135.4,132.0,143.0,NL,JZ,5
pre-2020,9,0.16623931623931626,0.13205128205128205,0.18076923076923077,0.8540954790036732,0.8080061415846446,0.9296717697390185,0.8903238890399889,0.8284586104538131,0.9687290600819163,0.12268317099696396,0.09925673366470765,0.1465152437018463,0.8540954790036732,0.8080061415846446,0.9296717697390185,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.66666666666666,103.0,141.0,NL,KZ,5
2020,1,0.15128205128205127,0.15128205128205127,0.15128205128205127,0.793284832743544,0.793284832743544,0.793284832743544,0.8213062427882215,0.8213062427882215,0.8213062427882215,0.13110916134863213,0.13110916134863213,0.13110916134863213,0.793284832743544,0.793284832743544,0.793284832743544,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,118.0,NL,KZ,5
post-2020,5,0.17333333333333334,0.15897435897435896,0.1858974358974359,0.8663894874350564,0.7465332946913057,0.9529974455435815,0.89749834816704,0.7503220112454416,0.9929041921286983,0.14784625282677683,0.12769850731203972,0.17153261300848444,0.8663894874350564,0.7465332946913057,0.9529974455435815,1.0,1.0,1.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.02127659574468085,135.2,124.0,145.0,NL,KZ,5
pre-2020,9,0.14159544159544157,0.12307692307692308,0.16666666666666666,0.8397549888745854,0.7811533251076597,0.9440395867174641,0.854806521320338,0.7703900504756427,0.9716670274875184,0.11721371813480193,0.08908035477993057,0.1465832923782281,0.8397549888745854,0.7811533251076597,0.9440395867174641,1.0,1.0,1.0,0.0,0.0,0.0,0.001145475372279496,0.0,0.010309278350515464,110.44444444444444,96.0,130.0,NL,LZ,5
2020,1,0.1294871794871795,0.1294871794871795,0.1294871794871795,0.7680621912950543,0.7680621912950543,0.7680621912950543,0.7748681602467093,0.7748681602467093,0.7748681602467093,0.13316983531838625,0.13316983531838625,0.13316983531838625,0.7680621912950543,0.7680621912950543,0.7680621912950543,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,101.0,NL,LZ,5
post-2020,5,0.1358974358974359,0.11794871794871795,0.1641025641025641,0.8031367599865966,0.7903473905165778,0.8108426713666508,0.8618534204107131,0.8329769040323436,0.8908553516856934,0.17382025439752818,0.12746965936104407,0.19930766855274973,0.8031367599865966,0.7903473905165778,0.8108426713666508,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,92.0,128.0,NL,LZ,5
