codgeo,ze2020,year,bpe_evolution_presence_type_count,source_geography_year,measure_definition
01130,8405,2024,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01133,8404,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01133,8404,2024,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01134,0059,2019,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01134,0059,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01135,8416,2019,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01135,8416,2024,27,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01136,0059,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01136,0059,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01138,8404,2019,49,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01138,8404,2024,47,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01139,8405,2019,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01139,8405,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01140,8405,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01140,8405,2024,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01141,8404,2019,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01141,8404,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01142,8421,2019,51,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01142,8421,2024,54,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01143,8416,2019,68,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01143,8416,2024,75,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01145,8405,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01145,8405,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01146,8405,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01146,8405,2024,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01147,8405,2019,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01147,8405,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01148,8425,2019,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01148,8425,2024,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01149,8405,2019,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01149,8405,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01150,8405,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01150,8405,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01151,8405,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01151,8405,2024,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01152,8425,2019,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01152,8425,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01153,8416,2019,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01153,8416,2024,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01155,8404,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01155,8404,2024,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01156,8421,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01156,8421,2024,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01157,8434,2019,29,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01157,8434,2024,32,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01158,8416,2019,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01158,8416,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01159,0059,2019,40,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01159,0059,2024,45,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01160,8416,2019,75,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01160,8416,2024,70,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01162,8404,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01162,8404,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01163,8405,2019,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01163,8405,2024,27,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01165,8434,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01165,8434,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01166,8434,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01166,8434,2024,32,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01167,8434,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01167,8434,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
