codgeo,ze2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total
01445,8405,304.593389,286.534584,18.058804,0.059288,69.94921
01446,8434,841.950578,801.691961,40.258618,0.047816,142.058286
01447,8405,613.98842,559.05968,54.928741,0.089462,401.833426
01448,8416,222.301966,212.920093,9.381873,0.042203,46.045725
01449,8405,366.425093,344.509601,21.915492,0.059809,80.557931
01450,8405,1866.873206,1760.046092,106.827114,0.057222,686.994421
01451,8405,3131.771659,2908.263079,223.50858,0.071368,4828.603816
01452,8404,546.057908,467.73842,78.319488,0.143427,267.398131
01453,8404,332.727692,310.676583,22.05111,0.066274,251.288931
01454,8404,563.942216,520.326608,43.615607,0.077341,260.212143
01456,8404,29.0,27.0,2.0,0.068966,18.107484
01457,0059,1464.808667,1340.134416,124.67425,0.085113,1269.185828
02001,3220,250.790895,219.549077,31.241818,0.124573,90.568956
02002,3220,285.963641,251.479222,34.484418,0.12059,50.020561
02003,3221,497.986072,443.882048,54.104024,0.108646,124.357994
02004,3214,86.464865,70.378378,16.086486,0.186047,23.151956
02005,3214,195.990057,179.673323,16.316734,0.083253,25.565545
02006,3220,123.572119,106.030879,17.54124,0.141951,26.07931
02007,3214,58.983051,52.881356,6.101695,0.103448,12.69314
02008,3221,155.507275,134.680509,20.826766,0.133928,23.990439
02009,3220,221.78227,195.266649,26.515622,0.119557,31.628641
02010,3221,92.276074,78.797546,13.478528,0.146067,14.741523
02011,3221,586.01032,531.072619,54.9377,0.093749,215.485993
02012,3221,47.239437,42.84507,4.394366,0.093023,9.70845
02013,3214,195.470755,178.505823,16.964931,0.08679,95.309334
02014,3220,329.349958,290.655075,38.694883,0.117489,54.793883
02015,3221,37.025641,34.102564,2.923077,0.078947,4.057386
02016,3220,101.092593,88.333333,12.759259,0.126214,10.837171
02017,3220,146.366058,122.933643,23.432416,0.160095,39.054736
02018,3214,1078.177138,913.65372,164.523418,0.152594,509.781897
02019,3220,152.567356,134.152517,18.414839,0.1207,26.100722
02020,3217,188.972635,166.972506,22.000129,0.11642,63.600997
02021,3214,36.935065,31.805195,5.12987,0.138889,16.240314
02022,3209,201.667916,185.204551,16.463365,0.081636,38.964853
02023,3209,55.323529,48.529412,6.794118,0.122807,8.866401
02024,3214,22.977778,21.933333,1.044444,0.045455,11.009726
02025,3220,181.085392,163.781983,17.303409,0.095554,30.114594
02027,3214,99.149533,88.560748,10.588785,0.106796,25.619045
02028,3214,1196.524488,1067.031498,129.49299,0.108224,674.222081
02029,3220,171.979238,153.385954,18.593284,0.108114,19.081889
02030,3220,113.282718,104.969343,8.313375,0.073386,34.762077
02031,3217,300.379703,246.616744,53.762958,0.178983,165.786761
02032,3220,129.380952,106.926407,22.454545,0.173554,49.031721
02033,3214,52.904762,48.095238,4.809524,0.090909,10.686432
02034,3221,58.0,44.615385,13.384615,0.230769,8.565831
02035,3220,128.831017,106.98746,21.843557,0.169552,30.40217
02036,3221,35.972222,30.138889,5.833333,0.162162,1.944444
02037,3214,635.635987,538.912824,96.723163,0.152168,214.881068
02038,3214,26.571429,19.68254,6.888889,0.259259,9.858108
02039,3214,86.737318,62.335393,24.401925,0.281331,11.911095
02040,3217,75.146067,70.202247,4.94382,0.065789,29.872087
02041,3220,360.90905,334.285608,26.623442,0.073768,91.808
02042,3209,171.429153,152.020889,19.408265,0.113214,75.499669
02043,3221,28.107692,26.169231,1.938462,0.068966,4.850579
02044,3214,7.291667,7.291667,0.0,0.0,9.282186
02046,3214,279.653448,247.698669,31.954779,0.114266,281.59065
02047,3214,62.0,58.0,4.0,0.064516,13.987536
02048,3214,72.109375,67.03125,5.078125,0.070423,3.022502
