codgeo,ze2020,filosofi_measure,obs_value
13054,9312,S_HH_TAX,50
13047,9313,S_HH_TAX,54
13065,0052,S_HH_TAX,55
13018,0053,S_HH_TAX,46
11145,7617,S_HH_TAX,45
13082,9301,S_HH_TAX,64
12043,7621,S_HH_TAX,59
13058,0052,S_HH_TAX,60
13004,0052,S_HH_TAX,43
13041,9301,S_DIR_TAX_DI,-14.6
13070,9312,S_DIR_TAX_DI,-16.1
14020,2804,S_HH_TAX,51
14027,2804,S_HH_TAX,43
11269,7617,S_DIR_TAX_DI,-13
13094,0052,S_HH_TAX,61
11272,7608,S_DIR_TAX_DI,-16.9
11369,7617,S_HH_TAX,47
13071,9312,S_HH_TAX,63
13069,9313,S_DIR_TAX_DI,-19
13042,9312,S_HH_TAX,67
13117,9312,S_HH_TAX,53
13074,9301,S_DIR_TAX_DI,-15.9
13022,9312,S_HH_TAX,65
12052,7611,S_DIR_TAX_DI,-12.3
11170,7617,S_DIR_TAX_DI,-13.4
13016,9312,S_DIR_TAX_DI,-18.1
13007,9312,S_DIR_TAX_DI,-18
12133,7621,S_DIR_TAX_DI,-15
13092,9313,S_HH_TAX,59
13010,0053,S_DIR_TAX_DI,-18.1
13043,9312,S_HH_TAX,59
11441,7617,S_DIR_TAX_DI,-15.4
13010,0053,S_HH_TAX,54
13001,9301,S_HH_TAX,61
13086,9312,S_HH_TAX,61
13117,9312,S_DIR_TAX_DI,-14
12202,7621,S_HH_TAX,51
12208,7614,S_HH_TAX,42
13028,9312,S_DIR_TAX_DI,-17.6
13100,0052,S_HH_TAX,53
13060,9301,S_DIR_TAX_DI,-20.1
11202,7620,S_HH_TAX,47
13031,9312,S_HH_TAX,60
13085,9312,S_DIR_TAX_DI,-18.6
12264,7621,S_DIR_TAX_DI,-15.8
14047,2804,S_DIR_TAX_DI,-16.6
13064,9306,S_HH_TAX,56
13056,9313,S_HH_TAX,53
13003,9313,S_HH_TAX,61
13038,0052,S_DIR_TAX_DI,-18.6
13076,9306,S_HH_TAX,54
13071,9312,S_DIR_TAX_DI,-17
12043,7621,S_DIR_TAX_DI,-14.9
11272,7608,S_HH_TAX,62
13023,9312,S_HH_TAX,64
13036,0053,S_HH_TAX,53
11262,7617,S_DIR_TAX_DI,-14.6
13015,9301,S_DIR_TAX_DI,-21.4
