ZE2020,year,stock
3216,2017,27408.0
3216,2018,27305.0
3216,2019,28859.0
3216,2020,29276.0
3216,2021,30254.0
3216,2022,85704.0
3216,2023,88797.0
3217,2017,5313.0
3217,2018,5221.0
3217,2019,5338.0
3217,2020,5340.0
3217,2021,5452.0
3217,2022,11353.0
3217,2023,11440.0
3218,2017,8973.0
3218,2018,8832.0
3218,2019,9308.0
3218,2020,9273.0
3218,2021,9555.0
3218,2022,28040.0
3218,2023,28692.0
3219,2017,4607.0
3219,2018,4565.0
3219,2019,4734.0
3219,2020,4699.0
3219,2021,4831.0
3219,2022,10312.0
3219,2023,10336.0
3220,2017,6531.0
3220,2018,6456.0
3220,2019,6688.0
3220,2020,6660.0
3220,2021,6733.0
3220,2022,13625.0
3220,2023,13876.0
3221,2017,4374.0
3221,2018,4342.0
3221,2019,4437.0
3221,2020,4427.0
3221,2021,4541.0
3221,2022,9766.0
3221,2023,9891.0
3222,2017,8084.0
3222,2018,7968.0
3222,2019,8168.0
3222,2020,8181.0
3222,2021,8517.0
3222,2022,20811.0
3222,2023,21111.0
4401,2017,2195.0
4401,2018,2141.0
4401,2019,2192.0
4401,2020,2146.0
4401,2021,2172.0
4401,2022,3833.0
4401,2023,3918.0
4402,2017,3337.0
4402,2018,3321.0
4402,2019,3397.0
4402,2020,3371.0
4402,2021,3445.0
4402,2022,6703.0
4402,2023,6735.0
4403,2017,4455.0
4403,2018,4388.0
4403,2019,4448.0
4403,2020,4333.0
4403,2021,4402.0
4403,2022,9302.0
4403,2023,9437.0
4404,2017,4408.0
4404,2018,4341.0
4404,2019,4382.0
4404,2020,4365.0
4404,2021,4444.0
4404,2022,8034.0
4404,2023,8123.0
4405,2017,7541.0
4405,2018,7570.0
4405,2019,7716.0
4405,2020,7617.0
4405,2021,7792.0
4405,2022,17732.0
4405,2023,17829.0
4406,2017,4474.0
4406,2018,4426.0
4406,2019,4609.0
4406,2020,4478.0
4406,2021,4539.0
4406,2022,6445.0
4406,2023,6411.0
4407,2017,5978.0
4407,2018,5881.0
4407,2019,6020.0
4407,2020,5983.0
4407,2021,6120.0
4407,2022,12778.0
4407,2023,12972.0
4408,2017,2190.0
4408,2018,2212.0
4408,2019,2279.0
4408,2020,2241.0
4408,2021,2291.0
4408,2022,5155.0
4408,2023,5249.0
4409,2017,7588.0
4409,2018,7590.0
4409,2019,7811.0
4409,2020,7843.0
4409,2021,8064.0
4409,2022,18711.0
4409,2023,18908.0
4410,2017,12814.0
4410,2018,12690.0
4410,2019,13119.0
4410,2020,13100.0
4410,2021,13490.0
4410,2022,32106.0
4410,2023,32650.0
4411,2017,12648.0
4411,2018,12633.0
4411,2019,12930.0
4411,2020,12918.0
4411,2021,13254.0
4411,2022,32042.0
4411,2023,32702.0
4412,2017,15728.0
4412,2018,15568.0
4412,2019,16042.0
4412,2020,16115.0
4412,2021,16490.0
4412,2022,40382.0
4412,2023,41603.0
4413,2017,11023.0
4413,2018,10894.0
4413,2019,11412.0
4413,2020,11412.0
4413,2021,11694.0
4413,2022,27097.0
4413,2023,27596.0
4414,2017,2964.0
4414,2018,2956.0
4414,2019,2964.0
4414,2020,2954.0
4414,2021,3041.0
4414,2022,7836.0
4414,2023,7839.0
4415,2017,2732.0
4415,2018,2673.0
4415,2019,2767.0
4415,2020,2780.0
4415,2021,2835.0
4415,2022,5091.0
