codgeo,ze2020,jobs_lt_2022_total
33185,7516,271.55139
47265,7532,42.70106
34073,7606,313.62025
33334,7514,589.21752
43177,8428,926.50929
45312,2409,77.12307
33015,7516,651.74219
25309,2715,556.51344
24568,7504,392.12572
16286,7509,1502.25162
27067,2817,281.22028
30260,7618,167.13661
28012,2404,635.42488
14716,2804,27.25781
71204,2707,1069.66825
23179,7511,45.87587
25011,2714,807.02962
26005,8422,364.07644
44139,5219,171.29948
91411,1113,409.60031
38179,8409,3305.3399
49214,5202,2010.12231
97358,0303,133.04843
91689,1113,8784.71228
38229,8409,11533.33413
43241,8419,539.00522
36195,2405,85.12965
42262,8428,175.92249
64024,7503,20066.03771
38553,8406,4893.54951
81271,7602,3378.29426
31066,7625,1340.77581
37200,2406,116.61692
69241,8421,974.79937
38423,8409,2725.89396
89072,0056,178.24986
69058,8434,110.38623
80585,3220,1397.34874
77153,1112,2374.8132
08362,4413,4681.83245
78089,1114,1276.70403
17299,7525,18396.26089
14101,2804,2530.30681
60498,3211,134.49484
37050,2413,12851.69984
02303,3220,584.83023
07324,8431,6093.10102
22286,5307,106.02084
29192,5310,332.47337
19211,7531,144.87547
17222,7512,388.87966
26307,8427,1036.77208
29241,5313,2593.5683
19093,7507,90.85786
25058,2706,405.91522
30253,7603,139.86884
46143,7619,795.9277
39013,2713,2412.21674
33485,7516,335.67121
44056,5216,535.29016
57546,4410,162.62673
44021,5217,986.78769
42120,8426,263.56863
33549,7514,60.73622
78291,1114,782.4894
39128,2712,538.41078
48009,7613,888.71079
53253,5221,324.56129
45107,2409,33.84619
59225,3217,4191.77955
69291,8421,2153.83116
62035,3205,1596.60092
50029,2802,444.64444
76561,2815,4039.46193
93070,1109,37891.8774
69116,8421,10517.87544
91338,1113,2677.7968
13075,9312,1836.62868
68091,4411,1316.88344
11253,7608,233.16657
2B303,9405,487.34191
08222,4403,427.90524
80318,3202,2043.82052
12242,7611,131.77273
19278,7507,625.10889
39047,2716,273.67403
11392,7617,49.66142
22250,5306,518.48391
90075,2705,651.36202
15268,8403,413.39133
2A198,9401,215.28522
14256,2804,91.00588
07264,0055,405.69597
27284,2817,5149.20938
14093,2811,61.96242
14220,2811,4917.67242
24068,7529,743.561
29260,5302,3013.248
33227,7514,8060.59057
01064,8405,665.03645
33314,7515,3250.54807
31106,7625,778.64656
40283,7510,1045.10827
82075,7615,1143.47196
32437,7604,47.21201
48092,7613,2814.08809
33248,7515,420.33672
42170,8426,919.26651
38067,8421,152.52092
78138,1114,2739.5918
01320,0059,1210.63419
83110,9303,208.90042
69165,8434,198.20864
44169,5216,2772.76984
69115,8434,2709.36269
49192,5206,1816.83679
14760,2804,62.80667
13105,9313,1553.48244
77127,1108,1188.16705
07070,8431,249.05114
30307,7603,468.41183
63459,8432,75.064
91547,1103,52.71182
11099,7608,476.91496
05070,9310,1663.82831
12286,7614,355.79351
29184,5310,781.7964
58095,0060,2925.14645
50597,2802,156.86623
62364,3219,2076.20559
42271,8428,1167.11592
41049,2401,312.19026
57209,4416,3697.01527
38527,8409,327.77652
45191,2411,3474.57796
41242,2412,1216.25458
53177,5211,87.01328
40217,7513,2421.71578
38118,8435,1202.95583
19138,7507,677.0867
29236,5314,1357.9942
21368,2704,52.31072
14487,2814,125.04196
41075,2404,520.14836
31445,7625,3348.6727
25588,2714,104.22412
16418,7502,173.46973
25020,2714,179.11924
30331,7605,399.76205
24437,7504,640.849
01194,8434,1376.38065
22180,5304,423.45235
61391,2809,860.53516
44216,5216,1160.86292
44066,5216,2039.09082
94059,1109,2915.50181
91552,1113,2038.61055
79210,7506,400.3071
56194,0062,970.26264
92007,1109,12434.0284
03217,8423,108.80071
11190,7608,340.85941
82121,7615,40168.36217
97361,0302,129.18032
03301,8423,98.8077
02299,3214,153.60489
14197,2804,161.45522
31118,7625,3804.08039
69077,8434,139.39668
52448,4427,15212.83275
83120,9312,896.8176
44171,5216,181.30088
38529,8409,395.38451
49100,5220,105.15829
43148,8419,434.69541
45310,2411,1056.34217
35271,5305,426.34591
38558,8421,423.06203
31303,7625,447.59738
77382,1107,1210.23933
37206,2413,211.0948
74119,8415,3794.1372
25469,2714,58.36818
14126,2814,300.66608
15090,8403,225.04858
14672,2804,93.85726
