codgeo,ze2020,empsta_enq,obs_value
03246,8423,1T2,316.56328
02402,3220,1T2,21.71429
04030,9307,1T2,13
03195,8423,1T2,893.24807
01242,8405,1T2,75.17391
01402,0059,1T2,303.83492
02535,3217,1T2,52.25
02613,3214,1T2,273.77228
02229,3214,1T2,20.26667
02263,3221,1T2,59.47368
02392,3220,1T2,126.10784
02607,3221,1T2,36.95238
02035,3220,1T2,140.86096
04013,9307,1T2,309.34106
02557,3221,1T2,65.73913
02587,3214,1T2,157.69565
01024,8405,1T2,1789.21491
01124,8405,1T2,380.19519
01286,8404,1T2,439.99294
02728,3217,1T2,100.76632
02796,3209,1T2,60.17647
02151,3214,1T2,77.31579
04135,9311,1T2,361.07347
02703,3220,1T2,466.02567
02529,3214,1T2,107.33333
01026,0059,1T2,455.8833
02687,3221,1T2,154.3663
02159,3221,1T2,148.00899
03290,8424,1T2,660.04348
01027,8421,1T2,1613.76115
04085,9307,1T2,41.33333
01219,8405,1T2,76.23529
02120,3221,1T2,67.67442
01346,8405,1T2,430.68529
02450,3220,1T2,180.64477
02782,3220,1T2,107.5
01448,8416,1T2,241.77597
02066,3220,1T2,86.76923
03224,8432,1T2,114.19676
01390,8405,1T2,632.10718
03266,8432,1T2,143.60877
02122,3214,1T2,21.6
02112,3220,1T2,311.67568
02268,3209,1T2,318.13687
04113,9307,1T2,264.83569
01293,8425,1T2,70.3125
01063,8425,1T2,286.32743
01239,8404,1T2,263.22481
03244,8423,1T2,77.71429
01451,8405,1T2,3066.38443
04140,9311,1T2,45.71429
01057,0059,1T2,241.51195
01374,8405,1T2,1001.41131
02172,3221,1T2,138.7451
02258,3221,1T2,203.30976
02815,3220,1T2,180.02451
02094,3209,1T2,193.82447
02443,3209,1T2,92.41026
02055,3217,1T2,60
02783,3220,1T2,47.85714
01266,8405,1T2,1124.58057
02453,3214,1T2,231.18533
02211,3214,1T2,192.9375
02326,3221,1T2,239.36888
02014,3220,1T2,326.07979
01282,8425,1T2,125.99983
02143,3220,1T2,60
02591,3214,1T2,80.76923
03285,8423,1T2,87.5
02800,3209,1T2,140.84833
01246,8405,1T2,981.30485
02540,3209,1T2,648.2521
03136,8423,1T2,92.7
02732,3220,1T2,43.55556
03112,8432,1T2,280.88637
03013,8424,1T2,1736.51805
02004,3214,1T2,99.52941
02714,3221,1T2,151.98018
02785,3220,1T2,472.94913
01303,8405,1T2,917.83877
01354,8416,1T2,7874.59602
02663,3221,1T2,132.36753
02321,3217,1T2,418.456
03037,8424,1T2,121.75937
03113,8432,1T2,195.46815
01149,8405,1T2,534.83888
03063,8424,1T2,460.93953
02327,3220,1T2,66.625
03217,8423,1T2,342.68497
01213,8405,1T2,749.79863
03130,8424,1T2,123.23001
02337,3217,1T2,87.3
03310,8432,1T2,9235.28548
02401,3217,1T2,101.68421
01348,8434,1T2,1442.45547
03090,8424,1T2,158.32823
02084,3209,1T2,132.38181
01450,8405,1T2,1844.68717
02135,3217,1T2,530.4
03035,8432,1T2,89.07692
01058,8404,1T2,371.86854
02507,3209,1T2,30
02133,3214,1T2,165.70537
02561,3214,1T2,71.5
02744,3209,1T2,31.70588
02416,3217,1T2,134.13953
04079,9307,1T2,613.98844
02220,3209,1T2,216.55131
01386,8405,1T2,561.09231
02572,3214,1T2,262.65012
01138,8404,1T2,1509.82181
04067,9307,1T2,44.95238
02305,3209,1T2,1186.3427
03060,8432,1T2,370.60701
03155,8424,1T2,649.38181
04097,9307,1T2,188.21111
03064,8424,1T2,60.17143
04018,9311,1T2,455.61386
01076,8404,1T2,54.42857
02799,3221,1T2,151.58598
02256,3214,1T2,41.66667
01190,8404,1T2,37.88235
04005,9307,1T2,41.66667
03293,8423,1T2,132.14964
02064,3221,1T2,1518.35994
01056,8405,1T2,138.80045
02752,3220,1T2,96.21642
02551,3221,1T2,65.14286
02156,3214,1T2,115.94723
04112,9311,1T2,9571.49577
02414,3220,1T2,85.05263
04066,9310,1T2,304.09554
01313,8416,1T2,4816.30293
02664,3209,1T2,78.26087
04024,9307,1T2,49.90909
02598,3221,1T2,333.95317
02602,3214,1T2,744.62104
02142,3220,1T2,121.16981
01248,8421,1T2,1258.75236
02537,3221,1T2,100.64865
02221,3209,1T2,89.4375
03198,8424,1T2,80.4
04040,9307,1T2,23.84615
02826,3217,1T2,150.40676
03088,8423,1T2,147.36923
01084,8405,1T2,476.57444
01054,8405,1T2,812.50501
02319,3220,1T2,245.24154
01022,8404,1T2,437.60538
01371,8421,1T2,740.15073
02222,3214,1T2,10.63636
04046,9307,1T2,358.54108
03141,8432,1T2,54.28571
03173,8424,1T2,476.84219
02481,3220,1T2,224.81825
03086,8424,1T2,135.69642
01244,8405,1T2,4087.77554
01118,8416,1T2,587.31382
04122,9307,1T2,288.53277
01337,0059,1T2,608.40439
03243,8423,1T2,50.67857
02296,3220,1T2,505.91535
03081,8423,1T2,151.75358
02694,3220,1T2,306.51282
01329,8404,1T2,82
02483,3220,1T2,220.37183
02749,3221,1T2,98.13953
02283,3214,1T2,128.15939
02132,3214,1T2,84.10526
02672,3221,1T2,122.66667
03220,8432,1T2,306.32447
03321,8424,1T2,5199.3692
03157,8432,1T2,533.05826
02487,3221,1T2,316.79653
01362,8434,1T2,420.05814
02769,3220,1T2,388.56977
02661,3214,1T2,121.2766
02339,3209,1T2,400.10452
02793,3221,1T2,59.71429
02098,3209,1T2,190.4321
01387,8405,1T2,143.2766
02506,3221,1T2,129.85714
04130,9311,1T2,102.77522
02397,3220,1T2,535.79909
02273,3220,1T2,101.40909
02336,3220,1T2,506.85077
02627,3214,1T2,53.2
03107,8432,1T2,484.0251
01427,8434,1T2,3477.48979
02011,3221,1T2,575
02653,3209,1T2,240.17689
04108,9307,1T2,979.04188
01174,8416,1T2,106.33333
02491,3214,1T2,145.8468
02432,3221,1T2,76.4
02374,3220,1T2,399.36975
02072,3214,1T2,91.02857
01095,8405,1T2,431.04878
02012,3221,1T2,48.6
02178,3214,1T2,76.63333
01319,8405,1T2,226.77733
02248,3214,1T2,71.5
02063,3220,1T2,223.86537
03056,8432,1T2,164.84152
01115,8405,1T2,721.06273
01453,8404,1T2,346.87692
01147,8405,1T2,263.2073
02626,3214,1T2,150.87054
01195,8405,1T2,875.72113
03087,8424,1T2,193.86185
02334,3220,1T2,1200.52405
01306,0059,1T2,769.61013
03272,8432,1T2,114.34521
01109,8416,1T2,1225.50388
03286,8424,1T2,473.09003
02574,3217,1T2,572.59289
03226,8424,1T2,100.76623
02456,3220,1T2,107.76855
01188,8434,1T2,368.25792
03031,8423,1T2,83.59473
02223,3209,1T2,180.3724
02476,3220,1T2,284.00928
02619,3214,1T2,246.75862
03252,8432,1T2,370.24314
02219,3221,1T2,74.99487
02204,3217,1T2,31.5
02488,3220,1T2,71.72414
02451,3220,1T2,53.04348
02499,3214,1T2,17.14286
03117,8424,1T2,202.55697
02789,3217,1T2,1129.1055
02385,3220,1T2,73.23333
02480,3214,1T2,182.7507
04094,9311,1T2,1331.76
01087,8425,1T2,108.68225
02831,3217,1T2,166.30515
02306,3214,1T2,256.94666
01145,8405,1T2,588.04475
02563,3220,1T2,65.92857
04093,9307,1T2,27.23077
02088,3214,1T2,48
01148,8425,1T2,890.64133
03289,8432,1T2,209.98048
03132,8432,1T2,210.20173
03262,8423,1T2,981.54464
02093,3221,1T2,438.66503
02395,3221,1T2,65.52
02637,3220,1T2,123.82931
03078,8432,1T2,118.713
02318,3221,1T2,682.01305
01299,8405,1T2,256.06651
01258,8434,1T2,673.92469
01032,8421,1T2,1728.51412
02810,3221,1T2,4753.93574
02677,3209,1T2,97.5809
03083,8432,1T2,275.35708
02614,3220,1T2,143.64815
04068,9311,1T2,379.8567
02742,3214,1T2,55.71429
03180,8424,1T2,351.07065
03245,8424,1T2,60
02067,3217,1T2,82.4
02025,3220,1T2,149.60046
03211,8423,1T2,937.06713
02722,3221,1T2,11562.82913
03051,8423,1T2,99.64286
04054,9307,1T2,37
02519,3214,1T2,96.5
04138,9311,1T2,145.22483
02126,3214,1T2,211.72546
01159,0059,1T2,1654.56027
02762,3221,1T2,60.67742
02286,3217,1T2,349.58824
