ZE2020,year,sitadel_surface_autorisee,sitadel_surface_commencee
1101,2013,44051.0,134269.0
1101,2014,51092.0,146642.0
1101,2015,123152.0,126060.0
1101,2016,47402.0,107520.0
1101,2017,24168.0,234193.0
1101,2018,36839.0,194629.0
1101,2019,35717.0,128119.0
1101,2020,87816.0,202186.0
1101,2021,51447.0,201099.0
1101,2022,50126.0,220602.0
1101,2023,76529.0,103231.0
1101,2024,108430.0,0.0
1102,2013,12246.0,8242.0
1102,2014,3360.0,29676.0
1102,2015,16108.0,3853.0
1102,2016,10040.0,4963.0
1102,2017,14143.0,9608.0
1102,2018,13294.0,14383.0
1102,2019,15399.0,27094.0
1102,2020,7889.0,20885.0
1102,2021,10009.0,9536.0
1102,2022,10952.0,10185.0
1102,2023,13754.0,1338.0
1102,2024,37831.0,0.0
1103,2013,4683.0,15073.0
1103,2014,12414.0,16531.0
1103,2015,3717.0,11841.0
1103,2016,7673.0,28903.0
1103,2017,10689.0,13929.0
1103,2018,10358.0,15240.0
1103,2019,7031.0,20810.0
1103,2020,4937.0,10380.0
1103,2021,10385.0,12588.0
1103,2022,5848.0,68706.0
1103,2023,37617.0,18655.0
1103,2024,51790.0,0.0
1104,2013,55351.0,175269.0
1104,2014,102464.0,176491.0
1104,2015,93316.0,204608.0
1104,2016,42075.0,235018.0
1104,2017,58192.0,279083.0
1104,2018,66785.0,202711.0
1104,2019,86877.0,224235.0
1104,2020,56596.0,268094.0
1104,2021,54456.0,138595.0
1104,2022,79819.0,168801.0
1104,2023,73962.0,145852.0
1104,2024,94535.0,0.0
1105,2013,13634.0,36926.0
1105,2014,22704.0,61962.0
1105,2015,26149.0,29890.0
1105,2016,38704.0,31972.0
1105,2017,30244.0,27319.0
1105,2018,38501.0,29177.0
1105,2019,32587.0,26118.0
1105,2020,17295.0,28082.0
1105,2021,35987.0,55917.0
1105,2022,31821.0,26391.0
1105,2023,100854.0,29937.0
1105,2024,50954.0,0.0
1106,2013,66354.0,164960.0
1106,2014,33033.0,312500.0
1106,2015,64980.0,114358.0
1106,2016,58145.0,122923.0
1106,2017,37010.0,378249.0
1106,2018,53497.0,174531.0
1106,2019,82884.0,267693.0
1106,2020,81413.0,208953.0
1106,2021,104237.0,160234.0
1106,2022,99211.0,154793.0
1106,2023,117810.0,199431.0
1106,2024,182124.0,0.0
1107,2013,12786.0,124346.0
