ZE2020,weight_a17_AZ,weight_a17_C1,weight_a17_C2,weight_a17_C3,weight_a17_C4,weight_a17_C5,weight_a17_DE,weight_a17_FZ,weight_a17_GZ,weight_a17_HZ,weight_a17_IZ,weight_a17_JZ,weight_a17_KZ,weight_a17_LZ,weight_a17_MN,weight_a17_OQ,weight_a17_RU,total_establishments
0202,0.009682471878114766,0.0207888366794817,0.00014238929232521716,0.002705396554179126,0.0002847785846504343,0.0357397123736295,0.009397693293464331,0.08101950733304855,0.20731880962551616,0.04755802363662252,0.06236651003844511,0.030044140680620817,0.05709810622241208,0.026769186957140822,0.18083440125302577,0.12387868432293891,0.10437135127438417,7023.0
0203,0.2523364485981308,0.02102803738317757,0.0,0.0,0.0,0.011682242990654205,0.007009345794392523,0.08411214953271028,0.11448598130841121,0.12850467289719625,0.037383177570093455,0.007009345794392523,0.016355140186915886,0.002336448598130841,0.07009345794392523,0.1939252336448598,0.053738317757009345,428.0
0204,0.09507640067911714,0.03395585738539898,0.0,0.0,0.0,0.030560271646859084,0.013582342954159592,0.09168081494057725,0.1460101867572156,0.06621392190152801,0.10526315789473684,0.003395585738539898,0.027164685908319185,0.010186757215619695,0.09168081494057725,0.1935483870967742,0.09168081494057725,589.0
0205,0.055674518201284794,0.032119914346895075,0.0,0.0028551034975017845,0.0021413276231263384,0.03997144896502498,0.004996431120628123,0.11634546752319772,0.16630977872947894,0.06923625981441828,0.10849393290506781,0.009992862241256246,0.03354746609564597,0.01641684511063526,0.10635260528194147,0.14989293361884368,0.08565310492505353,1401.0
0206,0.02964845404489623,0.028801355357899194,0.0,0.002964845404489623,0.0012706480304955528,0.05760271071579839,0.008894536213468869,0.12325285895806862,0.1927149512918255,0.05421431596781025,0.11351122405760271,0.01609487505294367,0.030072003388394747,0.018212621770436255,0.13341804320203304,0.10758153324862346,0.0817450232952139,2361.0
0301,0.02032043767096522,0.019148104728409537,0.0,0.0013677217663149667,0.00039077764751856197,0.047674872997264556,0.023055881203595155,0.1397030089878859,0.19480265728800314,0.05470887065259867,0.0625244236029699,0.02032043767096522,0.03360687768659633,0.017389605314576007,0.1602188354826104,0.12211801484955061,0.08264947245017586,5118.0
0302,0.017743979721166033,0.020278833967046894,0.0,0.0012674271229404308,0.0,0.02788339670468948,0.031685678073510776,0.12801013941698353,0.1888466413181242,0.06337135614702155,0.07097591888466413,0.0076045627376425855,0.029150823827629912,0.016476552598225603,0.08618504435994931,0.23067173637515842,0.07984790874524715,789.0
0303,0.03955500618046971,0.012360939431396786,0.0,0.003708281829419036,0.002472187886279357,0.059332509270704575,0.02843016069221261,0.16563658838071693,0.16440049443757726,0.04449938195302843,0.08776266996291718,0.012360939431396786,0.022249690976514216,0.014833127317676144,0.138442521631644,0.14215080346106304,0.06180469715698393,809.0
0401,0.08647755439272928,0.03222252822913798,0.0,0.002203249793445332,0.0002754062241806665,0.036353621591847976,0.007711374277058662,0.16524373450839988,0.17515835857890388,0.037730652712751306,0.06912696226934728,0.008262186725419994,0.02588818507298265,0.014321123657394658,0.08537592949600661,0.15946020380060588,0.09418892866978794,3631.0
0402,0.0274909654104285,0.024651522973670625,0.0,0.0036138358286009293,0.0007743933918430562,0.04401135776974703,0.00813113061435209,0.09563758389261745,0.19592152813629324,0.050464636035105835,0.0835054207537429,0.019747031491997934,0.04723799690242643,0.023102736189984513,0.14235931853381517,0.14093959731543623,0.09241094475993805,7748.0
0403,0.016016804516213734,0.021399501115924906,0.0,0.0024944203754759093,0.0009189969804384928,0.024025206774320598,0.005120126033871603,0.09124327162925036,0.1990284889063936,0.03820401732965734,0.06997505579624524,0.03163975318366811,0.043192858080609166,0.02940790337403177,0.1801234081659446,0.14257581725088617,0.1046343704870684,7617.0
0404,0.06943478692758517,0.030694347869275853,0.0,0.002781364855468362,0.0010926790503625707,0.03814443230356611,0.006456739843051554,0.11940001986689182,0.21148306347471937,0.02930366544154167,0.08701698619251018,0.012019469553988279,0.03794576338531837,0.024138273567100427,0.10241382735671005,0.14194894208801034,0.08572563822389988,10067.0
0601,0.020173805090006207,0.0260707635009311,0.0,0.0015518311607697084,0.0,0.03693358162631906,0.009000620732464307,0.13004345127250155,0.20049658597144632,0.06797020484171322,0.06517690875232775,0.01893234016139044,0.018001241464928614,0.008690254500310366,0.1303538175046555,0.19708255741775293,0.06952203600248293,3222.0
1101,0.008570468294868922,0.014284113824781538,0.0,0.005489580999327806,0.0013443871835088505,0.028904324445440287,0.0067219359175442524,0.15258794532825454,0.19079094779296438,0.05181492269773695,0.07242885951153932,0.045317051310777505,0.033609679587721264,0.02475913062962133,0.15544476809321084,0.11903428187317948,0.08889760250952274,17852.0
1102,0.0686839577329491,0.024495677233429394,0.0,0.005763688760806916,0.0004803073967339097,0.024975984630163303,0.005763688760806916,0.16714697406340057,0.18635926993275698,0.02881844380403458,0.06820365033621517,0.01777137367915466,0.02881844380403458,0.022574447646493755,0.11191162343900096,0.15417867435158503,0.08405379442843419,2082.0
1103,0.036935704514363885,0.016415868673050615,0.0,0.005813953488372093,0.0010259917920656635,0.0280437756497948,0.007523939808481532,0.1491108071135431,0.18467852257181944,0.028727770177838577,0.0673734610123119,0.01744186046511628,0.03522571819425445,0.029069767441860465,0.13919288645690833,0.1518467852257182,0.10157318741450068,2924.0
1104,0.004962931192941609,0.01580785491085105,0.0,0.0042889528827890445,0.0011028735984314687,0.022302554990503033,0.005820721769499418,0.17008761718031984,0.19147111083879664,0.05722688560749954,0.0714417008761718,0.033760186263096625,0.034924330616996506,0.02211874272409779,0.15378959622572147,0.11929416089700386,0.09159977942528032,16321.0
1105,0.0351025945395964,0.019331863659487875,0.0,0.0037307105307783617,0.0011870442597931151,0.028489062235034765,0.011531287095133118,0.12311344751568594,0.17907410547736138,0.03527217229099542,0.08631507546209938,0.02899779548923181,0.037476683059182635,0.02526708495845345,0.14007122265558758,0.14566728845175514,0.09937256231982364,5897.0
1106,0.007106274007682458,0.01382842509603073,6.402048655569782e-05,0.0076824583866837385,0.001024327784891165,0.030473751600512165,0.005505761843790013,0.16318822023047375,0.20813060179257362,0.04475032010243278,0.07836107554417414,0.03777208706786172,0.03975672215108835,0.022855313700384124,0.15973111395646608,0.0998079385403329,0.07996158770806658,15620.0
