codgeo,ze2020,side_stocks_et_2023_total
01319,8405,30
02013,3214,28
05066,9310,0
01448,8416,17
01449,8405,73
04245,9311,273
05061,9310,4640
05062,9310,12
01375,8405,40
01399,8416,123
01342,8421,42
01356,8405,7
05025,9310,22
11296,7617,48
01419,8416,455
01329,8404,10
01453,8404,57
01435,8416,91
01371,8421,73
01420,8434,137
01432,8405,23
01390,8405,263
01346,8405,44
01305,0059,250
01436,8416,26
01338,8404,104
01411,8405,16
02010,3221,10
01364,8405,41
01418,8421,111
02002,3220,29
01403,8405,87
02022,3209,23
01382,8434,25
01381,8405,69
01447,8405,89
01359,8405,16
01410,8425,22
01318,8434,73
01313,8416,418
01430,8405,43
01445,8405,32
01376,8421,362
01362,8434,89
01368,8405,64
01325,8405,67
02003,3221,38
01429,8405,42
01427,8434,718
01308,8416,23
02020,3217,23
01384,8405,166
02018,3214,112
02007,3214,9
02005,3214,17
01347,8434,187
01456,8404,7
01328,8405,33
01454,8404,98
01389,8434,192
01354,8416,885
01393,8405,42
01412,8405,36
01404,8405,8
02009,3220,20
01322,8434,550
01437,8405,8
01335,8405,24
01392,8425,34
01331,8405,13
01451,8405,691
02012,3221,10
02014,3220,39
01339,8434,150
01374,8405,140
01425,8405,20
02025,3220,12
01345,8405,132
01361,8421,149
01434,8405,40
01379,8405,40
01334,0059,43
02015,3221,9
01333,8421,392
01452,8404,87
01348,8434,307
01378,8421,217
01365,0059,70
01391,8405,25
01457,0059,252
01443,8405,475
01405,8405,94
01406,8405,11
01416,8405,63
02004,3214,7
01343,0059,128
01332,0059,50
01428,8434,7
02011,3221,68
01408,8405,48
01353,8434,139
01397,8416,39
01363,8405,149
01422,8405,129
02008,3221,15
01344,8405,505
01311,8404,5
02024,3214,2
01385,8405,68
01306,0059,118
01355,0059,33
01372,8404,33
01386,8405,72
02001,3220,25
02019,3220,16
01400,8405,12
01350,8405,179
01446,8434,131
01303,8405,144
01380,8405,46
01321,8405,50
01351,8434,131
01398,8434,138
01441,8425,64
01366,8405,59
01421,8405,46
01439,0059,11
01358,8404,15
01407,8416,74
01323,0059,80
01431,8405,97
01314,8405,138
01310,8404,5
01424,8421,149
02023,3209,5
01444,8405,66
01388,8405,94
01317,8405,21
01402,0059,36
01415,8404,26
01357,8416,22
01349,8421,36
01309,8405,4
01450,8405,305
01396,8405,73
01307,8425,85
01423,8434,82
01367,8405,49
01401,8416,95
01383,8405,81
01304,8405,252
01433,8405,10
02021,3214,5
04242,9311,353
11274,7608,28
11221,7608,17
04230,9311,372
11310,7608,40
05115,9310,37
11281,7608,72
01373,8425,111
11313,7608,22
11303,7612,68
11254,7608,199
11270,7617,11
05146,9310,25
11353,7617,179
11343,7612,15
11297,7608,20
11226,7608,6
01336,8405,64
11255,7617,286
05164,9310,159
05033,9310,2
05048,9310,17
05081,9310,11
11258,7617,148
11230,7608,2
05170,9310,327
05018,9310,43
05056,9310,45
05051,9310,2
05135,9310,5
05091,9310,3
01369,8405,80
01370,0059,149
05166,9310,162
05006,9302,332
05044,9310,27
05133,9302,399
05156,9310,68
04241,9311,11
05117,9310,15
05047,9307,23
