codgeo,ze2020,filosofi_measure,weight_households_2020,obs_value
05046,9310,S_DIR_TAX_DI,3288.0,-13.9
05061,9310,S_HH_TAX,18736.0,61.5
05061,9310,S_DIR_TAX_DI,18736.0,-14.9
05065,9302,S_HH_TAX,1226.0,63.3
05065,9302,S_DIR_TAX_DI,1226.0,-13.4
05070,9310,S_HH_TAX,1598.0,51.9
05070,9310,S_DIR_TAX_DI,1598.0,-12.1
05132,9310,S_HH_TAX,953.0,61.2
05132,9310,S_DIR_TAX_DI,953.0,-12.9
05179,9310,S_HH_TAX,1562.0,50.9
05179,9310,S_DIR_TAX_DI,1562.0,-11.2
06004,9304,S_HH_TAX,40543.0,69.9
06004,9304,S_DIR_TAX_DI,40543.0,-18.7
06006,9315,S_HH_TAX,918.0,76.8
06006,9315,S_DIR_TAX_DI,918.0,-22.5
06007,9304,S_HH_TAX,1358.0,78.5
06007,9304,S_DIR_TAX_DI,1358.0,-19.5
06010,9304,S_HH_TAX,1236.0,79.5
06010,9304,S_DIR_TAX_DI,1236.0,-18.7
06011,9315,S_HH_TAX,1868.0,70.9
06011,9315,S_DIR_TAX_DI,1868.0,-20.7
06012,9314,S_HH_TAX,6134.0,83.3
06012,9314,S_DIR_TAX_DI,6134.0,-20.5
06018,9304,S_HH_TAX,3979.0,83.6
06018,9304,S_DIR_TAX_DI,3979.0,-23.8
06027,9315,S_HH_TAX,24423.0,66.3
06027,9315,S_DIR_TAX_DI,24423.0,-17.6
06029,9304,S_HH_TAX,39226.0,58.4
06029,9304,S_DIR_TAX_DI,39226.0,-19.0
06030,9304,S_HH_TAX,21831.0,67.8
06030,9304,S_DIR_TAX_DI,21831.0,-17.1
06032,9314,S_HH_TAX,2132.0,89.4
06032,9314,S_DIR_TAX_DI,2132.0,-26.6
06033,9315,S_HH_TAX,4954.0,76.9
06033,9315,S_DIR_TAX_DI,4954.0,-15.1
06038,9304,S_HH_TAX,1426.0,75.5
06038,9304,S_DIR_TAX_DI,1426.0,-22.8
06044,9315,S_HH_TAX,3503.0,77.4
06044,9315,S_DIR_TAX_DI,3503.0,-22.2
06046,9315,S_HH_TAX,1277.0,78.7
06046,9315,S_DIR_TAX_DI,1277.0,-20.3
06048,9315,S_HH_TAX,2899.0,73.6
06048,9315,S_DIR_TAX_DI,2899.0,-16.2
06054,9315,S_HH_TAX,1733.0,75.7
06054,9315,S_DIR_TAX_DI,1733.0,-14.5
06057,9315,S_HH_TAX,942.0,71.7
06057,9315,S_DIR_TAX_DI,942.0,-13.1
06059,9314,S_HH_TAX,1185.0,88.0
06059,9314,S_DIR_TAX_DI,1185.0,-27.9
06060,9315,S_HH_TAX,787.0,83.1
06060,9315,S_DIR_TAX_DI,787.0,-27.6
06064,9315,S_HH_TAX,1757.0,74.5
06064,9315,S_DIR_TAX_DI,1757.0,-18.9
06065,9315,S_HH_TAX,2714.0,76.8
06065,9315,S_DIR_TAX_DI,2714.0,-20.7
06069,9304,S_HH_TAX,22044.0,75.8
06069,9304,S_DIR_TAX_DI,22044.0,-17.8
06075,9315,S_HH_TAX,2168.0,78.0
06075,9315,S_DIR_TAX_DI,2168.0,-16.8
06079,9304,S_HH_TAX,13273.0,61.7
06079,9304,S_DIR_TAX_DI,13273.0,-18.4
06083,9314,S_HH_TAX,16465.0,71.0
06083,9314,S_DIR_TAX_DI,16465.0,-17.1
06084,9304,S_HH_TAX,4688.0,77.7
06084,9304,S_DIR_TAX_DI,4688.0,-20.8
06085,9304,S_HH_TAX,8669.0,76.3
06085,9304,S_DIR_TAX_DI,8669.0,-23.2
06088,9315,S_HH_TAX,175676.0,70.4
06088,9315,S_DIR_TAX_DI,175676.0,-18.1
06089,9304,S_HH_TAX,978.0,78.7
06089,9304,S_DIR_TAX_DI,978.0,-25.0
06090,9304,S_HH_TAX,3318.0,80.4
06090,9304,S_DIR_TAX_DI,3318.0,-17.6
06091,9314,S_HH_TAX,910.0,82.2
06091,9314,S_DIR_TAX_DI,910.0,-18.5
06095,9304,S_HH_TAX,3889.0,70.2
06095,9304,S_DIR_TAX_DI,3889.0,-17.7
06104,9314,S_HH_TAX,7217.0,76.3
06104,9314,S_DIR_TAX_DI,7217.0,-21.5
06105,9304,S_HH_TAX,3044.0,81.6
06105,9304,S_DIR_TAX_DI,3044.0,-26.1
06108,9304,S_HH_TAX,2236.0,79.4
06108,9304,S_DIR_TAX_DI,2236.0,-19.8
06112,9304,S_HH_TAX,1733.0,84.6
06112,9304,S_DIR_TAX_DI,1733.0,-22.3
06114,9315,S_HH_TAX,2398.0,75.6
06114,9315,S_DIR_TAX_DI,2398.0,-15.5
06118,9304,S_HH_TAX,1757.0,72.0
06118,9304,S_DIR_TAX_DI,1757.0,-17.2
06122,9315,S_HH_TAX,1671.0,75.3
06122,9315,S_DIR_TAX_DI,1671.0,-19.5
06123,9315,S_HH_TAX,15453.0,72.7
06123,9315,S_DIR_TAX_DI,15453.0,-17.3
06126,9315,S_HH_TAX,1280.0,77.1
06126,9315,S_DIR_TAX_DI,1280.0,-14.8
06128,9315,S_HH_TAX,1534.0,74.0
06128,9315,S_DIR_TAX_DI,1534.0,-26.9
06130,9304,S_HH_TAX,1550.0,79.6
06130,9304,S_DIR_TAX_DI,1550.0,-16.6
06136,9314,S_HH_TAX,1644.0,70.6
06136,9314,S_DIR_TAX_DI,1644.0,-14.8
06140,9304,S_HH_TAX,1394.0,67.9
06140,9304,S_DIR_TAX_DI,1394.0,-17.4
06147,9315,S_HH_TAX,1865.0,78.2
06147,9315,S_DIR_TAX_DI,1865.0,-17.9
06148,9315,S_HH_TAX,1830.0,70.7
06148,9315,S_DIR_TAX_DI,1830.0,-21.6
06149,9315,S_HH_TAX,4205.0,70.9
06149,9315,S_DIR_TAX_DI,4205.0,-14.0
06150,9314,S_HH_TAX,1392.0,79.6
06150,9314,S_DIR_TAX_DI,1392.0,-25.9
06152,9304,S_HH_TAX,4872.0,89.5
06152,9304,S_DIR_TAX_DI,4872.0,-22.0
06155,9304,S_HH_TAX,13702.0,68.6
06155,9304,S_DIR_TAX_DI,13702.0,-18.0
06157,9315,S_HH_TAX,9022.0,68.3
06157,9315,S_DIR_TAX_DI,9022.0,-19.2
06159,9315,S_HH_TAX,2448.0,70.6
06159,9315,S_DIR_TAX_DI,2448.0,-24.9
06161,9315,S_HH_TAX,8123.0,75.3
06161,9315,S_DIR_TAX_DI,8123.0,-20.1
