codgeo,ze2020,libze2020,population_2022_total
76083,2807,Dieppe-Caux maritime,101
79301,7520,Niort,599
58179,2703,Avallon,248
60648,0054,Beauvais,316
38376,8435,Voiron,836
65429,7624,Tarbes-Lourdes,198
59657,3213,Dunkerque,640
04016,9307,Digne-les-Bains,59
60161,0054,Beauvais,71
65412,7624,Tarbes-Lourdes,159
59641,3213,Dunkerque,2035
63357,8410,Issoire,111
50350,2806,Coutances,543
59110,3213,Dunkerque,1454
83018,9303,Brignoles,3123
62106,3212,Douai,213
16304,7509,Cognac,969
88090,4407,Épinal,4489
78265,1115,Versailles-Saint-Quentin,2577
91047,1104,Évry-Courcouronnes,1468
08489,4421,Sedan,211
43261,8410,Issoire,631
40283,7510,Dax,3384
16206,7502,Angoulême,2092
97202,0206,Le Sud-Caraibe,3874
59284,3222,Valenciennes,3853
44091,5205,Châteaubriant,1529
17062,7509,Cognac,228
41241,2412,Romorantin-Lanthenay,1340
06115,9315,Nice,84
29053,5302,Brest,1882
59013,3216,Lille,1643
44151,5219,Saint-Nazaire,6949
27117,2803,Bernay,1035
33114,7505,Bordeaux,2368
70294,2705,Belfort,362
13091,9301,Aix-en-Provence,5877
27316,2815,Rouen,1270
11410,7608,Carcassonne-Limoux,968
2B305,9402,Bastia,2996
16122,7502,Angoulême,139
11160,7608,Carcassonne-Limoux,31
31311,7625,Toulouse,1226
62103,3203,Arras,121
06140,9304,Cannes,3158
50506,2806,Coutances,462
32060,7604,Auch,205
71580,2713,Lons-le-Saunier,450
08351,4421,Sedan,66
76211,0058,La Vallée de la Bresle-Vimeu,234
63449,8408,Clermont-Ferrand,329
34268,7616,Montpellier,695
31542,7622,Saint-Gaudens,209
44080,5219,Saint-Nazaire,769
76056,2815,Rouen,602
80577,3202,Amiens,165
55439,4426,Verdun,105
85039,5213,Les Herbiers-Montaigu,4015
61272,2812,L'Aigle,26
14738,2804,Caen,3927
66050,7620,Perpignan,4801
70537,2718,Vesoul,296
16315,7502,Angoulême,102
65332,7624,Tarbes-Lourdes,183
65289,7624,Tarbes-Lourdes,105
08003,4403,Charleville-Mézières,1675
35195,5315,Rennes,2419
91132,1103,Étampes,1104
50038,2810,Granville,438
54502,4412,Nancy,250
55155,4426,Verdun,374
37201,2406,Chinon,700
42099,8428,Saint-Étienne,3825
40039,7519,Mont-de-Marsan,133
43101,8419,Le Puy-en-Velay,75
69065,8434,Villefranche-sur-Saône,993
58101,0060,Nevers,183
52265,4427,Vitry-le-François Saint-Dizier,1269
42188,8412,La Plaine du Forez,252
77512,1102,Coulommiers,1143
50142,2805,Cherbourg-en-Cotentin,1083
69094,8421,Lyon,6284
63052,8410,Issoire,1030
02720,3214,Laon,2061
07161,8402,Aubenas,756
