ZE2020,year,sitadel_monthly_total_autorisee,sitadel_monthly_total_commencee,sitadel_monthly_q1_autorisee,sitadel_monthly_q1_commencee,sitadel_monthly_h1_autorisee,sitadel_monthly_h1_commencee
7603,2014,40483,43829,8362,15947,17327,22333
7604,2014,105548,69918,26737,15537,50502,34300
7605,2014,35625,20140,9593,6950,21220,8436
7606,2014,136001,146143,20247,101312,68613,118345
7607,2014,26360,25695,4184,4643,10353,8938
7608,2014,107902,70553,21338,26252,53016,59814
7609,2014,57625,66590,18987,18613,28779,31136
7610,2014,65387,59906,10070,17517,35550,28515
7611,2014,100032,43981,17242,14147,43919,23473
7612,2014,70613,46795,14360,13669,38883,24492
7613,2014,63778,44884,22889,14007,40563,25363
7614,2014,41518,19966,15200,4986,26845,11209
7615,2014,100116,43182,58388,16030,73535,24224
7616,2014,223237,144777,50955,31969,104137,66628
7617,2014,108177,82276,58568,13888,70255,33397
7618,2014,220693,70820,26721,9138,63100,17766
7619,2014,42396,28378,4632,8352,17191,13676
7620,2014,293770,253161,73204,60524,153599,109448
7621,2014,163915,107523,53026,31231,82547,61243
7622,2014,55061,37579,17259,12060,28361,18299
7623,2014,19017,8135,4171,1415,8985,5262
7624,2014,158349,96393,33675,20488,68790,60597
7625,2014,634195,465122,143189,126101,229713,176187
8401,2014,105101,82380,35278,18169,71693,51304
8402,2014,72861,39751,19118,9249,46364,18083
8403,2014,57949,20743,10846,2212,28620,5732
8404,2014,7739,6625,2046,3156,3309,4920
8405,2014,198903,119990,58032,32434,101839,48639
8406,2014,185578,115804,66002,36558,89583,57642
8407,2014,97121,73980,30010,23062,50494,38865
8408,2014,166908,139012,47065,54151,96722,90606
8409,2014,376965,285163,145541,69693,201027,145403
8410,2014,77996,59240,30761,14985,52903,35399
8411,2014,11857,6078,2643,1727,5898,2880
8412,2014,39354,36160,10121,16513,22962,20785
8413,2014,93182,43977,22431,5099,57218,17934
8414,2014,34354,31933,10639,16377,19420,22704
8415,2014,64669,33774,1189,4878,29346,11995
8416,2014,190143,65889,73182,23044,112853,36340
