ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2718,130145.0,130780.0,131292.0,131309.0,131274.0,131178.0,131231.0,130799.0,130170.0,129445.0,128985.0,128365.0,127795.0,127116.0,126536.0,126376.0,126165.0,125675.0
2801,43064.0,42974.0,42904.0,43091.0,43162.0,43176.0,43143.0,42854.0,42843.0,42598.0,42541.0,42346.0,42123.0,41705.0,41659.0,41453.0,41551.0,41510.0
2802,89108.0,89629.0,89893.0,90183.0,90322.0,90553.0,90452.0,90404.0,90117.0,89941.0,89867.0,89842.0,89606.0,89407.0,89377.0,89253.0,89226.0,89187.0
2803,67322.0,67855.0,68885.0,69595.0,70337.0,70566.0,70878.0,70955.0,71262.0,71466.0,71507.0,71150.0,70738.0,70496.0,70036.0,69795.0,69837.0,69467.0
2804,502365.0,503973.0,508091.0,510262.0,512349.0,514801.0,517813.0,520203.0,522927.0,525775.0,527447.0,528935.0,530310.0,532194.0,535022.0,538133.0,542066.0,546933.0
2805,190096.0,190610.0,190791.0,190597.0,190265.0,189739.0,189261.0,189138.0,188814.0,188442.0,187843.0,186790.0,186465.0,185577.0,184916.0,184872.0,185457.0,185986.0
2806,63347.0,63910.0,64306.0,64635.0,64886.0,64953.0,64770.0,64737.0,64697.0,64648.0,64481.0,64239.0,64091.0,64072.0,63980.0,64128.0,64192.0,64160.0
2807,145858.0,146328.0,147487.0,147571.0,147524.0,147183.0,147211.0,147358.0,147480.0,147479.0,147151.0,146613.0,145866.0,145511.0,145085.0,145183.0,145057.0,144367.0
2808,178082.0,179578.0,179786.0,181035.0,181304.0,180912.0,182243.0,183638.0,184525.0,185919.0,185973.0,185131.0,183798.0,183431.0,183651.0,183518.0,184524.0,185431.0
2809,99784.0,99738.0,99671.0,99604.0,99376.0,98895.0,98449.0,98055.0,97582.0,97171.0,96588.0,96041.0,95600.0,95130.0,94511.0,93946.0,93218.0,92932.0
2810,50012.0,50660.0,51211.0,51418.0,52049.0,52432.0,52712.0,52981.0,53359.0,53323.0,53193.0,52923.0,52965.0,53013.0,53322.0,53646.0,54355.0,54499.0
2811,96226.0,97589.0,98807.0,100253.0,101402.0,102275.0,103124.0,103846.0,104332.0,105041.0,105517.0,105293.0,104867.0,104647.0,104575.0,104418.0,104504.0,104402.0
2812,47587.0,47773.0,47692.0,47660.0,47647.0,47647.0,47383.0,47143.0,46865.0,46674.0,46415.0,46139.0,45755.0,45428.0,45025.0,44654.0,44422.0,44152.0
2813,332784.0,330367.0,330444.0,330000.0,329160.0,328384.0,327740.0,327011.0,327681.0,327330.0,325432.0,324914.0,324290.0,322640.0,320554.0,320973.0,321805.0,321433.0
2814,77601.0,77176.0,77019.0,77214.0,77448.0,77310.0,77132.0,77029.0,76655.0,76197.0,75395.0,75011.0,74512.0,74119.0,73911.0,74033.0,74037.0,74085.0
2815,704653.0,707259.0,710134.0,711655.0,712916.0,714892.0,718608.0,720004.0,722915.0,723798.0,724936.0,725175.0,728501.0,731088.0,733474.0,733801.0,737878.0,741010.0
2816,104472.0,104900.0,105384.0,105686.0,106126.0,106794.0,107197.0,107621.0,107799.0,107592.0,107018.0,107086.0,106778.0,106824.0,107309.0,107411.0,107393.0,107516.0
