ZE2020,year,month,sitadel_monthly_surface_autorisee,sitadel_monthly_surface_commencee
2409,2013,3,2795,5395
2410,2013,3,6790,3849
2411,2013,3,821,901
2412,2013,3,5105,615
2413,2013,3,5006,7080
2414,2013,3,2037,4854
2415,2013,3,1815,576
2701,2013,3,427,145
2702,2013,3,8493,2510
2703,2013,3,1054,830
2704,2013,3,2720,6660
2705,2013,3,6164,2541
2706,2013,3,8389,6610
2707,2013,3,900,592
2708,2013,3,765,3215
2709,2013,3,3895,2250
2710,2013,3,591,2623
2711,2013,3,33174,4305
2712,2013,3,3680,3294
2713,2013,3,12541,13048
2714,2013,3,8459,1773
2715,2013,3,8745,9218
2716,2013,3,32218,0
2717,2013,3,3758,1271
2718,2013,3,5930,4513
2801,2013,3,962,2714
2802,2013,3,9232,5820
2803,2013,3,4219,2646
2804,2013,3,22467,14952
2805,2013,3,3822,3698
2806,2013,3,15053,2977
2807,2013,3,6679,6689
2808,2013,3,4329,8964
2809,2013,3,4803,4560
2810,2013,3,1936,1468
2811,2013,3,3156,2118
2812,2013,3,0,455
2813,2013,3,15690,10306
2814,2013,3,6352,3895
2815,2013,3,12157,23152
2816,2013,3,7111,3837
2817,2013,3,1147,1921
2818,2013,3,296,1431
2819,2013,3,5471,3056
3201,2013,3,27549,2887
3202,2013,3,19345,11959
3203,2013,3,12781,7061
3204,2013,3,9608,19779
3205,2013,3,4382,11029
3206,2013,3,2301,3534
3207,2013,3,5231,279
3208,2013,3,3362,6685
3209,2013,3,290,78
3210,2013,3,9737,5982
3211,2013,3,2319,57911
3212,2013,3,14914,10413
3213,2013,3,12647,4122
3214,2013,3,1798,2920
3215,2013,3,4134,67
3216,2013,3,32143,31090
3217,2013,3,5113,953
3218,2013,3,24859,43859
3219,2013,3,4392,13474
3220,2013,3,71960,2786
3221,2013,3,2529,1353
3222,2013,3,12148,11193
4401,2013,3,1617,3171
4402,2013,3,50296,138
4403,2013,3,3684,1725
4404,2013,3,6311,13704
4405,2013,3,6402,794
4406,2013,3,6622,11096
4407,2013,3,33091,3956
4408,2013,3,1692,224
4409,2013,3,31376,1264
4410,2013,3,26672,5628
4411,2013,3,12225,10921
