codgeo,ze2020,bpe_facilities_2023_total
01257,8416,12.0
01258,8434,44.0
01259,8405,13.0
01260,8421,11.0
01261,8421,25.0
01262,8421,298.0
01263,8434,140.0
01264,8405,30.0
01265,8425,157.0
01266,8405,147.0
01267,8425,35.0
01268,8404,15.0
01269,8425,153.0
01272,8405,63.0
01273,8405,53.0
01274,8425,22.0
01275,8421,94.0
01276,8421,54.0
01277,8404,4.0
01279,8405,6.0
01280,8404,11.0
01281,8416,77.0
01282,8425,6.0
01283,8425,906.0
01284,0059,22.0
01285,8434,37.0
01286,8404,26.0
01288,8416,69.0
01289,8405,264.0
01290,8405,61.0
01291,0059,22.0
01293,8425,2.0
01294,8404,34.0
01295,8434,16.0
01296,8405,12.0
01297,8421,21.0
01298,8416,6.0
01299,8405,20.0
01301,8405,103.0
01302,8404,9.0
01303,8405,88.0
01304,8405,153.0
01305,0059,169.0
01306,0059,92.0
01307,8425,44.0
01308,8416,17.0
01309,8405,4.0
01310,8404,6.0
01311,8404,4.0
01313,8416,138.0
01314,8405,77.0
01317,8405,9.0
01318,8434,29.0
01319,8405,19.0
01320,0059,157.0
01321,8405,19.0
01322,8434,199.0
01323,0059,29.0
01325,8405,32.0
01328,8405,17.0
01329,8404,9.0
01331,8405,8.0
01332,0059,21.0
01333,8421,191.0
01334,0059,21.0
01335,8405,14.0
01336,8405,34.0
01337,0059,42.0
01338,8404,49.0
01339,8434,43.0
01342,8421,18.0
01343,0059,61.0
01344,8405,191.0
01345,8405,71.0
01346,8405,30.0
01347,8434,64.0
01348,8434,130.0
01349,8421,12.0
01350,8405,105.0
01351,8434,57.0
01352,0059,17.0
01353,8434,44.0
01354,8416,433.0
01355,0059,12.0
01356,8405,10.0
01357,8416,23.0
01358,8404,12.0
01359,8405,9.0
01360,8416,44.0
01361,8421,46.0
01362,8434,29.0
01363,8405,72.0
01364,8405,18.0
01365,0059,27.0
01366,8405,35.0
01367,8405,31.0
01368,8405,29.0
01369,8405,34.0
01370,0059,82.0
01371,8421,23.0
01372,8404,16.0
01373,8425,66.0
01374,8405,52.0
01375,8405,15.0
01376,8421,167.0
01378,8421,83.0
01379,8405,26.0
01380,8405,26.0
01381,8405,31.0
01382,8434,8.0
01383,8405,51.0
01384,8405,107.0
01385,8405,32.0
01386,8405,36.0
01387,8405,7.0
01388,8405,69.0
01389,8434,93.0
01390,8405,79.0
01391,8405,9.0
01392,8425,20.0
01393,8405,22.0
01396,8405,44.0
01397,8416,16.0
01398,8434,59.0
01399,8416,62.0
01400,8405,8.0
