codgeo,ze2020,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_est,unemployment_rate_est_2022
02007,3214,68.65385,64.07692,4.57693,0.066667
02008,3221,146.66667,136.88889,9.77778,0.066667
02009,3220,252.12522,216.64909,35.47613,0.140708
02010,3221,101.44444,83.0,18.44444,0.181818
02011,3221,575.0,535.0,40.0,0.069565
02012,3221,48.6,43.2,5.4,0.111111
02013,3214,205.76627,190.60708,15.15919,0.073672
02014,3220,326.07979,287.10409,38.9757,0.119528
02015,3221,53.36842,45.15789,8.21053,0.153846
02016,3220,102.92683,87.4878,15.43903,0.15
02017,3220,132.83636,122.61818,10.21818,0.076923
02018,3214,1087.90284,920.21647,167.68637,0.154137
02019,3220,140.8,115.65714,25.14286,0.178571
02020,3217,172.33107,157.9907,14.34037,0.083214
02021,3214,41.46154,41.46154,0.0,0.0
02022,3209,210.72961,200.63193,10.09768,0.047918
02023,3209,54.44444,49.0,5.44444,0.1
02024,3214,5.625,5.625,0.0,0.0
02025,3220,149.60046,128.16458,21.43588,0.143288
02027,3214,89.12195,79.21951,9.90244,0.111111
02028,3214,1175.21537,1027.16617,148.0492,0.125976
02029,3220,186.1868,153.3152,32.8716,0.176552
02030,3220,89.75389,73.98517,15.76872,0.175688
02031,3217,289.37993,259.06031,30.31962,0.104774
02032,3220,159.33333,116.84444,42.48889,0.266667
02033,3214,47.84211,42.52632,5.31579,0.111111
02034,3221,57.89474,46.31579,11.57895,0.2
02035,3220,140.86096,120.37833,20.48263,0.14541
02036,3221,45.33333,39.66667,5.66666,0.125
02037,3214,618.93243,535.57904,83.35339,0.134673
02038,3214,24.23077,19.38462,4.84615,0.2
02039,3214,89.52146,54.55407,34.96739,0.390603
02040,3217,102.66667,78.22222,24.44445,0.238095
02041,3220,347.97129,333.0179,14.95339,0.042973
02042,3209,146.05263,131.44737,14.60526,0.1
02043,3221,20.66667,15.5,5.16667,0.25
02044,3214,10.71429,10.71429,0.0,0.0
02046,3214,295.15881,270.67556,24.48325,0.082949
02047,3214,59.4,59.4,0.0,0.0
02048,3214,71.11111,61.62963,9.48148,0.133333
02049,3220,353.3315,318.36488,34.96662,0.098963
02050,3217,137.91902,112.5556,25.36342,0.183901
02051,3209,215.01396,183.53227,31.48169,0.146417
02052,3221,46.12903,46.12903,0.0,0.0
02053,3209,280.48258,271.35734,9.12524,0.032534
02054,3221,302.76435,292.49426,10.27009,0.033921
02055,3217,60.0,42.0,18.0,0.3
02056,3220,88.60606,83.39394,5.21212,0.058824
02057,3220,508.5657,421.15794,87.40776,0.171871
02058,3214,411.21913,322.63516,88.58397,0.215418
02059,3220,1014.89534,794.20095,220.69439,0.217455
02060,3220,112.73986,103.71317,9.02669,0.080067
02061,3220,125.27152,114.81273,10.45879,0.083489
02062,3209,72.04167,72.04167,0.0,0.0
02063,3220,223.86537,197.08417,26.7812,0.119631
02064,3221,1518.35994,1309.27431,209.08563,0.137705
02065,3220,229.27826,204.88696,24.3913,0.106383
02066,3220,86.76923,81.94872,4.82051,0.055556
02067,3217,82.4,77.25,5.15,0.0625
02068,3214,34.71429,27.0,7.71429,0.222222
02069,3214,38.31579,38.31579,0.0,0.0
02070,3220,173.04082,152.28953,20.75129,0.119921
