ZE2020,rei_cfe_commune_base,rei_cfe_commune_product,rei_cfe_commune_articles,rei_cfe_epci_base,rei_cfe_epci_product,rei_cfe_epci_articles,rei_cfe_microentrepreneurs,rei_cfe_microentrepreneurs_created_n_1,year
7527,5921814.0,1151353.0,1035.0,27392150.0,5960059.0,4454.0,3081.0,0.0,2018
7528,4615211.0,990220.0,1315.0,32021069.0,7082365.0,7841.0,3869.0,0.0,2018
7529,1217319.0,167444.0,654.0,14972934.0,4024378.0,6001.0,3622.0,0.0,2018
7530,0.0,0.0,0.0,20244518.0,5244011.0,3041.0,1347.0,0.0,2018
7531,0.0,0.0,0.0,21619880.0,6937022.0,4606.0,2213.0,0.0,2018
7532,1828066.0,362379.0,350.0,25677864.0,6856858.0,5500.0,2731.0,0.0,2018
7601,0.0,0.0,0.0,26654537.0,9104551.0,8389.0,4453.0,0.0,2018
7602,717003.0,162674.0,427.0,57665941.0,20228765.0,15998.0,8563.0,0.0,2018
7603,2608204.0,755888.0,578.0,45260947.0,12842445.0,13535.0,8705.0,0.0,2018
7604,6049861.0,1501787.0,1882.0,34053107.0,9989341.0,10821.0,5325.0,0.0,2018
7605,0.0,0.0,0.0,42935405.0,11202192.0,4646.0,2739.0,0.0,2018
7606,0.0,0.0,0.0,66828874.0,22274198.0,17828.0,10123.0,0.0,2018
7607,1644410.0,238419.0,977.0,22230893.0,6824579.0,5206.0,3445.0,0.0,2018
7608,1632052.0,352297.0,378.0,56363803.0,20264223.0,13195.0,7453.0,0.0,2018
7609,44461621.0,5041031.0,1247.0,56712327.0,14068515.0,3917.0,2163.0,0.0,2018
7610,2760010.0,701696.0,910.0,51797830.0,16151162.0,10713.0,5189.0,0.0,2018
7611,855271.0,170027.0,530.0,29824646.0,9200416.0,5914.0,3130.0,0.0,2018
7612,15596897.0,5036514.0,2651.0,50431979.0,15462269.0,8238.0,5224.0,0.0,2018
7613,3307099.0,553772.0,1021.0,16059660.0,3586149.0,5107.0,2119.0,0.0,2018
7614,117428.0,29281.0,82.0,25359158.0,8056555.0,4975.0,2421.0,0.0,2018
7615,8175838.0,1932974.0,2427.0,52888301.0,15425929.0,12495.0,7254.0,0.0,2018
7616,0.0,0.0,0.0,240139569.0,86166438.0,67684.0,36814.0,0.0,2018
7617,0.0,0.0,0.0,58378227.0,18984510.0,12846.0,6915.0,0.0,2018
7618,0.0,0.0,0.0,115751470.0,37792500.0,28666.0,15376.0,0.0,2018
