codgeo,ze2020,side_stocks_ul_2023_total
03247,8424,69
03297,8423,98
03194,8432,9
03254,8432,431
03229,8424,18
03228,8423,2
03259,8423,24
04018,9311,121
04023,9307,9
04025,9307,55
03316,8424,53
03264,8432,181
04037,9307,9
03216,8423,6
04022,9307,65
03248,8432,13
03291,8432,21
03191,8423,9
03220,8432,54
03218,8424,16
04013,9307,50
03285,8423,8
04034,9311,103
03203,8424,19
04016,9307,7
04004,9311,48
03232,8432,12
03317,8423,20
03306,8432,128
03236,8432,200
03271,8432,63
03195,8423,204
03301,8423,41
03303,8423,13
03290,8424,62
04005,9307,10
03269,8423,4
03192,8432,11
04039,9307,242
03241,8424,13
03312,8424,13
03249,8423,8
03235,8432,62
03283,8424,51
03211,8423,126
03208,8424,13
03212,8423,65
03275,8424,126
03274,8432,23
03309,8424,33
04017,9307,15
03282,8424,19
04027,9307,19
03277,8432,7
03289,8432,29
03319,8423,24
03214,8424,11
03276,8432,7
03243,8423,3
03311,8432,24
04035,9311,27
03280,8423,12
03260,8424,8
03227,8432,30
03270,8423,7
03237,8432,23
03310,8432,2325
03313,8424,16
03240,8424,43
03308,8423,7
03225,8423,27
03320,8424,47
03210,8424,18
04007,9307,10
03294,8432,6
03224,8432,18
03265,8424,54
03268,8432,18
03267,8432,45
04036,9307,50
03215,8432,30
03223,8432,27
03293,8423,20
03255,8432,7
04001,9307,108
03204,8432,30
04024,9307,5
04008,9315,100
03281,8432,24
04020,9307,10
03302,8432,4
03245,8424,10
03288,8423,32
03287,8424,18
04021,9307,10
04006,9307,266
03295,8432,5
03244,8423,13
03219,8423,13
03205,8432,19
03226,8424,15
03286,8424,80
04012,9311,18
03300,8424,22
03231,8423,8
03315,8423,52
03298,8432,247
03252,8432,36
03238,8424,25
03201,8432,10
03242,8432,29
04009,9307,2
03198,8424,9
03196,8432,13
03253,8424,21
04030,9307,10
03261,8423,11
04026,9307,14
03197,8424,78
03304,8432,122
03305,8423,21
03292,8424,41
03314,8423,80
03222,8423,5
03217,8423,27
03256,8423,12
10153,4415,26
10043,4415,9
17063,7512,30
03234,8424,26
10072,4425,1
17018,7512,57
10155,4425,18
10041,4425,3
10018,4425,62
17102,7528,79
17015,7526,61
17020,7509,24
17131,7526,212
17125,7528,19
17067,7509,7
17156,7509,5
17097,7526,53
17058,7526,273
17151,7526,72
17150,7528,29
17163,7509,23
17030,7528,50
17113,7516,41
17079,7526,141
17126,7509,15
17161,7512,487
17025,7528,48
17154,7528,59
17060,7526,12
17054,7509,8
17056,7528,40
17053,7525,102
17081,7509,26
17041,7512,110
17032,7512,58
17078,7528,29
17105,7520,21
03262,8423,163
17070,7528,74
17168,7525,388
17084,7528,31
17121,7512,336
17122,7509,9
17061,7509,11
17019,7512,236
17118,7509,20
17098,7526,65
17033,7516,16
17006,7509,20
17080,7512,81
17037,7509,45
17016,7509,73
17124,7512,28
17059,7512,99
04141,9311,42
17110,7509,64
17112,7528,41
17022,7528,75
17021,7526,331
17171,7528,50
17045,7525,75
17117,7520,7
17141,7528,28
17143,7528,45
10184,4425,5
17096,7509,8
17136,7512,101
17023,7509,20
17075,7525,85
17027,7528,26
17094,7512,645
17106,7509,25
17052,7505,37
17012,7525,8
17082,7509,29
17004,7525,35
17055,7516,9
17153,7512,142
17152,7526,85
17146,7525,236
04032,9315,14
04033,9307,88
17116,7528,15
17160,7528,25
17086,7528,248
17026,7528,11
17068,7528,19
