annee,trimestre,code_zone_d_emploi,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_cvs
2012,2,5319,27696,27522,167747131
2012,1,0062,16569,16555,96965090
2012,2,7505,5,5,12647
2012,3,7506,26600,26677,150764791
2012,2,7508,22125,21844,139646749
2012,4,7508,21613,21725,142266911
2012,2,7509,30369,30031,181612162
2012,2,7512,65358,63957,379498054
2012,3,7512,65126,63964,381196275
2012,3,7516,361,359,1883266
2012,1,7527,4939,5016,28386040
2012,1,7530,14411,14537,81385259
2012,1,7501,34622,35031,205922179
2012,4,7501,34712,34665,204956439
2012,1,7517,515,526,2565205
2012,2,7517,529,526,2628073
2012,3,7518,19770,19621,106703038
2012,4,7518,19698,19707,106631484
2012,1,7519,24890,25379,145021670
2012,3,7519,25377,25043,144796567
2012,1,7521,14604,14708,85449862
2012,1,7531,15963,16304,86957456
2012,3,0063,9984,9891,56937550
2012,1,7602,48771,49299,276166015
2012,4,7602,49261,49216,281470302
2012,2,7604,28402,28250,150596851
2012,3,7607,17012,16742,89914036
2012,4,7607,16506,16659,90140604
2012,3,2805,44607,44435,287391656
2012,3,2806,12019,11871,64590021
2012,1,2809,25285,25539,149007297
2012,3,2810,10881,10646,57488456
2012,1,2811,11520,11884,70904688
2012,2,2811,12411,11898,70730165
2012,1,5301,17138,18249,99824609
2012,2,5301,19204,18272,100512754
2012,3,5301,19388,18228,100164774
2012,1,5302,89389,90214,555694567
2012,2,5302,91470,90473,557189546
2012,1,5304,18361,18859,99935055
2012,2,5304,19350,19014,100611873
2012,3,5304,19296,19068,101551574
2012,4,5304,18674,18983,102060539
2012,2,5219,65217,64052,405473079
2012,3,5219,65073,64322,406748491
2012,3,5220,21194,21059,115452936
2012,1,5221,11962,12080,67854557
2012,4,5221,11807,11764,67689318
2012,2,0051,7190,7129,37485343
2012,3,0062,1945,1930,8777222
2012,1,2812,8334,8403,48590656
2012,2,2812,8387,8291,48211329
2012,1,2814,18733,19022,109771904
2012,2,2814,19143,18962,109840071
2012,4,2814,18641,18827,109423613
2012,2,2816,26334,26126,143842602
2012,1,2818,10150,10291,58092677
2012,1,0061,5253,5289,32159877
2012,4,0061,5131,5131,31372538
2012,1,3202,91323,92029,563583462
2012,4,3202,91290,90942,562236599
2012,1,3209,12124,12217,72452888
2012,2,3209,12310,12181,72285911
2012,3,3209,12215,12174,72585830
2012,4,3209,12052,12063,73079204
2012,2,3210,53105,52766,349019204
2012,1,3211,63735,64127,419547998
2012,2,3214,18642,18485,102869239
2012,1,3217,7923,8023,46760310
2012,1,0054,61230,61688,394647998
2012,3,0054,61180,61280,392181653
2012,1,3203,47356,47880,280335845
2012,3,3203,47652,47497,281340423
2012,1,3212,49330,49667,304436819
2012,2,3213,72346,71652,477710955
2012,2,3215,90656,90195,526260529
2012,3,3215,89225,89099,524303832
2012,2,3216,327469,325185,2222944173
2012,4,3216,326952,325804,2232870051
2012,4,4401,15363,15267,90207670
2012,2,4404,3826,3780,19707234
2012,2,4407,46058,45401,275562801
2012,1,4410,128088,128928,805888140
2012,3,4410,128549,128046,799964503
2012,1,4412,145119,146224,917325592
2012,3,4412,145967,145194,918565268
2012,1,4414,22592,22809,128909948
2012,2,4414,22531,22567,129393289
2012,3,4416,31134,30724,196887566
2012,4,4417,19590,19654,115597359
2012,1,4419,17142,17425,104056819
2012,1,4420,23184,23556,144134541
2012,3,4420,23662,23280,144164282
2012,1,4421,1896,1918,11344339
2012,4,4421,1894,1899,11090377
2012,2,4424,57532,57293,353804448
2012,1,4426,13677,13837,76634309
2012,2,4426,13767,13718,77271715
2012,4,4426,13543,13583,77700836
2012,1,4419,9006,9078,58272213
2012,3,4419,9171,9101,58257187
2012,1,5211,45587,45916,284004193
2012,3,5211,46122,46044,284910924
2012,4,5211,45899,45841,286514248
2012,1,5214,16704,17409,97204527
2012,2,5214,17966,17408,97969273
2012,3,5214,18134,17496,98707953
2012,3,3204,29031,28588,163540589
2012,2,3205,50115,49770,307484253
2012,1,3206,38214,38878,219782795
2012,1,3207,31670,32181,192177149
2012,3,3207,32470,32391,193091965
2012,2,3218,92152,91635,576075956
2012,4,3218,90938,90761,577562644
2012,2,3219,44008,43386,250168890
2012,2,3222,94096,93667,567544916
2012,3,3222,92383,92087,563688053
2012,3,4402,25116,25049,151430394
2012,4,4402,24922,24978,152601074
2012,3,4403,37361,37311,228337087
2012,4,4403,37252,37321,227213764
2012,2,4406,18674,18459,120420436
2012,3,4413,91225,90880,577751807
2012,1,4415,16340,16510,107216701
2012,2,4415,16590,16516,107865454
2012,4,4415,16247,16304,108122261
2012,3,4421,16421,16317,98507435
2012,2,4425,65680,64899,368547056
2012,4,4427,25087,25334,150188066
2012,4,4427,818,817,4975276
2012,2,4405,58757,58418,381656107
2012,1,5201,25837,25989,153820522
2012,4,5201,26321,26163,158782028
2012,1,5202,105453,105850,629794345
2012,4,5202,105721,105805,640902614
2012,2,5203,33411,32376,178470300
2012,2,5204,10290,10214,57917738
2012,1,5205,10839,10849,59658211
2012,2,5205,10955,10843,60240557
2012,1,5207,23567,24109,131468133
2012,2,5207,24351,24054,132023207
2012,2,5208,17979,17832,109061834
2012,3,5208,17829,17809,108909907
2012,4,5208,17644,17739,108905997
2012,2,5209,11904,11878,69074892
2012,3,5209,11871,11883,67994820
2012,4,5209,11446,11518,67174290
2012,3,5215,19791,19729,117342829
2012,4,5216,299354,298955,2041576959
2012,1,5217,13266,13723,72738759
2012,3,5217,14011,13707,73349809
2012,2,5218,16206,16044,95066333
2012,4,5218,16772,16435,97188792
2012,1,7523,602,621,3560860
2012,3,7523,686,653,3660248
2012,2,7525,15219,14883,84450883
2012,3,7525,15005,14827,84647674
2012,4,7525,14545,14822,84968943
2012,3,7527,5004,4952,28315923
2012,2,7528,24816,24533,131759273
2012,3,7530,14410,14368,80928033
2012,4,7530,14240,14297,81244292
2012,2,7501,35188,34894,204897983
2012,2,7502,2,2,9953
2012,3,7503,88888,86277,527866991
2012,4,7504,20199,20423,116211804
2012,4,7505,335601,335472,2325473140
2012,2,7507,4188,4167,25650533
2012,4,7507,4058,4069,25337758
2012,1,7510,34588,35909,209082832
2012,4,7510,34013,35342,209118777
2012,4,7513,25072,26354,150540105
2012,2,7514,17879,17763,95600763
2012,3,7514,17791,17740,96071514
2012,4,7514,17598,17728,96142296
2012,1,7515,8674,9432,48966362
2012,2,7515,9639,9257,49436903
2012,1,7622,20899,21123,112745616
2012,3,7622,21261,21077,113860773
2012,1,7625,395419,396695,2893744456
2012,2,7625,401677,399092,2906076417
2012,4,7625,402160,401661,2962044426
2012,2,7601,16356,14976,78324090
2012,3,7601,16614,14822,78329926
2012,4,7601,13099,14777,77743462
2012,2,2805,44362,44129,285559208
2012,1,2806,11729,11985,64891734
2012,2,2806,12070,11921,64330565
2012,4,2806,11701,11765,64610810
2012,3,2809,25369,25318,149078376
2012,4,2809,24945,25199,149485455
2012,2,2810,10911,10713,57922596
2012,4,2810,10411,10577,57389352
2012,3,5302,90445,90342,561083333
2012,3,5303,13333,13232,73053064
2012,1,5219,63166,64292,406763517
2012,4,5219,63723,64904,411707922
2012,1,5220,20980,21166,115758172
2012,2,5220,21463,21168,115119211
2012,4,0051,7025,7063,37007050
2012,1,7603,31784,32357,171486218
2012,2,7603,32815,32287,171407250
2012,3,7603,32578,32212,171936177
2012,1,7605,17316,17478,130248085
2012,2,7605,17663,17459,132020322
2012,3,7605,17536,17410,131413380
2012,1,7606,41970,43137,241197377
2012,3,7606,44382,43421,243754215
2012,4,7606,42569,43482,244541820
2012,1,7608,33653,34423,180724592
2012,2,7608,34623,34097,180701938
2012,4,7608,33727,34046,182663878
2012,3,2811,12143,11833,70808660
2012,4,8414,29396,29132,206434591
2012,2,8427,23139,22967,134634417
2012,2,8433,58593,57879,359154490
2012,2,8434,41895,41462,253419771
2012,4,8434,41408,41485,256327213
2012,3,8435,39446,39103,240842624
2012,4,8435,38958,38922,240141322
2012,3,0055,17807,17695,140895976
2012,2,9301,124575,122758,829417581
2012,2,9302,9295,9995,55884266
2012,3,9304,134051,132157,957259697
2012,4,9305,15616,15826,88523450
2012,2,0101,1279,1270,6946447
2012,3,0101,1251,1284,7165130
2012,2,0102,5657,5597,30602339
2012,4,0102,5584,5634,31363848
2012,1,0103,1024,1001,5531820
2012,1,0104,51133,51749,363694807
2012,3,0104,52081,52306,368905033
2012,1,0105,8407,8457,48568187
2012,2,0105,8561,8506,48773183
2012,2,0203,846,847,4338809
2012,4,0203,817,818,4325281
2012,4,0204,2398,2405,14387845
2012,2,0206,8528,8514,51445515
2012,3,0206,8400,8533,52177796
2012,3,0302,1997,1961,10927706
2012,2,0303,5392,5360,51747850
2012,4,0303,5489,5489,52650342
2012,1,0401,12379,12560,65113112
2012,4,0401,12588,12468,66782117
2012,3,0402,38431,38491,249740721
2012,2,0403,49407,49408,335911161
2012,3,0403,49414,49422,337278050
2012,4,0403,50007,49676,340963684
2012,2,0404,37310,37544,207683702
2012,3,1101,141011,140697,989105100
2012,1,1102,10140,10220,59950364
2012,3,1102,10279,10214,59895622
2012,4,1102,10072,10083,59529781
2012,4,1105,34281,34314,232815632
2012,4,1110,7777,7785,45232470
2012,3,1111,14738,14784,102197091
2012,4,1111,14852,14856,102839946
2012,2,1112,281553,279950,2176225617
2012,1,1113,172584,173473,1499101833
2012,2,1113,174649,173006,1501129250
2012,3,1114,170147,170576,1343011632
2012,4,1114,169653,168447,1325941472
2012,1,2410,129982,130977,867343505
2012,2,2410,131737,131241,870512492
2012,3,2411,14938,14767,92693989
2012,4,2411,14712,14813,93637567
2012,2,2412,17782,17652,101067360
2012,1,2413,138750,139567,878591814
2012,2,2413,141044,139819,885117644
2012,2,2415,10108,10078,59025181
2012,1,0056,2757,2788,20558296
2012,1,0057,22424,22502,137172815
2012,4,0060,2059,2068,12294587
2012,1,0061,8827,8901,52139251
2012,2,0061,8982,8915,51887885
2012,4,0061,8857,8873,52083317
2012,3,2701,8509,8445,45879061
