zone_id,target_year,a10,jobs
BE_ostende,2018,KZ,478.0
BE_ostende,2018,LZ,537.0
BE_ostende,2018,MN,4523.0
BE_ostende,2018,OPQ,15805.0
BE_ostende,2018,RSU,1459.0
BE_ostende,2019,A,174.0
BE_ostende,2019,BE,4696.0
BE_ostende,2019,FZ,2351.0
BE_ostende,2019,GI,11891.0
BE_ostende,2019,JZ,202.0
BE_ostende,2019,KZ,471.0
BE_ostende,2019,LZ,549.0
BE_ostende,2019,MN,4928.0
BE_ostende,2019,OPQ,15801.0
BE_ostende,2019,RSU,1473.0
BE_ostende,2020,A,207.0
BE_ostende,2020,BE,4846.0
BE_ostende,2020,FZ,2320.0
BE_ostende,2020,GI,10930.0
BE_ostende,2020,JZ,189.0
BE_ostende,2020,KZ,484.0
BE_ostende,2020,LZ,540.0
BE_ostende,2020,MN,4640.0
BE_ostende,2020,OPQ,15686.0
BE_ostende,2020,RSU,1437.0
BE_philippeville,2008,A,37.0
BE_philippeville,2008,BE,1019.0
BE_philippeville,2008,FZ,753.0
BE_philippeville,2008,GI,2471.0
BE_philippeville,2008,JZ,19.0
BE_philippeville,2008,KZ,164.0
BE_philippeville,2008,LZ,29.0
BE_philippeville,2008,MN,634.0
BE_philippeville,2008,OPQ,6604.0
BE_philippeville,2008,RSU,568.0
BE_philippeville,2009,A,43.0
BE_philippeville,2009,BE,1130.0
BE_philippeville,2009,FZ,785.0
BE_philippeville,2009,GI,2436.0
BE_philippeville,2009,JZ,24.0
BE_philippeville,2009,KZ,169.0
BE_philippeville,2009,LZ,28.0
BE_philippeville,2009,MN,476.0
BE_philippeville,2009,OPQ,6722.0
BE_philippeville,2009,RSU,559.0
BE_philippeville,2010,A,65.0
BE_philippeville,2010,BE,1116.0
BE_philippeville,2010,FZ,819.0
BE_philippeville,2010,GI,2415.0
BE_philippeville,2010,JZ,17.0
BE_philippeville,2010,KZ,159.0
BE_philippeville,2010,LZ,26.0
BE_philippeville,2010,MN,553.0
BE_philippeville,2010,OPQ,6821.0
BE_philippeville,2010,RSU,565.0
BE_philippeville,2011,A,88.0
BE_philippeville,2011,BE,1177.0
BE_philippeville,2011,FZ,819.0
BE_philippeville,2011,GI,2552.0
BE_philippeville,2011,JZ,18.0
BE_philippeville,2011,KZ,156.0
BE_philippeville,2011,LZ,20.0
BE_philippeville,2011,MN,599.0
BE_philippeville,2011,OPQ,6829.0
BE_philippeville,2011,RSU,554.0
BE_philippeville,2012,A,80.0
BE_philippeville,2012,BE,1193.0
BE_philippeville,2012,FZ,824.0
BE_philippeville,2012,GI,2489.0
BE_philippeville,2012,JZ,17.0
BE_philippeville,2012,KZ,154.0
BE_philippeville,2012,LZ,23.0
BE_philippeville,2012,MN,620.0
BE_philippeville,2012,OPQ,6662.0
BE_philippeville,2012,RSU,540.0
BE_philippeville,2013,A,81.0
BE_philippeville,2013,BE,1138.0
