country,eval_year,exclude_covid,community_id,region_id,community_size,n_graph_edges,modularity
FR,2018,False,6,3222,28,901,0.3887526847047281
FR,2018,False,6,4404,28,901,0.3887526847047281
FR,2018,False,6,4426,28,901,0.3887526847047281
FR,2018,False,6,5203,28,901,0.3887526847047281
FR,2018,False,6,5212,28,901,0.3887526847047281
FR,2018,False,6,5215,28,901,0.3887526847047281
FR,2018,False,6,5219,28,901,0.3887526847047281
FR,2018,False,6,5316,28,901,0.3887526847047281
FR,2018,False,6,5317,28,901,0.3887526847047281
FR,2018,False,6,7502,28,901,0.3887526847047281
FR,2018,False,6,7503,28,901,0.3887526847047281
FR,2018,False,6,7504,28,901,0.3887526847047281
FR,2018,False,6,7507,28,901,0.3887526847047281
FR,2018,False,6,7509,28,901,0.3887526847047281
FR,2018,False,6,7513,28,901,0.3887526847047281
FR,2018,False,6,7620,28,901,0.3887526847047281
FR,2018,False,6,7622,28,901,0.3887526847047281
FR,2018,False,6,8402,28,901,0.3887526847047281
FR,2018,False,6,8420,28,901,0.3887526847047281
FR,2018,False,6,9302,28,901,0.3887526847047281
FR,2018,False,6,9308,28,901,0.3887526847047281
FR,2018,False,6,9312,28,901,0.3887526847047281
FR,2018,False,7,1104,24,901,0.3887526847047281
FR,2018,False,7,1107,24,901,0.3887526847047281
FR,2018,False,7,1112,24,901,0.3887526847047281
FR,2018,False,7,2408,24,901,0.3887526847047281
FR,2018,False,7,2702,24,901,0.3887526847047281
FR,2018,False,7,2709,24,901,0.3887526847047281
FR,2018,False,7,2713,24,901,0.3887526847047281
FR,2018,False,7,2813,24,901,0.3887526847047281
