ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
22,2019,21,2220.0,2220.0,1885.0,0.1777188328912466,0,0,0,1,0,0,16465.0
23,2019,22,29420.0,29420.0,25410.0,0.1578118850846123,0,0,0,1,0,0,202285.0
24,2019,23,3825.0,3825.0,3415.0,0.1200585651537335,0,0,0,1,0,0,36270.0
25,2019,24,4825.0,4825.0,4290.0,0.1247086247086247,0,0,0,1,0,0,42870.0
26,2019,25,14920.0,14920.0,13240.0,0.1268882175226586,0,0,0,1,0,0,92970.0
27,2019,26,2920.0,2920.0,2565.0,0.138401559454191,0,0,0,1,0,0,25110.0
28,2019,27,3435.0,3435.0,3235.0,0.061823802163833,0,0,0,1,0,0,34745.0
29,2019,28,20045.0,20045.0,17210.0,0.1647298082510168,0,0,0,1,0,0,141185.0
30,2019,29,3835.0,3835.0,3655.0,0.0492476060191518,0,0,0,1,0,0,38170.0
31,2019,30,805.0,805.0,750.0,0.0733333333333333,0,0,0,1,0,0,9895.0
32,2019,31,2690.0,2690.0,2410.0,0.1161825726141078,0,0,0,1,0,0,28355.0
33,2019,32,6935.0,6935.0,6210.0,0.1167471819645732,0,0,0,1,0,0,65985.0
34,2019,33,5395.0,5395.0,4685.0,0.151547491995731,0,0,0,1,0,0,49010.0
35,2019,34,7255.0,7255.0,6505.0,0.1152959262106072,0,0,0,1,0,0,74300.0
36,2019,35,8735.0,8735.0,7825.0,0.11629392971246,0,0,0,1,0,0,82080.0
37,2019,36,2440.0,2440.0,2190.0,0.1141552511415525,0,0,0,1,0,0,25810.0
38,2019,37,2105.0,2105.0,1815.0,0.1597796143250688,0,0,0,1,0,0,23485.0
39,2019,38,4795.0,4795.0,4430.0,0.082392776523702,0,0,0,1,0,0,51090.0
40,2019,39,5585.0,5585.0,4745.0,0.1770284510010537,0,0,0,1,0,0,41820.0
1,2020,0,995.0,995.0,895.0,0.1117318435754189,0,0,0,1,0,0,11385.0
2,2020,1,280.0,280.0,250.0,0.12,0,0,0,1,0,0,3625.0
3,2020,2,4445.0,4445.0,4260.0,0.0434272300469483,0,0,0,1,0,0,40350.0
4,2020,3,3080.0,3080.0,2805.0,0.0980392156862745,0,0,0,1,0,0,32040.0
5,2020,4,1275.0,1275.0,1230.0,0.0365853658536585,0,0,0,1,0,0,17130.0
6,2020,5,1620.0,1620.0,1600.0,0.0125,0,0,0,1,0,0,19485.0
7,2020,6,1580.0,1580.0,1575.0,0.0031746031746031,0,0,0,1,0,0,18915.0
8,2020,7,1315.0,1315.0,1280.0,0.02734375,0,0,0,1,0,0,15535.0
9,2020,8,1145.0,1145.0,1075.0,0.0651162790697674,0,0,0,1,0,0,13980.0
10,2020,9,3555.0,3555.0,3375.0,0.0533333333333333,0,0,0,1,0,0,38655.0
11,2020,10,1500.0,1500.0,1465.0,0.0238907849829351,0,0,0,1,0,0,15335.0
12,2020,11,5585.0,5585.0,5465.0,0.0219579139981701,0,0,0,1,0,0,60540.0
13,2020,12,7145.0,7145.0,6955.0,0.0273184759166067,0,0,0,1,0,0,74915.0
14,2020,13,3450.0,3450.0,3235.0,0.0664605873261205,0,0,0,1,0,0,42820.0
15,2020,14,8435.0,8435.0,8510.0,-0.008813160987074,0,0,0,1,0,0,77830.0
16,2020,15,2685.0,2685.0,2590.0,0.0366795366795366,0,0,0,1,0,0,30030.0
17,2020,16,17745.0,17745.0,18425.0,-0.0369063772048846,0,0,0,1,0,0,166225.0
18,2020,17,3805.0,3805.0,3880.0,-0.0193298969072164,0,0,0,1,0,0,40455.0
19,2020,18,3105.0,3105.0,2860.0,0.0856643356643356,0,0,0,1,0,0,27765.0
20,2020,19,2200.0,2200.0,2165.0,0.0161662817551963,0,0,0,1,0,0,19970.0
21,2020,20,3370.0,3370.0,3680.0,-0.0842391304347826,0,0,0,1,0,0,31270.0
22,2020,21,2170.0,2170.0,2220.0,-0.0225225225225225,0,0,0,1,0,0,17460.0
23,2020,22,27680.0,27680.0,29420.0,-0.0591434398368456,0,0,0,1,0,0,214980.0
24,2020,23,3735.0,3735.0,3825.0,-0.0235294117647058,0,0,0,1,0,0,37855.0
25,2020,24,4800.0,4800.0,4825.0,-0.005181347150259,0,0,0,1,0,0,45050.0
26,2020,25,14520.0,14520.0,14920.0,-0.0268096514745308,0,0,0,1,0,0,100265.0
27,2020,26,2945.0,2945.0,2920.0,0.0085616438356164,0,0,0,1,0,0,26420.0
28,2020,27,3545.0,3545.0,3435.0,0.032023289665211,0,0,0,1,0,0,36420.0
29,2020,28,20330.0,20330.0,20045.0,0.0142180094786729,0,0,0,1,0,0,149795.0
30,2020,29,3940.0,3940.0,3835.0,0.0273794002607561,0,0,0,1,0,0,36420.0
31,2020,30,870.0,870.0,805.0,0.0807453416149068,0,0,0,1,0,0,10155.0
32,2020,31,2785.0,2785.0,2690.0,0.0353159851301115,0,0,0,1,0,0,29700.0
33,2020,32,7190.0,7190.0,6935.0,0.0367700072098053,0,0,0,1,0,0,68475.0
34,2020,33,5620.0,5620.0,5395.0,0.041705282669138,0,0,0,1,0,0,51320.0
35,2020,34,7520.0,7520.0,7255.0,0.0365265334252239,0,0,0,1,0,0,77345.0
36,2020,35,8960.0,8960.0,8735.0,0.0257584430452203,0,0,0,1,0,0,85440.0
