country,sector,eval_year,n_edges_topk5,density,w_mean,w_std,w_median
NL,GI,2017,134,0.1717948717948718,0.7968030441007967,0.1433729197885522,0.8352903081641514
NL,GI,2018,132,0.16923076923076924,0.7811850972539685,0.1793928142126572,0.8417922861107607
NL,GI,2019,130,0.16666666666666666,0.7853967389742456,0.1605997852679839,0.8324806501576851
NL,GI,2020,140,0.1794871794871795,0.9261455174986245,0.07053811840470406,0.9505479940828204
NL,GI,2021,133,0.17051282051282052,0.9363333726364483,0.04773602505537055,0.9487892818775736
NL,GI,2022,133,0.17051282051282052,0.9253983054844913,0.05520855859227616,0.9394648419849044
NL,GI,2023,133,0.17051282051282052,0.9423756705877677,0.08127340941381798,0.961341062272475
NL,GI,2024,139,0.1782051282051282,0.9409921932983772,0.09348644427714611,0.9659130165829068
NL,GI,2025,144,0.18461538461538463,0.9331095874359734,0.07282701615467796,0.9639325966330795
NL,GI,2026,134,0.1717948717948718,0.9311893087901898,0.07809319121708751,0.9662032195331286
NL,JZ,2012,125,0.16025641025641027,0.8636244825605067,0.16012465169845977,0.9288227817630555
NL,JZ,2013,129,0.16538461538461538,0.8002012301419339,0.1637007828203125,0.8427638548271952
NL,JZ,2014,135,0.17307692307692307,0.7719082095376792,0.1729003671266708,0.8417610546114241
NL,JZ,2015,128,0.1641025641025641,0.7886494030414013,0.1649601623052613,0.8202039013730207
NL,JZ,2016,127,0.16282051282051282,0.7854112003227061,0.128651891628327,0.8168024371964384
NL,JZ,2017,124,0.15897435897435896,0.7396658158516368,0.16106591093618788,0.7748954660799965
NL,JZ,2018,126,0.16153846153846155,0.7535577148866581,0.133090146054049,0.7624176646449777
NL,JZ,2019,127,0.16282051282051282,0.7575570741335752,0.14720617848666806,0.7883259604434399
NL,JZ,2020,122,0.1564102564102564,0.7893736799978479,0.1233210815889137,0.8109434809801103
NL,JZ,2021,120,0.15384615384615385,0.7602341612376894,0.13504027194589938,0.774965851819432
NL,JZ,2022,132,0.16923076923076924,0.7701108096060669,0.13539542842729183,0.8002178327082133
NL,JZ,2023,135,0.17307692307692307,0.7811617743641867,0.1719280592147075,0.8253312424430448
NL,JZ,2024,132,0.16923076923076924,0.7979812931747688,0.16895063768394755,0.8528433844561832
NL,JZ,2025,135,0.17307692307692307,0.7979967007812004,0.22285998571001434,0.8857551297044827
NL,JZ,2026,143,0.18333333333333332,0.8022626413494114,0.20327664548490929,0.8766268454050711
NL,KZ,2012,139,0.1782051282051282,0.9296717697390185,0.11156391590835357,0.9687290600819164
NL,KZ,2013,139,0.1782051282051282,0.9014818243405723,0.12806974101623667,0.946301491198838
NL,KZ,2014,141,0.18076923076923077,0.8735387662268121,0.1465152437018463,0.9371102377750518
NL,KZ,2015,138,0.17692307692307693,0.8724524388317508,0.14248199219223787,0.9314149532352121
NL,KZ,2016,128,0.1641025641025641,0.8209744022448948,0.14643448107256582,0.8626528290269639
NL,KZ,2017,123,0.1576923076923077,0.8174021961862981,0.09925673366470765,0.8284586104538131
NL,KZ,2018,132,0.16923076923076924,0.8080061415846446,0.12811221610856782,0.8404909907350446
NL,KZ,2019,125,0.16025641025641027,0.8184549914295598,0.10917188984835809,0.8378905505598861
NL,KZ,2020,127,0.16282051282051282,0.8237808830291029,0.10418399698036052,0.8400363462379695
NL,KZ,2021,118,0.15128205128205127,0.793284832743544,0.13110916134863213,0.8213062427882215
NL,KZ,2022,124,0.15897435897435896,0.7465332946913057,0.12769850731203972,0.7503220112454416
NL,KZ,2023,124,0.15897435897435896,0.7715804219940924,0.13853047986260633,0.790417752479351
NL,KZ,2024,142,0.18205128205128204,0.9178901578639912,0.13959155387977318,0.9637418316076904
NL,KZ,2025,145,0.1858974358974359,0.9429461170823116,0.16187811007098038,0.9901059533740184
NL,KZ,2026,141,0.18076923076923077,0.9529974455435815,0.17153261300848446,0.9929041921286984
NL,LZ,2012,120,0.15384615384615385,0.9399559234959712,0.11641880798223939,0.9644855445713985
NL,LZ,2013,124,0.15897435897435896,0.8800789431009782,0.10280512546015601,0.9020051916263478
NL,LZ,2014,129,0.16538461538461538,0.8654418065856315,0.1020008940863989,0.8880938818559528
NL,LZ,2015,125,0.16025641025641027,0.8607844564996848,0.10837386886244645,0.8947164219195556
NL,LZ,2016,126,0.16153846153846155,0.7932029442899502,0.1439643911832252,0.810035377091876
NL,LZ,2017,130,0.16666666666666666,0.7842350147449996,0.1465832923782281,0.8008840781936496
NL,LZ,2018,125,0.16025641025641027,0.8035565614701338,0.1254100751849345,0.809638256081867
NL,LZ,2019,116,0.14871794871794872,0.7811533251076597,0.12000914698149924,0.7703900504756427
NL,LZ,2020,117,0.15,0.7553921827625062,0.13193851679824173,0.7551424126919054
NL,LZ,2021,122,0.1564102564102564,0.7380027185393584,0.14910430112507833,0.7308267494364427
NL,LZ,2022,118,0.15128205128205127,0.7669492532698382,0.14943795292852624,0.7976718133305429
NL,LZ,2023,131,0.16794871794871793,0.7706772593703042,0.1879020220949171,0.8236856794706962
NL,LZ,2024,128,0.1641025641025641,0.7852975614100409,0.1828125104426511,0.8430670006131746
NL,LZ,2025,126,0.16153846153846155,0.7776344616739822,0.21553080139069236,0.8524414118976105
NL,LZ,2026,128,0.1641025641025641,0.8044378080520913,0.19930766855274973,0.8908553516856934
NL,MN,2012,134,0.1717948717948718,0.9631329627283041,0.04986997351629489,0.9793042303245967
NL,MN,2013,139,0.1782051282051282,0.927564539928508,0.0667389336532176,0.9478525868550064
NL,MN,2014,132,0.16923076923076924,0.9368345374205292,0.05229368947100902,0.9512464229528093
NL,MN,2015,135,0.17307692307692307,0.938982885368651,0.05291905980187145,0.9567986787809576
NL,MN,2016,144,0.18461538461538463,0.8331066491124789,0.1770736623873376,0.8946618670922044
NL,MN,2017,134,0.1717948717948718,0.769346384024914,0.18920799542903904,0.8291407691149645
NL,MN,2018,122,0.1564102564102564,0.7636421692161438,0.15791048236416486,0.7968801596839804
NL,MN,2019,134,0.1717948717948718,0.7966994329718545,0.19242709882855766,0.8773628690711381
NL,MN,2020,129,0.16538461538461538,0.8516691727541623,0.10245084769271502,0.881868445083325
NL,MN,2021,134,0.1717948717948718,0.7992120905102507,0.16049717483296366,0.8618921922072512
NL,MN,2022,142,0.18205128205128204,0.7850203624500232,0.20611083564023094,0.8489027071769399
NL,MN,2023,135,0.17307692307692307,0.7904608916241014,0.1782969356606502,0.8461758544502508
NL,MN,2024,137,0.17564102564102563,0.8369763778851307,0.1535468704143153,0.8978837616244871
NL,MN,2025,141,0.18076923076923077,0.9162454634668589,0.09536774250091123,0.9487120138067696
NL,MN,2026,144,0.18461538461538463,0.9226361697338936,0.08163721117079273,0.9558752878179619
NL,OQ,2020,129,0.16538461538461538,0.8851469689252252,0.12127697346875627,0.9326952722388886
NL,OQ,2021,135,0.17307692307692307,0.8486252467730654,0.10056842302243914,0.8801981302676876
