country,sector,eval_year,jaccard_k3_k5,jaccard_k5_k10
PT,FZ,2024,0.5822784810126582,0.5031847133757962
PT,FZ,2025,0.5795454545454546,0.5238095238095238
PT,GI,2013,0.6219512195121951,0.5
PT,GI,2014,0.6,0.5389221556886228
PT,GI,2015,0.5730337078651685,0.5393939393939394
PT,GI,2016,0.5842696629213483,0.5297619047619048
PT,GI,2017,0.6190476190476191,0.509090909090909
PT,GI,2018,0.6444444444444445,0.5389221556886228
PT,GI,2019,0.6125,0.5263157894736842
PT,GI,2020,0.6756756756756757,0.48366013071895425
PT,GI,2021,0.6049382716049383,0.5510204081632653
PT,GI,2022,0.6172839506172839,0.5225806451612903
PT,GI,2023,0.6265060240963856,0.535483870967742
PT,GI,2024,0.6375,0.5263157894736842
PT,GI,2025,0.6785714285714286,0.5153374233128835
PT,JZ,2013,0.5802469135802469,0.5159235668789809
PT,JZ,2014,0.625,0.5095541401273885
PT,JZ,2015,0.5955056179775281,0.5493827160493827
PT,JZ,2016,0.5647058823529412,0.5592105263157895
PT,JZ,2017,0.6075949367088608,0.572463768115942
PT,JZ,2018,0.6216216216216216,0.5481481481481482
PT,JZ,2019,0.6363636363636364,0.5384615384615384
PT,JZ,2020,0.6756756756756757,0.5401459854014599
PT,JZ,2021,0.6351351351351351,0.5362318840579711
PT,JZ,2022,0.5882352941176471,0.551948051948052
PT,JZ,2023,0.5975609756097561,0.5394736842105263
PT,JZ,2024,0.5679012345679012,0.5586206896551724
PT,JZ,2025,0.6455696202531646,0.5524475524475524
PT,LZ,2013,0.5833333333333334,0.5454545454545454
PT,LZ,2014,0.6049382716049383,0.5328947368421053
PT,LZ,2015,0.6794871794871795,0.5777777777777777
PT,LZ,2016,0.5921052631578947,0.5277777777777778
PT,LZ,2017,0.5866666666666667,0.5172413793103449
PT,LZ,2018,0.6233766233766234,0.5310344827586206
PT,LZ,2019,0.6486486486486487,0.5692307692307692
PT,LZ,2020,0.5897435897435898,0.5165562913907285
PT,LZ,2021,0.569620253164557,0.5266666666666666
PT,LZ,2022,0.6352941176470588,0.5821917808219178
PT,LZ,2023,0.6296296296296297,0.5586206896551724
PT,LZ,2024,0.6385542168674698,0.5460526315789473
PT,LZ,2025,0.6395348837209303,0.5584415584415584
PT,MN,2013,0.5882352941176471,0.5414012738853503
PT,MN,2014,0.627906976744186,0.5
PT,MN,2015,0.6470588235294118,0.5414012738853503
PT,MN,2016,0.6428571428571429,0.5121951219512195
PT,MN,2017,0.6538461538461539,0.52
PT,MN,2018,0.625,0.5517241379310345
PT,MN,2019,0.6352941176470588,0.5704697986577181
PT,MN,2020,0.6265060240963856,0.535483870967742
PT,MN,2021,0.6625,0.5
PT,MN,2022,0.627906976744186,0.5180722891566265
PT,MN,2023,0.5632183908045977,0.5058139534883721
PT,MN,2024,0.5955056179775281,0.52046783625731
PT,MN,2025,0.6363636363636364,0.5057471264367817
PT,OQ,2013,0.5842696629213483,0.5705128205128205
PT,OQ,2014,0.627906976744186,0.5375
