country,sector,year_from,year_to,n_common_pairs,mean_abs_change,frac_strengthening,frac_weakening,wave_signal
NL,KZ,2020,2021,780,0.3152211153720483,0.191025641025641,0.40384615384615385,True
NL,KZ,2021,2022,780,0.27961999534896625,0.2128205128205128,0.37051282051282053,True
NL,KZ,2022,2023,780,0.26084007689622446,0.37051282051282053,0.2,True
NL,KZ,2023,2024,780,0.6900735673335006,0.8564102564102564,0.021794871794871794,True
NL,KZ,2024,2025,780,0.12422195156678707,0.3076923076923077,0.00641025641025641,True
NL,KZ,2025,2026,780,0.05103303611070105,0.04871794871794872,0.00641025641025641,False
NL,LZ,2012,2013,741,0.1796247140705194,0.10931174089068826,0.28879892037786775,True
NL,LZ,2013,2014,741,0.17055839831705707,0.13765182186234817,0.28879892037786775,True
NL,LZ,2014,2015,703,0.18744233428428975,0.12375533428165007,0.32574679943101,True
NL,LZ,2015,2016,741,0.2403181421458071,0.044534412955465584,0.5695006747638327,True
NL,LZ,2016,2017,780,0.2632882576635236,0.25,0.3038461538461538,True
NL,LZ,2017,2018,780,0.2662949010978701,0.28076923076923077,0.2858974358974359,True
NL,LZ,2018,2019,779,0.19194973384742714,0.1797175866495507,0.24775353016688062,False
NL,LZ,2019,2020,741,0.23354692070743155,0.25775978407557354,0.2834008097165992,True
NL,LZ,2020,2021,741,0.25193846864567165,0.2968960863697706,0.23346828609986506,True
NL,LZ,2021,2022,741,0.30093920656972,0.37786774628879893,0.26045883940620784,True
NL,LZ,2022,2023,741,0.24373032962325283,0.39946018893387314,0.1349527665317139,True
NL,LZ,2023,2024,741,0.20873250179735814,0.21997300944669365,0.242914979757085,False
NL,LZ,2024,2025,741,0.27866646823180463,0.30364372469635625,0.2739541160593792,True
NL,LZ,2025,2026,741,0.2163575439366384,0.2739541160593792,0.2321187584345479,True
NL,MN,2012,2013,780,0.07062969141452775,0.0,0.14358974358974358,False
NL,MN,2013,2014,780,0.07458164108343353,0.10384615384615385,0.047435897435897434,False
NL,MN,2014,2015,780,0.10277398118954777,0.1564102564102564,0.09102564102564102,False
NL,MN,2015,2016,780,0.2876201004452348,0.002564102564102564,0.5641025641025641,True
NL,MN,2016,2017,780,0.35635295723839244,0.09487179487179487,0.5705128205128205,True
NL,MN,2017,2018,780,0.29118335724367583,0.20512820512820512,0.4076923076923077,True
NL,MN,2018,2019,780,0.32404524254896394,0.47692307692307695,0.18076923076923077,True
NL,MN,2019,2020,780,0.2413926559668931,0.38333333333333336,0.13333333333333333,True
NL,MN,2020,2021,780,0.21701130808154612,0.10256410256410256,0.38974358974358975,True
NL,MN,2021,2022,780,0.18918425090785193,0.23717948717948717,0.17692307692307693,False
NL,MN,2022,2023,780,0.230307313740842,0.18974358974358974,0.31794871794871793,True
NL,MN,2023,2024,780,0.2982106660398804,0.5230769230769231,0.09487179487179487,True
NL,MN,2024,2025,780,0.24052743475644803,0.5051282051282051,0.02435897435897436,True
NL,MN,2025,2026,780,0.09688141113138504,0.16794871794871793,0.05512820512820513,False
NL,OQ,2020,2021,780,0.19395625117167073,0.2858974358974359,0.16923076923076924,True
NL,OQ,2021,2022,780,0.21038400373054938,0.3346153846153846,0.13974358974358975,True
NL,OQ,2022,2023,780,0.20149293299724713,0.15,0.31153846153846154,True
NL,OQ,2023,2024,780,0.1870983300609501,0.2064102564102564,0.2205128205128205,False
NL,OQ,2024,2025,780,0.3308287023037497,0.6089743589743589,0.01282051282051282,True
NL,OQ,2025,2026,780,0.1054024413607507,0.24487179487179486,0.016666666666666666,False
NL,RU,2012,2013,780,0.059258988063861845,0.001282051282051282,0.10384615384615385,False
NL,RU,2013,2014,780,0.06789100708782558,0.0782051282051282,0.03974358974358974,False
NL,RU,2014,2015,780,0.27273033588423706,0.017948717948717947,0.5948717948717949,True
NL,RU,2015,2016,780,0.4041349959279754,0.020512820512820513,0.7333333333333333,True
NL,RU,2016,2017,780,0.28321769446115,0.4256410256410256,0.2153846153846154,True
NL,RU,2017,2018,780,0.2955148228277293,0.17307692307692307,0.4756410256410256,True
NL,RU,2018,2019,780,0.19142344662453337,0.22564102564102564,0.24615384615384617,False
NL,RU,2019,2020,780,0.21291619089567623,0.21923076923076923,0.2948717948717949,True
NL,RU,2020,2021,780,0.2649747794223808,0.24871794871794872,0.3128205128205128,True
NL,RU,2021,2022,780,0.2930484160174823,0.24358974358974358,0.3384615384615385,True
NL,RU,2022,2023,780,0.3627624909862634,0.5987179487179487,0.1141025641025641,True
NL,RU,2023,2024,780,0.18745404955559258,0.26794871794871794,0.16153846153846155,True
NL,RU,2024,2025,780,0.23045942295135596,0.44358974358974357,0.06794871794871794,True
NL,RU,2025,2026,780,0.15060956699060757,0.19743589743589743,0.17435897435897435,False
PT,BE,2013,2014,300,0.14150404636990194,0.16666666666666666,0.19333333333333333,False
PT,BE,2014,2015,300,0.12170240680524505,0.006666666666666667,0.28,True
PT,BE,2015,2016,300,0.11870051416217726,0.016666666666666666,0.25,True
PT,BE,2016,2017,300,0.2575403100714288,0.29333333333333333,0.2966666666666667,True
PT,BE,2017,2018,300,0.18137546087170983,0.38,0.016666666666666666,True
PT,BE,2018,2019,300,0.16926425294762254,0.05,0.3433333333333333,True
PT,BE,2019,2020,300,0.11544113870675979,0.21666666666666667,0.07333333333333333,False
PT,BE,2020,2021,300,0.09742620337166615,0.13666666666666666,0.07666666666666666,False
PT,BE,2021,2022,300,0.18854604490046772,0.11666666666666667,0.31666666666666665,True
PT,BE,2022,2023,300,0.33666767325939323,0.22333333333333333,0.4166666666666667,True
PT,BE,2023,2024,300,0.12745273303416288,0.18666666666666668,0.13333333333333333,False
PT,BE,2024,2025,300,0.1404830754401173,0.08,0.2633333333333333,True
PT,FZ,2013,2014,300,0.3330841777181273,0.5733333333333334,0.05,True
PT,FZ,2014,2015,300,0.17646242582661725,0.0033333333333333335,0.4066666666666667,True
PT,FZ,2015,2016,300,0.08069429319639206,0.06333333333333334,0.09,False
PT,FZ,2016,2017,300,0.08180893983003677,0.1,0.07666666666666666,False
PT,FZ,2017,2018,300,0.18923144475724984,0.05333333333333334,0.38666666666666666,True
PT,FZ,2018,2019,300,0.4044528416258196,0.13666666666666666,0.5233333333333333,True
PT,FZ,2019,2020,300,0.2922511759873413,0.27,0.36,True
PT,FZ,2020,2021,300,0.26308468090687265,0.5,0.09,True
PT,FZ,2021,2022,300,0.17423863568702236,0.35,0.09333333333333334,True
PT,FZ,2022,2023,300,0.11427767055315664,0.13666666666666666,0.12,False
PT,FZ,2023,2024,300,0.18947000180559798,0.26666666666666666,0.18,True
PT,FZ,2024,2025,300,0.1985135685079779,0.21333333333333335,0.18666666666666668,False
PT,GI,2013,2014,300,0.10164595031545225,0.19666666666666666,0.02666666666666667,False
PT,GI,2014,2015,300,0.1423999919609386,0.013333333333333334,0.3233333333333333,True
PT,GI,2015,2016,300,0.10290909102805286,0.07333333333333333,0.14333333333333334,False
PT,GI,2016,2017,300,0.09722443507576788,0.20666666666666667,0.0,False
PT,GI,2017,2018,300,0.04807808161542102,0.023333333333333334,0.03,False
PT,GI,2018,2019,300,0.36944245352995636,0.03333333333333333,0.5433333333333333,True
PT,GI,2019,2020,300,0.2626712445945179,0.16,0.35333333333333333,True
PT,GI,2020,2021,300,0.18451460786385,0.42,0.05,True
PT,GI,2021,2022,300,0.10883529832730617,0.17333333333333334,0.08,False
PT,GI,2022,2023,300,0.10587246912253856,0.14,0.08,False
PT,GI,2023,2024,300,0.17716998715671645,0.36333333333333334,0.04,True
PT,GI,2024,2025,300,0.12179811216553801,0.17666666666666667,0.10666666666666667,False
PT,JZ,2013,2014,300,0.17072435916363568,0.11,0.3,True
PT,JZ,2014,2015,300,0.194661553659936,0.03,0.37666666666666665,True
PT,JZ,2015,2016,300,0.16935743051765562,0.16333333333333333,0.22,False
PT,JZ,2016,2017,300,0.2795452667534114,0.20333333333333334,0.3933333333333333,True
PT,JZ,2017,2018,300,0.26797001446816143,0.21333333333333335,0.37666666666666665,True
PT,JZ,2018,2019,300,0.22287818974501686,0.26,0.25333333333333335,True
PT,JZ,2019,2020,300,0.21330560029375975,0.20666666666666667,0.35333333333333333,True
PT,JZ,2020,2021,300,0.3259872992157021,0.31333333333333335,0.2833333333333333,True
PT,JZ,2021,2022,300,0.3850615987121817,0.5766666666666667,0.12666666666666668,True
PT,JZ,2022,2023,300,0.1322912246593577,0.18,0.15,False
PT,JZ,2023,2024,300,0.1165255532816873,0.15333333333333332,0.09333333333333334,False
PT,JZ,2024,2025,300,0.11938247755024899,0.09333333333333334,0.18666666666666668,False
PT,LZ,2013,2014,300,0.25681141430058146,0.16666666666666666,0.32666666666666666,True
PT,LZ,2014,2015,300,0.34948569394006823,0.16333333333333333,0.49,True
PT,LZ,2015,2016,300,0.28776878217553764,0.45666666666666667,0.15666666666666668,True
PT,LZ,2016,2017,300,0.2334501940332628,0.21,0.3,True
PT,LZ,2017,2018,300,0.2592736471866975,0.20333333333333334,0.37333333333333335,True
PT,LZ,2018,2019,300,0.3199183170621491,0.2733333333333333,0.42,True
PT,LZ,2019,2020,300,0.3055115818689181,0.44666666666666666,0.14,True
PT,LZ,2020,2021,300,0.26443055440825863,0.3,0.2633333333333333,True
PT,LZ,2021,2022,300,0.23313174254443567,0.27666666666666667,0.22,True
PT,LZ,2022,2023,300,0.19230113836714774,0.27666666666666667,0.23333333333333334,True
PT,LZ,2023,2024,300,0.2625911769838407,0.2966666666666667,0.2733333333333333,True
PT,LZ,2024,2025,300,0.15059761234030047,0.13,0.21333333333333335,False
PT,MN,2013,2014,300,0.2541743391165769,0.3466666666666667,0.18333333333333332,True
PT,MN,2014,2015,300,0.2998137716024672,0.03666666666666667,0.5066666666666667,True
PT,MN,2015,2016,300,0.21374166349404386,0.41,0.09,True
PT,MN,2016,2017,300,0.20087236201231443,0.11,0.31,True
PT,MN,2017,2018,300,0.38248615664269486,0.06333333333333334,0.6166666666666667,True
PT,MN,2018,2019,300,0.3932110725265888,0.43666666666666665,0.31333333333333335,True
PT,MN,2019,2020,300,0.32484519490060026,0.4033333333333333,0.18333333333333332,True
PT,MN,2020,2021,300,0.28810034800237244,0.4533333333333333,0.11333333333333333,True
PT,MN,2021,2022,300,0.20409589722107133,0.5166666666666667,0.016666666666666666,True
PT,MN,2022,2023,300,0.11234997070786756,0.20666666666666667,0.07333333333333333,False
PT,MN,2023,2024,300,0.08756684937132327,0.12,0.06,False
PT,MN,2024,2025,300,0.08222707857258421,0.08333333333333333,0.08666666666666667,False
PT,OQ,2013,2014,300,0.1083382164214806,0.22333333333333333,0.02,False
PT,OQ,2014,2015,300,0.10427749752483093,0.06666666666666667,0.17333333333333334,False
PT,OQ,2015,2016,300,0.16264410099722368,0.14666666666666667,0.20333333333333334,False
PT,OQ,2016,2017,300,0.10958499255323102,0.08,0.15,False
PT,OQ,2017,2018,300,0.457540121855318,0.03333333333333333,0.7033333333333334,True
PT,OQ,2018,2019,300,0.27481193768393053,0.25,0.37666666666666665,True
PT,OQ,2019,2020,300,0.24195596653971213,0.39,0.14333333333333334,True
PT,OQ,2020,2021,300,0.28165755350109245,0.5633333333333334,0.09,True
PT,OQ,2021,2022,300,0.2675516559015053,0.46,0.13666666666666666,True
PT,OQ,2022,2023,300,0.1847124767649636,0.24,0.21,False
PT,OQ,2023,2024,300,0.1473469658203038,0.31666666666666665,0.05,True
PT,OQ,2024,2025,300,0.06033566652320039,0.06666666666666667,0.05,False
PT,RU,2013,2014,300,0.20231416719825007,0.28,0.17,True
PT,RU,2014,2015,300,0.22002260992608133,0.11333333333333333,0.39,True
PT,RU,2015,2016,300,0.19569203857181297,0.06,0.36,True
PT,RU,2016,2017,300,0.12372179098483371,0.14666666666666667,0.14333333333333334,False
PT,RU,2017,2018,300,0.265513587380749,0.13,0.4533333333333333,True
PT,RU,2018,2019,300,0.3700729760185777,0.18333333333333332,0.4533333333333333,True
PT,RU,2019,2020,300,0.2654693284861145,0.27666666666666667,0.25,True
PT,RU,2020,2021,300,0.46147837614984855,0.7066666666666667,0.03333333333333333,True
PT,RU,2021,2022,300,0.15027759180274894,0.23666666666666666,0.12666666666666668,False
PT,RU,2022,2023,300,0.24387081162305407,0.5333333333333333,0.043333333333333335,True
PT,RU,2023,2024,300,0.07781059390157528,0.14,0.023333333333333334,False
PT,RU,2024,2025,300,0.07628879676295915,0.1,0.03666666666666667,False
