package,model,split,group_type,group,rows,zones,mae,wmape,median_ape
long_history,ridge_autoregressive,validation,size_group,nan,3,3,105.29981842440755,3.2136261980999254,2.424773385505574
long_history,ridge_autoregressive,validation,size_group,small,70,70,56.05886909211397,7.2836157778008355,5.336955508173874
long_history,ridge_autoregressive,validation,volatility_group,high_vol,70,70,424.66850310311605,4.827040057095787,5.344301782183395
long_history,ridge_autoregressive,validation,volatility_group,low_vol,69,69,82.70698912313897,4.317628466639875,3.6880296703667597
long_history,ridge_autoregressive,validation,volatility_group,mid_high_vol,68,68,164.7108090370724,6.042868018279628,4.817584036078582
long_history,ridge_autoregressive,validation,volatility_group,mid_low_vol,70,70,104.75385917662744,4.166891208717003,4.598011210898071
long_history,ridge_autoregressive,validation,volatility_group,nan,3,3,105.29981842440755,3.2136261980999254,2.424773385505574
long_history,spatial_blend,test,size_group,large,138,69,780.572463768116,6.484022442678891,6.268910648159962
long_history,spatial_blend,test,size_group,mid_high,136,68,171.55882352941177,6.995262936979072,6.756139181099643
long_history,spatial_blend,test,size_group,mid_low,140,70,88.0,6.307985335982141,5.51092318534179
long_history,spatial_blend,test,size_group,nan,6,3,296.5,8.947341950409898,9.582584022699116
long_history,spatial_blend,test,size_group,small,140,70,68.99285714285715,8.550360285395605,6.7801876939823185
long_history,spatial_blend,test,volatility_group,high_vol,140,70,597.7785714285715,6.527987844022205,6.30150365256883
long_history,spatial_blend,test,volatility_group,low_vol,138,69,141.2753623188406,7.09771370321829,5.737804864530519
long_history,spatial_blend,test,volatility_group,mid_high_vol,136,68,180.75735294117646,6.391752577319587,6.709446324429404
long_history,spatial_blend,test,volatility_group,mid_low_vol,140,70,180.44285714285715,6.981828231880052,6.2098552358141665
long_history,spatial_blend,test,volatility_group,nan,6,3,296.5,8.947341950409898,9.582584022699116
long_history,spatial_blend,train,size_group,large,345,69,975.6434782608695,10.383575665197961,11.10458284371328
