index,node_idx,ze2020,libze2020,profile_target_mean_train_scope,profile_target_std_train_scope,profile_target_cv_train_scope,first_year,last_year,first_value,last_value,profile_growth_train_scope,size_group_train_scope,volatility_group_train_scope,size_volatility_group_train_scope
116,116,4414,Remiremont,764.2,100.87483994204565,0.13200057568966977,2012,2021,694.0,947.0,0.3645533141210375,mid_low,low_vol,mid_low__low_vol
117,117,4415,Romilly-sur-Seine,629.8,135.4579065409046,0.21508082969340203,2012,2021,522.0,926.0,0.7739463601532567,small,mid_high_vol,small__mid_high_vol
118,118,4416,Saint-Avold,925.0,138.06520198804623,0.14925967782491484,2012,2021,865.0,1254.0,0.44971098265895953,mid_low,low_vol,mid_low__low_vol
119,119,4417,Saint-Dié-des-Vosges,719.8,118.47718955328254,0.16459737365001745,2012,2021,720.0,967.0,0.34305555555555556,mid_low,low_vol,mid_low__low_vol
120,120,4418,Saint-Louis,717.1,187.32707581482535,0.261228665199868,2012,2021,615.0,1084.0,0.7626016260162601,mid_low,high_vol,mid_low__high_vol
121,121,4419,Sarrebourg,826.3,141.1288221606219,0.17079610572506584,2012,2021,689.0,1168.0,0.6952104499274311,mid_low,low_vol,mid_low__low_vol
122,122,4420,Sarreguemines,858.5,142.79530804616795,0.16633116837060913,2012,2021,809.0,1180.0,0.45859085290482077,mid_low,low_vol,mid_low__low_vol
123,123,4421,Sedan,643.1,111.88232905850484,0.1739734552301428,2012,2021,581.0,856.0,0.47332185886402756,small,low_vol,small__low_vol
124,124,4422,Sélestat,847.8,165.7888885165576,0.1955518854878009,2012,2021,750.0,1249.0,0.6653333333333333,mid_low,mid_low_vol,mid_low__mid_low_vol
125,125,4423,Strasbourg,8474.2,2021.9908671076305,0.2386055164036287,2012,2021,6667.0,12712.0,0.9067046647667617,large,high_vol,large__high_vol
126,126,4424,Thionville,2178.9,520.2906132367008,0.23878590721772489,2012,2021,1988.0,3374.0,0.6971830985915493,mid_high,high_vol,mid_high__high_vol
127,127,4425,Troyes,2269.3,557.7249521244519,0.2457695994907909,2012,2021,1998.0,3486.0,0.7447447447447447,large,high_vol,large__high_vol
128,128,4426,Verdun,520.6,83.18012583143484,0.15977742188135774,2012,2021,495.0,697.0,0.4080808080808081,small,low_vol,small__low_vol
