action,source,destination,notes
moved,DS_SIDE_STOCKS_UL_COM.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_UL_COM.zip,organized root raw download
moved,DS_SIDE_STOCKS_UL_COM_2023_CSV.zip,data/raw/business_demography/side/DS_SIDE_STOCKS_UL_COM_2023_CSV.zip,organized root raw download
moved,Listes de codes DS_SIDE_STOCKS_ET_COM.zip,data/raw/business_demography/side/Listes de codes DS_SIDE_STOCKS_ET_COM.zip,organized root raw download
moved,TAB_SIDE_CREA_ENT_COM_2024_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_CREA_ENT_COM_2024_XLSX.zip,organized root raw download
moved,TAB_SIDE_CREA_ETAB_COM_2024_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_CREA_ETAB_COM_2024_XLSX.zip,organized root raw download
moved,TAB_SIDE_STOCKS_2023_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_2023_XLSX.zip,organized root raw download
moved,TAB_SIDE_STOCKS_DEP_REG_NAT_APE.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_DEP_REG_NAT_APE.zip,organized root raw download
moved,TAB_SIDE_STOCKS_DEP_REG_NAT_APE_2023_CSV.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_DEP_REG_NAT_APE_2023_CSV.zip,organized root raw download
moved,TAB_SIDE_STOCKS_ET_COM_2022_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_ET_COM_2022_XLSX.zip,organized root raw download
moved,TAB_SIDE_STOCKS_ET_COM_2023_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_ET_COM_2023_XLSX.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_APE_LEG_FORM.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_APE_LEG_FORM.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_APE_LEG_FORM_2023_CSV.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_APE_LEG_FORM_2023_CSV.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_EI_APE_SEX.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_EI_APE_SEX.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_EI_APE_SEX_2023_CSV.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_EI_APE_SEX_2023_CSV.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_LEG_FORM.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_LEG_FORM.zip,organized root raw download
moved,TAB_SIDE_STOCKS_NAT_LEG_FORM_2023_CSV.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_NAT_LEG_FORM_2023_CSV.zip,organized root raw download
moved,TAB_SIDE_STOCKS_REG_NAT_APE_N_EMP.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_REG_NAT_APE_N_EMP.zip,organized root raw download
moved,TAB_SIDE_STOCKS_REG_NAT_APE_N_EMP_2023_CSV.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_REG_NAT_APE_N_EMP_2023_CSV.zip,organized root raw download
moved,TAB_SIDE_STOCKS_UL_COM_2023_XLSX.zip,data/raw/business_demography/side/TAB_SIDE_STOCKS_UL_COM_2023_XLSX.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBETAB_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBETAB_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBETAB_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBETAB_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBSAL_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBSAL_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA05_TREF_NBSAL_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA05_TREF_NBSAL_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBETAB_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBETAB_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBETAB_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBETAB_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBSAL_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBSAL_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA17_TREF_NBSAL_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA17_TREF_NBSAL_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBETAB_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBETAB_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBETAB_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBETAB_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBSAL_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBSAL_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA38_TREF_NBSAL_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA38_TREF_NBSAL_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBETAB.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBETAB.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBETAB_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBETAB_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBETAB_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBETAB_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBSAL.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBSAL.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBSAL_GEO2020.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBSAL_GEO2020.zip,organized root raw download
moved,TD_FLORES2017_NA88_NBSAL_GEO2020_CSV.zip,data/raw/employment/flores/TD_FLORES2017_NA88_NBSAL_GEO2020_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA05_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2018_NA05_TREF_NBETAB.zip,organized root raw download
moved,TD_FLORES2018_NA05_TREF_NBETAB_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA05_TREF_NBETAB_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA05_TREF_NBSAL.zip,data/raw/employment/flores/TD_FLORES2018_NA05_TREF_NBSAL.zip,organized root raw download
moved,TD_FLORES2018_NA05_TREF_NBSAL_CSV.zip,data/raw/employment/flores/TD_FLORES2018_NA05_TREF_NBSAL_CSV.zip,organized root raw download
moved,TD_FLORES2018_NA17_TREF_NBETAB.zip,data/raw/employment/flores/TD_FLORES2018_NA17_TREF_NBETAB.zip,organized root raw download
