zone_id,target_year,stock
PT_16I,2015,22739.0
PT_16I,2016,23146.0
PT_16I,2017,23938.0
PT_16I,2018,23982.0
PT_16I,2019,24164.0
PT_16I,2020,23830.0
PT_16I,2021,24396.0
PT_16I,2022,25611.0
PT_16I,2023,24334.0
PT_16I,2024,25300.0
PT_16J,2008,23086.0
PT_16J,2009,22599.0
PT_16J,2010,22031.0
PT_16J,2011,21640.0
PT_16J,2012,20630.0
PT_16J,2013,22883.0
PT_16J,2014,23609.0
PT_16J,2015,24029.0
PT_16J,2016,24003.0
PT_16J,2017,24352.0
PT_16J,2018,24953.0
PT_16J,2019,25268.0
PT_16J,2020,24889.0
PT_16J,2021,25345.0
PT_16J,2022,26060.0
PT_16J,2023,26465.0
PT_16J,2024,27129.0
PT_170,2008,375861.0
PT_170,2009,363220.0
PT_170,2010,340386.0
PT_170,2011,326384.0
PT_170,2012,310270.0
PT_170,2013,305175.0
PT_170,2014,312051.0
PT_170,2015,323037.0
PT_170,2016,336230.0
PT_170,2017,354406.0
PT_170,2018,366627.0
PT_170,2019,382504.0
PT_170,2020,374207.0
PT_170,2021,390857.0
PT_170,2022,426928.0
PT_170,2023,457722.0
PT_170,2024,481908.0
PT_181,2008,12302.0
PT_181,2009,11791.0
PT_181,2010,11545.0
PT_181,2011,11423.0
PT_181,2012,10788.0
PT_181,2013,10928.0
PT_181,2014,11129.0
PT_181,2015,11513.0
PT_181,2016,12040.0
PT_181,2017,12414.0
PT_181,2018,12817.0
PT_181,2019,12565.0
PT_181,2020,12532.0
PT_181,2021,12755.0
PT_181,2022,13523.0
PT_181,2023,14365.0
PT_181,2024,15070.0
PT_184,2008,14900.0
PT_184,2009,14399.0
PT_184,2010,13858.0
PT_184,2011,13619.0
PT_184,2012,12963.0
PT_184,2013,13598.0
PT_184,2014,13876.0
PT_184,2015,14134.0
PT_184,2016,14432.0
PT_184,2017,14951.0
PT_184,2018,15520.0
PT_184,2019,15587.0
PT_184,2020,15365.0
PT_184,2021,15644.0
PT_184,2022,16217.0
PT_184,2023,16726.0
PT_184,2024,17270.0
PT_185,2008,26970.0
PT_185,2009,26231.0
PT_185,2010,24946.0
PT_185,2011,24273.0
PT_185,2012,22850.0
PT_185,2013,22828.0
PT_185,2014,23055.0
PT_185,2015,23494.0
PT_185,2016,24152.0
PT_185,2017,24581.0
PT_185,2018,24803.0
PT_185,2019,25130.0
PT_185,2020,24660.0
PT_185,2021,25319.0
PT_185,2022,26743.0
PT_185,2023,27764.0
PT_185,2024,28848.0
PT_186,2008,12361.0
PT_186,2009,12023.0
PT_186,2010,11624.0
PT_186,2011,11371.0
PT_186,2012,10769.0
PT_186,2013,10933.0
PT_186,2014,11587.0
PT_186,2015,11820.0
PT_186,2016,12143.0
PT_186,2017,12507.0
PT_186,2018,12715.0
PT_186,2019,12549.0
PT_186,2020,12320.0
PT_186,2021,12631.0
PT_186,2022,13056.0
PT_186,2023,13328.0
PT_186,2024,13739.0
PT_187,2008,20874.0
PT_187,2009,20186.0
PT_187,2010,19454.0
PT_187,2011,19061.0
PT_187,2012,18235.0
PT_187,2013,18235.0
PT_187,2014,18455.0
PT_187,2015,18749.0
PT_187,2016,19086.0
PT_187,2017,19686.0
PT_187,2018,20243.0
PT_187,2019,20358.0
PT_187,2020,19961.0
PT_187,2021,20347.0
PT_187,2022,21061.0
PT_187,2023,21436.0
PT_187,2024,22192.0
PT_200,2008,27564.0
PT_200,2009,26640.0
PT_200,2010,25616.0
PT_200,2011,25517.0
PT_200,2012,24431.0
PT_200,2013,25080.0
PT_200,2014,25349.0
PT_200,2015,25917.0
PT_200,2016,26360.0
PT_200,2017,27174.0
PT_200,2018,28387.0
PT_200,2019,28746.0
PT_200,2020,28132.0
PT_200,2021,28990.0
PT_200,2022,30393.0
PT_200,2023,31396.0
PT_200,2024,32730.0
PT_300,2008,22935.0
PT_300,2009,22550.0
PT_300,2010,21505.0
PT_300,2011,20923.0
PT_300,2012,20483.0
PT_300,2013,23174.0
PT_300,2014,23662.0
PT_300,2015,24361.0
PT_300,2016,25108.0
PT_300,2017,26400.0
PT_300,2018,27875.0
PT_300,2019,28661.0
PT_300,2020,28674.0
PT_300,2021,29714.0
PT_300,2022,31982.0
PT_300,2023,33694.0
PT_300,2024,35650.0
