zone_id,target_year,cae_section,births_cae,a10
1111603,2010,Q,3.0,OPQ
1111603,2010,R,5.0,RSU
1111603,2010,S,6.0,RSU
1111603,2011,A,2.0,A
1111603,2011,B,0.0,BE
1111603,2011,C,2.0,BE
1111603,2011,D,0.0,BE
1111603,2011,E,0.0,BE
1111603,2011,F,7.0,F
1111603,2011,G,10.0,G
1111603,2011,H,0.0,G
1111603,2011,I,11.0,G
1111603,2011,J,0.0,J
1111603,2011,L,2.0,L
1111603,2011,M,6.0,MN
1111603,2011,N,24.0,MN
1111603,2011,P,9.0,OPQ
1111603,2011,Q,1.0,OPQ
1111603,2011,R,3.0,RSU
1111603,2011,S,2.0,RSU
1111603,2012,A,5.0,A
1111603,2012,B,0.0,BE
1111603,2012,C,2.0,BE
1111603,2012,D,0.0,BE
1111603,2012,E,0.0,BE
1111603,2012,F,5.0,F
1111603,2012,G,8.0,G
1111603,2012,H,1.0,G
1111603,2012,I,10.0,G
1111603,2012,J,0.0,J
1111603,2012,L,3.0,L
1111603,2012,M,5.0,MN
1111603,2012,N,13.0,MN
1111603,2012,P,10.0,OPQ
1111603,2012,Q,3.0,OPQ
1111603,2012,R,2.0,RSU
1111603,2012,S,2.0,RSU
1111603,2013,A,466.0,A
1111603,2013,B,1.0,BE
1111603,2013,C,7.0,BE
1111603,2013,D,0.0,BE
1111603,2013,E,0.0,BE
1111603,2013,F,23.0,F
1111603,2013,G,22.0,G
1111603,2013,H,2.0,G
1111603,2013,I,17.0,G
1111603,2013,J,0.0,J
1111603,2013,L,0.0,L
1111603,2013,M,7.0,MN
1111603,2013,N,11.0,MN
1111603,2013,P,5.0,OPQ
1111603,2013,Q,7.0,OPQ
1111603,2013,R,0.0,RSU
1111603,2013,S,2.0,RSU
1111603,2014,A,74.0,A
1111603,2014,B,0.0,BE
1111603,2014,C,6.0,BE
1111603,2014,D,0.0,BE
1111603,2014,E,0.0,BE
1111603,2014,F,8.0,F
1111603,2014,G,10.0,G
1111603,2014,H,0.0,G
1111603,2014,I,8.0,G
1111603,2014,J,0.0,J
1111603,2014,L,2.0,L
1111603,2014,M,3.0,MN
1111603,2014,N,8.0,MN
1111603,2014,P,5.0,OPQ
1111603,2014,Q,2.0,OPQ
1111603,2014,R,0.0,RSU
1111603,2014,S,5.0,RSU
1111603,2015,A,47.0,A
1111603,2015,B,0.0,BE
1111603,2015,C,5.0,BE
1111603,2015,D,0.0,BE
1111603,2015,E,0.0,BE
1111603,2015,F,9.0,F
1111603,2015,G,12.0,G
1111603,2015,H,0.0,G
1111603,2015,I,3.0,G
1111603,2015,J,0.0,J
1111603,2015,L,0.0,L
1111603,2015,M,3.0,MN
1111603,2015,N,15.0,MN
1111603,2015,P,1.0,OPQ
1111603,2015,Q,5.0,OPQ
1111603,2015,R,3.0,RSU
1111603,2015,S,4.0,RSU
1111603,2016,A,27.0,A
1111603,2016,B,0.0,BE
1111603,2016,C,8.0,BE
1111603,2016,D,0.0,BE
1111603,2016,E,0.0,BE
1111603,2016,F,10.0,F
1111603,2016,G,13.0,G
1111603,2016,H,2.0,G
1111603,2016,I,11.0,G
1111603,2016,J,0.0,J
1111603,2016,L,0.0,L
1111603,2016,M,3.0,MN
1111603,2016,N,13.0,MN
1111603,2016,P,3.0,OPQ
1111603,2016,Q,5.0,OPQ
1111603,2016,R,5.0,RSU
1111603,2016,S,3.0,RSU
1111603,2017,A,39.0,A
1111603,2017,B,0.0,BE
1111603,2017,C,1.0,BE
1111603,2017,D,0.0,BE
1111603,2017,E,0.0,BE
1111603,2017,F,9.0,F
1111603,2017,G,12.0,G
1111603,2017,H,3.0,G
1111603,2017,I,15.0,G
1111603,2017,J,1.0,J
1111603,2017,L,0.0,L
1111603,2017,M,5.0,MN
1111603,2017,N,20.0,MN
1111603,2017,P,2.0,OPQ
1111603,2017,Q,4.0,OPQ
1111603,2017,R,3.0,RSU
1111603,2017,S,5.0,RSU
1111603,2018,A,39.0,A
1111603,2018,B,0.0,BE
1111603,2018,C,4.0,BE
1111603,2018,D,0.0,BE
