zone_id,target_year,a10,births
PT_150,2021,RSU,801.0
PT_150,2022,A,822.0
PT_150,2022,BE,370.0
PT_150,2022,FZ,1378.0
PT_150,2022,GI,5198.0
PT_150,2022,JZ,295.0
PT_150,2022,KZ,0.0
PT_150,2022,LZ,613.0
PT_150,2022,MN,4543.0
PT_150,2022,OPQ,1185.0
PT_150,2022,RSU,1224.0
PT_150,2023,A,703.0
PT_150,2023,BE,322.0
PT_150,2023,FZ,1585.0
PT_150,2023,GI,6186.0
PT_150,2023,JZ,334.0
PT_150,2023,KZ,0.0
PT_150,2023,LZ,626.0
PT_150,2023,MN,4753.0
PT_150,2023,OPQ,1200.0
PT_150,2023,RSU,1494.0
PT_150,2024,A,681.0
PT_150,2024,BE,304.0
PT_150,2024,FZ,1629.0
PT_150,2024,GI,4523.0
PT_150,2024,JZ,375.0
PT_150,2024,KZ,0.0
PT_150,2024,LZ,524.0
PT_150,2024,MN,5070.0
PT_150,2024,OPQ,1211.0
PT_150,2024,RSU,1308.0
PT_16B,2008,A,320.0
PT_16B,2008,BE,196.0
PT_16B,2008,FZ,639.0
PT_16B,2008,GI,1648.0
PT_16B,2008,JZ,67.0
PT_16B,2008,KZ,0.0
PT_16B,2008,LZ,121.0
PT_16B,2008,MN,1937.0
PT_16B,2008,OPQ,578.0
PT_16B,2008,RSU,400.0
PT_16B,2009,A,227.0
PT_16B,2009,BE,192.0
PT_16B,2009,FZ,434.0
PT_16B,2009,GI,1283.0
PT_16B,2009,JZ,55.0
PT_16B,2009,KZ,0.0
PT_16B,2009,LZ,81.0
PT_16B,2009,MN,1561.0
PT_16B,2009,OPQ,610.0
PT_16B,2009,RSU,343.0
PT_16B,2010,A,205.0
PT_16B,2010,BE,156.0
PT_16B,2010,FZ,370.0
PT_16B,2010,GI,1337.0
PT_16B,2010,JZ,52.0
PT_16B,2010,KZ,0.0
PT_16B,2010,LZ,89.0
PT_16B,2010,MN,1589.0
PT_16B,2010,OPQ,551.0
PT_16B,2010,RSU,314.0
PT_16B,2011,A,534.0
PT_16B,2011,BE,204.0
PT_16B,2011,FZ,319.0
