country,region_system,source_sector,target_sector,sign,beta,q_fdr,bss,window,label_class,evidence_type,allowed_for_training_label,reason
NL,GEMEENTE_PROXY,RU,JZ,+,0.1186097049769094,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,OQ,-,-0.1012045879170296,0.00576,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1774439100705457,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,LZ,+,0.1022315225826809,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.1414038149616606,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1297396035646101,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,GI,+,0.1099723174869898,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,MN,+,0.1078204216995015,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,RU,+,0.10512646278725,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,FZ,+,0.1038928059252416,0.0034285714285714,0.994,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.1049084403926624,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1092194899182294,0.0034285714285714,1.0,2018-2023,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,OQ,-,-0.1120873999976416,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.138517186456364,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,+,0.1001466309834565,0.0045,0.998,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,KZ,-,-0.120929018765954,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.1243872115912856,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1695157127094145,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,GI,+,0.1168661778051854,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,MN,+,0.1330901783659607,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1040096419549584,0.0045,1.0,2019-2024,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1006603717697465,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,LZ,+,0.135811945515882,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,KZ,-,-0.13897215773576,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.1307427216617249,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1272697367083661,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,GI,+,0.1009558364886056,0.009,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,MN,+,0.1535347930655206,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,RU,+,0.1000216964927302,0.0055384615384615,1.0,2020-2025,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
