country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR104,2022,P_Q,1626.0,11821.0,1046.0,18737.0
FR,FR104,2022,R_S_X_S94,1512.0,8051.0,1031.0,9424.0
FR,FR104,2023,B-E,505.0,3490.0,367.0,29978.0
FR,FR104,2023,B-S_X_O_S94,14081.0,85522.0,10884.0,328471.0
FR,FR104,2023,F,1539.0,11061.0,1081.0,40583.0
FR,FR104,2023,G,1665.0,11960.0,1368.0,123743.0
FR,FR104,2023,H,1595.0,7300.0,1414.0,17205.0
FR,FR104,2023,I,415.0,3140.0,290.0,11465.0
FR,FR104,2023,J,1085.0,5259.0,748.0,11998.0
FR,FR104,2023,K_L,803.0,5917.0,699.0,8539.0
FR,FR104,2023,M_N,3523.0,16993.0,2446.0,56025.0
FR,FR104,2023,P_Q,1547.0,12077.0,1460.0,19237.0
FR,FR104,2023,R_S_X_S94,1404.0,8325.0,1011.0,9700.0
FR,FR105,2020,B-E,,,371.0,
FR,FR105,2020,B-S_X_O_S94,,,15027.0,
FR,FR105,2020,F,,,766.0,
FR,FR105,2020,G,,,1429.0,
FR,FR105,2020,H,,,2004.0,
FR,FR105,2020,I,,,466.0,
FR,FR105,2020,J,,,1455.0,
FR,FR105,2020,K_L,,,904.0,
FR,FR105,2020,M_N,,,4908.0,
FR,FR105,2020,P_Q,,,1560.0,
FR,FR105,2020,R_S_X_S94,,,1164.0,
FR,FR105,2021,B-E,735.0,4077.0,438.0,467321.0
FR,FR105,2021,B-S_X_O_S94,26247.0,141606.0,19408.0,1996136.0
FR,FR105,2021,F,1394.0,8485.0,945.0,212704.0
FR,FR105,2021,G,2230.0,14005.0,1819.0,197830.0
FR,FR105,2021,H,2782.0,10416.0,2960.0,62737.0
FR,FR105,2021,I,559.0,5237.0,452.0,157785.0
FR,FR105,2021,J,2721.0,13731.0,1795.0,198788.0
FR,FR105,2021,K_L,2371.0,13851.0,1103.0,118465.0
FR,FR105,2021,M_N,8558.0,41520.0,6583.0,463558.0
FR,FR105,2021,P_Q,2832.0,19036.0,1956.0,90859.0
FR,FR105,2021,R_S_X_S94,2065.0,11248.0,1357.0,26090.0
FR,FR105,2022,B-E,614.0,4174.0,443.0,442481.0
FR,FR105,2022,B-S_X_O_S94,24900.0,149280.0,18530.0,2135095.0
FR,FR105,2022,F,1185.0,8634.0,1015.0,184820.0
FR,FR105,2022,G,1813.0,14187.0,1684.0,212985.0
FR,FR105,2022,H,1734.0,9393.0,2026.0,102059.0
FR,FR105,2022,I,956.0,5843.0,457.0,157518.0
