decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,5218,BE,4426,BE,0.025247557364029234
2019,analogy,5218,BE,8424,BE,0.025215371783090645
2019,analogy,5218,BE,1115,BE,0.02516339182797506
2019,analogy,5218,BE,2405,BE,0.025093199904085536
2019,analogy,5218,BE,5221,BE,0.02496442724053287
2019,analogy,5218,BE,2703,BE,0.02493194274408276
2019,analogy,5304,BE,7617,BE,0.023828493784346334
2019,analogy,5304,BE,7523,BE,0.023824194299494835
2019,analogy,5304,BE,2817,BE,0.02380896142289969
2019,analogy,5304,BE,7608,BE,0.023768670901698815
2019,analogy,5304,BE,3213,BE,0.023765933872095697
2019,analogy,5304,BE,5303,BE,0.023534083863249323
2019,analogy,5304,BE,5312,BE,0.02352001512615817
2019,analogy,5304,BE,5319,BE,0.023224740430618722
2019,analogy,5304,BE,8434,BE,0.022718049993209442
2019,analogy,5304,BE,58,BE,0.022536261032836336
2019,analogy,5311,BE,2811,BE,0.022191520726160045
2019,analogy,5311,BE,2718,BE,0.022182792233154135
2019,analogy,5311,BE,3221,BE,0.022045253918209683
2019,analogy,5311,BE,8411,BE,0.021888775522587174
2019,analogy,5311,BE,4421,BE,0.021814932996100756
2019,analogy,5311,BE,7506,BE,0.021684476812121885
2019,analogy,5311,BE,2411,BE,0.021568228191416225
2019,analogy,5311,BE,1111,BE,0.021565982173001413
2019,analogy,5311,BE,2813,BE,0.021484791733073102
2019,analogy,5311,BE,2414,BE,0.021466350203029633
2019,analogy,5318,BE,5211,BE,0.026060143352149973
2019,analogy,5318,BE,8422,BE,0.025907095715473435
2019,analogy,5318,BE,5218,BE,0.025895099787844014
2019,analogy,5318,BE,5221,BE,0.025512271766747165
2019,analogy,5318,BE,7507,BE,0.025414319881799787
2019,analogy,5318,BE,2802,BE,0.025209620468717997
2019,analogy,5318,BE,4426,BE,0.025134383590051858
2019,analogy,5318,BE,2405,BE,0.024712888344483184
2019,analogy,5318,BE,3201,BE,0.024115000274412077
2019,analogy,5318,BE,2703,BE,0.02409112336388869
2019,analogy,7506,BE,4421,BE,0.022357271301118916
2019,analogy,7506,BE,2807,BE,0.02223889479874755
2019,analogy,7506,BE,2811,BE,0.02217406549275837
2019,analogy,7506,BE,8411,BE,0.021943369945353734
2019,analogy,7506,BE,2414,BE,0.021789250569967368
2019,analogy,7506,BE,2411,BE,0.02173533170365161
2019,analogy,7506,BE,5311,BE,0.021637848748320587
2019,analogy,7506,BE,2813,BE,0.02147063267654227
2019,analogy,7506,BE,5313,BE,0.02138752778815362
2019,analogy,7506,BE,7510,BE,0.021325062836512417
2019,analogy,7513,BE,7508,BE,0.02570183283420269
2019,analogy,7513,BE,2806,BE,0.024885192303177473
2019,analogy,7513,BE,7610,BE,0.024351290651845398
2019,analogy,7513,BE,8416,BE,0.02417352894761323
2019,analogy,7513,BE,2409,BE,0.02410522182368508
2019,analogy,7513,BE,7529,BE,0.024071744422301672
2019,analogy,7513,BE,8430,BE,0.023460566408451653
2019,analogy,7513,BE,2402,BE,0.02340974264647811
2019,analogy,7513,BE,8426,BE,0.0233215287125507
2019,analogy,7513,BE,1115,BE,0.02265402309230075
2019,analogy,7520,BE,55,BE,0.022082563789916528
2019,analogy,7520,BE,3206,BE,0.02198206963186425
2019,analogy,7520,BE,9313,BE,0.02197019526025886
2019,analogy,7520,BE,2410,BE,0.02185436291206784
2019,analogy,7520,BE,2818,BE,0.02181609751901907
2019,analogy,7520,BE,2819,BE,0.021776729154837846
2019,analogy,7520,BE,7601,BE,0.021731800172201627
2019,analogy,7520,BE,1102,BE,0.021549222945526976
2019,analogy,7520,BE,7509,BE,0.021445844578509073
2019,analogy,7520,BE,5317,BE,0.021417638246204726
2019,analogy,7527,BE,7620,BE,0.02751163488260276
2019,analogy,7527,BE,7507,BE,0.02688881661389077
2019,analogy,7527,BE,5215,BE,0.025855512111203446
2019,analogy,7527,BE,2803,BE,0.025760600598408446
2019,analogy,7527,BE,3219,BE,0.02527502788829431
2019,analogy,7527,BE,5208,BE,0.02526211395106646
2019,analogy,7527,BE,4412,BE,0.025052986655495435
2019,analogy,7527,BE,5318,BE,0.024423459326329847
2019,analogy,7527,BE,5310,BE,0.024329957806339335
2019,analogy,7527,BE,5305,BE,0.02408938979673669
2019,analogy,7602,BE,8404,BE,0.02233166248762937
2019,analogy,7602,BE,7503,BE,0.022260053284069273
2019,analogy,7602,BE,3218,BE,0.022167750463003146
2019,analogy,7602,BE,8433,BE,0.022144798458374387
2019,analogy,7602,BE,3211,BE,0.02205522821139342
2019,analogy,7602,BE,1104,BE,0.021997911640797226
2019,analogy,7602,BE,4414,BE,0.021821087747339356
