ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
6,2017,5,1405.0,1405.0,1310.0,1465.0,,-0.1058020477815699,,0,0,0,1,0,0,17960.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
7,2017,6,1350.0,1350.0,1465.0,1430.0,,0.0244755244755244,,0,0,0,1,0,0,17130.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
8,2017,7,1095.0,1095.0,1175.0,1215.0,,-0.0329218106995884,,0,0,0,1,0,0,14425.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
9,2017,8,945.0,945.0,1020.0,1030.0,,-0.0097087378640776,,0,0,0,1,0,0,12580.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
10,2017,9,3005.0,3005.0,2930.0,2960.0,,-0.0101351351351351,,0,0,0,1,0,0,34355.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
11,2017,10,1260.0,1260.0,1230.0,1240.0,,-0.0080645161290322,,0,0,0,1,0,0,13620.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
12,2017,11,4720.0,4720.0,4850.0,5090.0,,-0.0471512770137524,,0,0,0,1,0,0,55440.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
13,2017,12,5690.0,5690.0,5775.0,5905.0,,-0.0220152413209144,,0,0,0,1,0,0,66615.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
14,2017,13,2790.0,2790.0,3105.0,3110.0,,-0.0016077170418006,,0,0,0,1,0,0,39190.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
15,2017,14,7025.0,7025.0,6970.0,6680.0,,0.0434131736526946,,0,0,0,1,0,0,67970.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
