ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
7602,Albi,76,249009.0,23925.0,21688.0,11349.0,96.080865,45.576666
7603,Alès-Le Vigan,76,198201.0,18477.0,17123.0,10170.0,93.223546,51.311547
7604,Auch,76,160174.0,15457.0,14164.0,8574.0,96.501305,53.529287
7605,Bagnols-sur-Cèze,76,77265.0,6298.0,5761.0,3190.0,81.511681,41.286482
7606,Béziers,76,239094.0,24393.0,22143.0,12712.0,102.022635,53.167374
7607,Cahors,76,88493.0,8742.0,7900.0,4808.0,98.787475,54.331981
7608,Carcassonne-Limoux,76,202600.0,17247.0,15610.0,10058.0,85.128332,49.64462
7609,Castelsarrasin-Moissac,76,77879.0,5768.0,5290.0,3362.0,74.063611,43.169532
7610,Castres-Mazamet,76,162580.0,14311.0,13015.0,7144.0,88.024357,43.941444
7611,Figeac-Villefranche,76,95152.0,8494.0,7769.0,4885.0,89.267698,51.33891
7612,Foix-Pamiers,76,137583.0,12672.0,11548.0,7247.0,92.104402,52.673659
7613,Mende,76,71410.0,6177.0,5584.0,4239.0,86.50049,59.361434
7614,Millau,76,66685.0,6468.0,5825.0,3635.0,96.993327,54.51001
7615,Montauban,76,193673.0,17401.0,15722.0,8811.0,89.84732,45.494209
7616,Montpellier,76,786431.0,98050.0,88535.0,40240.0,124.677181,51.167871
7617,Narbonne,76,169632.0,16826.0,15043.0,8530.0,99.19119,50.285324
7618,Nîmes,76,391933.0,39009.0,35452.0,18100.0,99.529767,46.181363
7619,Nord-du-Lot,76,54499.0,5126.0,4657.0,3053.0,94.056772,56.019377
7620,Perpignan,76,498258.0,50407.0,45542.0,27114.0,101.166464,54.417591
7621,Rodez,76,149077.0,14354.0,12852.0,7616.0,96.285812,51.087693
7622,Saint-Gaudens,76,128921.0,12418.0,11390.0,7566.0,96.322554,58.687103
7623,Sète,76,112075.0,11806.0,10735.0,5530.0,105.340174,49.341959
7624,Tarbes-Lourdes,76,241212.0,22814.0,20596.0,12603.0,94.580701,52.248644
7625,Toulouse,76,1357607.0,139791.0,123678.0,56599.0,102.968679,41.690268
8401,Annecy,84,316672.0,40048.0,35907.0,14957.0,126.465238,47.231836
8402,Aubenas,84,137318.0,14421.0,13261.0,7594.0,105.019007,55.302291
8403,Aurillac,84,84688.0,6372.0,5649.0,3878.0,75.240884,45.791612
