year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2012,8401,Annecy,2947.0,3316.0,98
2012,8402,Aubenas,1319.0,1466.0,175
2012,8403,Aurillac,456.0,612.0,102
2012,8404,Belley,431.0,454.0,72
2012,8405,Bourg-en-Bresse,1815.0,1999.0,166
2012,8406,Bourgoin-Jallieu,1950.0,2133.0,106
2012,8407,Chambéry,2277.0,2547.0,110
2012,8408,Clermont-Ferrand,3216.0,3749.0,191
2012,8409,Grenoble,5476.0,6246.0,189
2012,8410,Issoire,587.0,639.0,138
2012,8411,La Maurienne,365.0,430.0,48
2012,8412,La Plaine du Forez,607.0,665.0,88
2012,8413,La Tarentaise,1479.0,1937.0,68
2012,8414,La Vallée de l'Arve,703.0,790.0,28
2012,8415,Le Chablais,1072.0,1239.0,48
2012,8416,Le Genevois Français,2578.0,2768.0,146
2012,8417,Le Livradois,597.0,664.0,109
2012,8418,Le Mont Blanc,897.0,1070.0,20
2012,8419,Le Puy-en-Velay,741.0,840.0,184
2012,8420,Les Sources de la Loire,552.0,624.0,77
2012,8421,Lyon,18613.0,21257.0,235
2012,8422,Montélimar,996.0,1170.0,65
2012,8423,Montluçon,682.0,804.0,114
2012,8424,Moulins,583.0,680.0,101
2012,8425,Oyonnax,407.0,457.0,35
2012,8426,Roanne,890.0,1011.0,76
2012,8427,Romans-sur-Isère,878.0,972.0,57
2012,8428,Saint-Étienne,4043.0,4493.0,134
2012,8429,Saint-Flour,184.0,303.0,88
2012,8430,Tarare,345.0,387.0,42
2012,8431,Valence,2639.0,2919.0,157
2012,8432,Vichy,935.0,1052.0,144
2012,8433,Vienne-Annonay,1897.0,2064.0,146
2012,8434,Villefranche-sur-Saône,1501.0,1668.0,92
2012,8435,Voiron,1662.0,1828.0,130
2012,9301,Aix-en-Provence,5205.0,5874.0,61
2012,9302,Briançon,472.0,544.0,36
2012,9303,Brignoles,1592.0,1796.0,41
2012,9304,Cannes,7324.0,8360.0,50
2012,9305,Carpentras,1053.0,1183.0,29
2012,9306,Cavaillon,1526.0,1767.0,54
2012,9307,Digne-les-Bains,830.0,978.0,123
2012,9308,Draguignan,1406.0,1560.0,39
2012,9309,Fréjus,1710.0,1947.0,5
2012,9310,Gap,1049.0,1239.0,125
2012,9311,Manosque,991.0,1100.0,67
2012,9312,Marseille,13370.0,15018.0,32
2012,9313,Martigues-Salon,2845.0,3333.0,26
2012,9314,Menton,917.0,1010.0,18
2012,9315,Nice,9190.0,10303.0,116
2012,9316,Orange,678.0,782.0,16
2012,9317,Sainte-Maxime,1149.0,1410.0,12
2012,9318,Toulon,6594.0,7357.0,33
2012,9401,Ajaccio,1301.0,1418.0,81
2012,9402,Bastia,1403.0,1526.0,112
2012,9403,Calvi,295.0,326.0,36
2012,9404,Corte,146.0,161.0,58
2012,9405,Ghisonaccia,200.0,253.0,30
2012,9406,Porto-Vecchio,522.0,609.0,12
2012,9407,Propriano,149.0,188.0,31
2013,0051,Alençon,668.0,755.0,184
2013,0052,Arles,1437.0,1649.0,20
2013,0053,Avignon,3115.0,3434.0,36
2013,0054,Beauvais,1681.0,1851.0,327
2013,0055,Bollène-Pierrelatte,656.0,800.0,29
2013,0056,Cosne-Cours-sur-Loire,435.0,495.0,119
2013,0057,Dreux,978.0,1038.0,115
2013,0058,La Vallée de la Bresle-Vimeu,367.0,398.0,93
2013,0059,Mâcon,1269.0,1371.0,159
2013,0060,Nevers,811.0,935.0,180
2013,0061,Nogent-le-Rotrou,414.0,416.0,82
2013,0062,Redon,514.0,568.0,43
2013,0063,Ussel,417.0,569.0,186
2013,0064,Valréas,625.0,690.0,114
2013,0101,Côte sous le vent,173.0,186.0,3
2013,0102,Est Grande Terre,620.0,645.0,6
2013,0103,Marie-Galante,83.0,89.0,3
2013,0104,Région Pointoise,3020.0,3201.0,10
2013,0105,Sud Basse-Terre,593.0,656.0,10
2013,0201,Le Centre-Atlantique,463.0,522.0,4
2013,0202,Le Centre agglomération,3157.0,3166.0,4
2013,0203,Le Nord-Atlantique,79.0,87.0,6
2013,0204,Le Nord-Caraibe,167.0,175.0,8
2013,0205,Le Sud,438.0,474.0,5
2013,0206,Le Sud-Caraibe,742.0,795.0,7
2013,0301,Est-littoral,1569.0,1654.0,10
2013,0302,Ouest-Guyanais,182.0,201.0,8
2013,0303,Savanes,219.0,242.0,4
2013,0401,L'Est,864.0,921.0,6
2013,0402,L'Ouest,1970.0,2209.0,5
2013,0403,Le Nord,1695.0,1789.0,3
2013,0404,Le Sud,2421.0,2606.0,10
2013,0601,Mayotte,822.0,944.0,17
2013,1101,Cergy-Vexin,4847.0,5256.0,120
2013,1102,Coulommiers,606.0,644.0,54
2013,1103,Étampes,775.0,809.0,64
