ze2020,libze2020,communes_count,zan_naf09art24_total,zan_art09act24_total,zan_art09hab24_total,zan_art09mix24_total,zan_art09inc24_total,zan_art09rou24_total,zan_art09fer24_total,zan_artcom0924_total,zan_pop15_total,zan_pop21_total,zan_men15_total,zan_men21_total,zan_emp15_total,zan_emp21_total,zan_surfcom2024_total,zan_artif_per_pop21,zan_artif_per_surface
2710,Creusot-Montceau,57,3536736.0,735990.0,2538668.0,42064.0,41528.0,178384.0,102.0,20.02,102064.0,96937.0,48015.0,46876.0,35502.0,34167.0,1164816514.0,36.484892,0.003036
2711,Dijon,322,16228182.0,4624318.0,8816106.0,228702.0,1369780.0,1181077.0,8199.0,157.4,394363.0,401474.0,181607.0,192615.0,170894.0,176281.0,4057246979.0,40.421502,0.004
2712,Dole,123,6309061.0,1022996.0,4512526.0,96277.0,350065.0,240210.0,86987.0,66.05,82529.0,83022.0,36807.0,38245.0,28951.0,29727.0,1230486946.0,75.992641,0.005127
2713,Lons-le-Saunier,333,15471013.0,3006039.0,10949713.0,342943.0,460564.0,700864.0,10890.0,164.51,159156.0,157811.0,73506.0,75400.0,61068.0,61255.0,3366136496.0,98.035074,0.004596
2714,Montbéliard,146,5681907.0,965859.0,3118524.0,110035.0,384558.0,817302.0,285629.0,99.45,168446.0,166832.0,73622.0,74651.0,65249.0,62193.0,1032320071.0,34.057657,0.005504
2715,Pontarlier,174,9554245.0,1627690.0,6319505.0,218643.0,550689.0,837678.0,40.0,71.26,118227.0,124554.0,51338.0,55124.0,37516.0,38138.0,2270065292.0,76.707653,0.004209
2716,Saint-Claude,71,2969556.0,603993.0,1896852.0,111891.0,127581.0,229239.0,0.0,17.03,53703.0,51897.0,23781.0,23906.0,18276.0,16887.0,1194327033.0,57.220186,0.002486
2717,Sens,102,6958247.0,1557203.0,4429819.0,96336.0,371037.0,307495.0,196357.0,51.06,113025.0,113420.0,48895.0,50427.0,36345.0,37420.0,1615036303.0,61.349383,0.004308
2718,Vesoul,336,8969978.0,1669671.0,5202143.0,159450.0,536812.0,581933.0,819969.0,102.23,129252.0,126216.0,57921.0,59076.0,48021.0,46810.0,3170214473.0,71.06847,0.002829
2801,Argentan,73,5548041.0,1248107.0,2660263.0,24897.0,133986.0,1480788.0,0.0,40.63,42598.0,41453.0,18915.0,19196.0,14849.0,14769.0,1090145059.0,133.839312,0.005089
2802,Avranches,101,11752763.0,1703482.0,9000125.0,192607.0,121127.0,735422.0,0.0,85.26,89941.0,89253.0,40581.0,41677.0,36762.0,37268.0,1545396546.0,131.679193,0.007605
2803,Bernay,106,8071498.0,1265504.0,5571222.0,105794.0,245747.0,883028.0,203.0,92.31,71466.0,69795.0,30902.0,31805.0,24268.0,23611.0,1115430671.0,115.645791,0.007236
2804,Caen,376,41128922.0,8623865.0,27449057.0,712298.0,1138836.0,3203359.0,1507.0,561.39,521191.0,533664.0,230484.0,246740.0,206761.0,216399.0,3312246695.0,77.068946,0.012417
2805,Cherbourg-en-Cotentin,135,14711297.0,2986868.0,9692074.0,284990.0,611959.0,1132683.0,2723.0,126.18,188442.0,184872.0,84465.0,89252.0,75009.0,78572.0,1593371066.0,79.575582,0.009233
2806,Coutances,67,8004513.0,1328196.0,6082593.0,90633.0,133287.0,369804.0,0.0,53.51,64648.0,64128.0,29142.0,30069.0,22982.0,23041.0,986176493.0,124.820874,0.008117
