year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count,target_proxy_establishment_creations_year,proxy_minus_side_enterprise,proxy_minus_side_establishment,proxy_to_side_enterprise_ratio,proxy_to_side_establishment_ratio
2012,4412,Nancy,3692.0,4277.0,445,7522.0,3830.0,3245.0,2.0373781148429035,1.7587093757306522
2012,4413,Reims,2264.0,2649.0,225,4956.0,2692.0,2307.0,2.1890459363957597,1.870894677236693
2012,4414,Remiremont,624.0,694.0,49,1267.0,643.0,573.0,2.030448717948718,1.8256484149855907
2012,4415,Romilly-sur-Seine,448.0,522.0,170,926.0,478.0,404.0,2.0669642857142856,1.7739463601532568
2012,4416,Saint-Avold,786.0,865.0,131,1316.0,530.0,451.0,1.6743002544529262,1.5213872832369941
2012,4417,Saint-Dié-des-Vosges,665.0,720.0,110,1214.0,549.0,494.0,1.825563909774436,1.6861111111111111
2012,4418,Saint-Louis,557.0,615.0,91,1075.0,518.0,460.0,1.9299820466786355,1.7479674796747968
2012,4419,Sarrebourg,597.0,689.0,215,1226.0,629.0,537.0,2.053601340033501,1.7793904208998548
2012,4420,Sarreguemines,760.0,809.0,141,1390.0,630.0,581.0,1.8289473684210527,1.7181705809641532
2012,4421,Sedan,517.0,581.0,245,1099.0,582.0,518.0,2.125725338491296,1.891566265060241
2012,4422,Sélestat,674.0,750.0,72,1389.0,715.0,639.0,2.0608308605341246,1.852
2012,4423,Strasbourg,5829.0,6667.0,213,11687.0,5858.0,5020.0,2.0049751243781095,1.7529623518824058
2012,4424,Thionville,1757.0,1988.0,190,3193.0,1436.0,1205.0,1.817302219692658,1.6061368209255533
2012,4425,Troyes,1698.0,1998.0,358,3492.0,1794.0,1494.0,2.056537102473498,1.7477477477477477
2012,4426,Verdun,467.0,495.0,231,878.0,411.0,383.0,1.880085653104925,1.7737373737373738
2012,4427,Vitry-le-François Saint-Dizier,572.0,682.0,224,1198.0,626.0,516.0,2.0944055944055946,1.7565982404692082
2012,5201,Ancenis,637.0,683.0,23,1106.0,469.0,423.0,1.7362637362637363,1.6193265007320645
2012,5202,Angers,2723.0,3110.0,67,5665.0,2942.0,2555.0,2.080426000734484,1.8215434083601285
2012,5203,Challans,1167.0,1357.0,42,2576.0,1409.0,1219.0,2.207369323050557,1.8983050847457628
2012,5204,Château-Gontier-sur-Mayenne,192.0,236.0,32,504.0,312.0,268.0,2.625,2.135593220338983
2012,5205,Châteaubriant,339.0,375.0,32,738.0,399.0,363.0,2.1769911504424777,1.968
2012,5206,Cholet,1029.0,1168.0,35,2239.0,1210.0,1071.0,2.175898931000972,1.9169520547945205
2012,5207,Fontenay-le-Comte,724.0,834.0,98,1520.0,796.0,686.0,2.0994475138121547,1.8225419664268585
2012,5208,La Ferté-Bernard,303.0,341.0,80,738.0,435.0,397.0,2.4356435643564356,2.164222873900293
2012,5209,La Flèche,271.0,305.0,28,649.0,378.0,344.0,2.3948339483394836,2.1278688524590166
2012,5210,La Roche-sur-Yon,1069.0,1240.0,45,2206.0,1137.0,966.0,2.0636108512628626,1.7790322580645161
2012,5211,Laval,870.0,1049.0,85,2161.0,1291.0,1112.0,2.4839080459770115,2.0600571973307913
2012,5212,Le Mans,1879.0,2210.0,148,4299.0,2420.0,2089.0,2.2879191059073976,1.9452488687782805
2012,5213,Les Herbiers-Montaigu,700.0,806.0,49,1499.0,799.0,693.0,2.1414285714285715,1.8598014888337469
2012,5214,Les Sables-d'Olonne,740.0,837.0,18,1583.0,843.0,746.0,2.139189189189189,1.891278375149343
2012,5215,Mayenne,371.0,436.0,92,864.0,493.0,428.0,2.3288409703504045,1.981651376146789
2012,5216,Nantes,7534.0,8640.0,95,15336.0,7802.0,6696.0,2.0355720732678524,1.775
2012,5217,Pornic,660.0,687.0,16,1221.0,561.0,534.0,1.85,1.777292576419214
2012,5218,Sablé-sur-Sarthe,258.0,281.0,52,597.0,339.0,316.0,2.313953488372093,2.1245551601423487
2012,5219,Saint-Nazaire,1792.0,1973.0,37,3794.0,2002.0,1821.0,2.1171875,1.9229599594526103
2012,5220,Saumur,584.0,638.0,45,1171.0,587.0,533.0,2.0051369863013697,1.835423197492163
2012,5221,Segré-en-Anjou Bleu,282.0,297.0,30,605.0,323.0,308.0,2.145390070921986,2.037037037037037
2012,5301,Auray,840.0,896.0,28,1692.0,852.0,796.0,2.0142857142857142,1.8883928571428572
2012,5302,Brest,2288.0,2659.0,92,4984.0,2696.0,2325.0,2.1783216783216783,1.874388867995487
2012,5303,Carhaix-Plouguer,530.0,585.0,81,1179.0,649.0,594.0,2.2245283018867923,2.0153846153846153
2012,5304,Dinan,627.0,715.0,66,1370.0,743.0,655.0,2.1850079744816586,1.916083916083916
2012,5305,Fougères,363.0,368.0,45,802.0,439.0,434.0,2.209366391184573,2.1793478260869565
2012,5306,Guingamp,323.0,358.0,49,713.0,390.0,355.0,2.2074303405572757,1.9916201117318435
2012,5307,Lamballe-Armor,442.0,466.0,40,946.0,504.0,480.0,2.1402714932126696,2.0300429184549356
2012,5308,Lannion,768.0,817.0,65,1667.0,899.0,850.0,2.1705729166666665,2.040391676866585
2012,5309,Lorient,1525.0,1695.0,35,3233.0,1708.0,1538.0,2.12,1.9073746312684365
2012,5310,Morlaix,683.0,780.0,59,1591.0,908.0,811.0,2.329428989751098,2.0397435897435896
2012,5311,Ploërmel,473.0,521.0,53,987.0,514.0,466.0,2.0866807610993656,1.8944337811900192
