target_year,ze2020,target_proxy_establishment_creations_year
2004,4404,1117
2004,4405,1949
2004,4406,1319
2004,4407,1748
2004,4408,729
2004,4409,1990
2004,4410,4226
2004,4411,4082
2004,4412,5306
2004,4413,3540
2004,4414,901
2004,4415,715
2004,4416,997
2004,4417,871
2004,4418,723
2004,4419,958
2004,4420,992
2004,4421,767
2004,4422,818
2004,4423,7839
2004,4424,2292
2004,4425,2581
2004,4426,660
2004,4427,909
2004,5201,772
2004,5202,3659
2004,5203,2257
2004,5204,378
2004,5205,519
2004,5206,1613
2004,5207,1236
2004,5208,594
2004,5209,559
2004,5210,1499
2004,5211,1438
2004,5212,3107
2004,5213,980
2004,5214,1192
2004,5215,726
2004,5216,9913
2004,5217,872
2004,5218,488
2004,5219,2843
2004,5220,953
2004,5221,410
2004,5301,1407
2004,5302,3330
2004,5303,848
2004,5304,1061
2004,5305,730
2004,5306,599
2004,5307,783
2004,5308,1613
2004,5309,2442
2004,5310,1312
2004,5311,683
2004,5312,1100
2004,5313,3443
2004,5314,514
2004,5315,7015
2004,5316,1987
2004,5317,1977
2004,5318,3135
2004,5319,788
2004,7501,1659
2004,7502,2414
2004,7503,5469
2004,7504,1427
2004,7505,14137
2004,7506,1002
2004,7507,1649
2004,7508,779
2004,7509,1498
2004,7510,2227
2004,7511,1360
2004,7512,3594
2004,7513,2422
2004,7514,1355
2004,7515,1009
2004,7516,1724
2004,7517,3012
2004,7518,1180
2004,7519,1455
2004,7520,1841
2004,7521,860
2004,7522,3407
2004,7523,2718
2004,7524,3130
2004,7525,898
2004,7526,2042
2004,7527,941
2004,7528,1464
2004,7529,1066
2004,7530,602
2004,7531,872
2004,7532,1130
2004,7601,1721
2004,7602,2786
2004,7603,2700
2004,7604,2147
2004,7605,774
2004,7606,3493
2004,7607,1271
2004,7608,2763
2004,7609,892
2004,7610,1773
2004,7611,1313
2004,7612,1768
2004,7613,1042
2004,7614,879
2004,7615,2016
2004,7616,11460
2004,7617,2954
2004,7618,5252
2004,7619,742
2004,7620,8110
2004,7621,1787
2004,7622,1670
2004,7623,1601
2004,7624,3239
2004,7625,15381
2004,8401,4219
2004,8402,1737
2004,8403,800
2004,8404,536
2004,8405,2369
2004,8406,2034
2004,8407,2950
2004,8408,4743
2004,8409,8120
2004,8410,879
2004,8411,1620
2004,8412,917
2004,8413,3411
2004,8414,1193
2004,8415,1737
2004,8416,3094
2004,8417,873
2004,8418,1765
2004,8419,1287
2004,8420,906
2004,8421,13429
2004,8422,1322
2004,8423,1059
2004,8424,953
2004,8425,592
2004,8426,1357
2004,8427,1194
2004,8428,5429
2004,8429,458
2004,8430,454
2004,8431,3617
2004,8432,1499
2004,8433,2478
2004,8434,1876
2004,8435,2049
2004,9301,6592
2004,9302,1163
2004,9303,1775
2004,9304,9337
2004,9305,1288
2004,9306,2090
2004,9307,1549
2004,9308,1711
2004,9309,2397
2004,9310,2114
2004,9311,1633
2004,9312,5061
2004,9313,3310
2004,9314,1404
2004,9315,11597
2004,9316,869
2004,9317,2004
2004,9318,8629
2005,0051,1341
2005,0052,2189
2005,0053,4245
2005,0054,2139
2005,0055,907
2005,0056,729
2005,0057,1279
2005,0058,607
2005,0059,1722
2005,0060,1578
2005,0061,757
2005,0062,749
2005,0063,927
2005,0064,1070
2005,1101,5136
2005,1102,666
2005,1103,912
2005,1104,5209
2005,1105,2017
2005,1106,4463
2005,1107,1715
2005,1108,1744
2005,1109,51915
2005,1110,537
2005,1111,816
2005,1112,7742
2005,1113,4551
2005,1114,7487
2005,1115,6205
2005,2401,1792
2005,2402,1897
2005,2403,1769
2005,2404,477
2005,2405,1921
2005,2406,425
2005,2407,774
2005,2408,656
2005,2409,1148
2005,2410,3976
2005,2411,539
2005,2412,953
2005,2413,5167
2005,2414,643
2005,2415,492
2005,2701,450
2005,2702,1934
2005,2703,607
2005,2704,1143
2005,2705,1703
2005,2706,3408
2005,2707,1488
2005,2708,804
2005,2709,650
2005,2710,812
2005,2711,4360
2005,2712,747
2005,2713,1735
2005,2714,1284
2005,2715,1120
2005,2716,649
2005,2717,1027
2005,2718,1250
2005,2801,472
2005,2802,940
2005,2803,646
2005,2804,5613
2005,2805,1705
2005,2806,670
2005,2807,1197
2005,2808,1804
2005,2809,791
2005,2810,652
2005,2811,1423
2005,2812,486
2005,2813,2655
2005,2814,795
2005,2815,6428
2005,2816,1017
2005,2817,1047
2005,2818,373
2005,2819,753
2005,3201,806
2005,3202,3091
2005,3203,1441
2005,3204,1328
2005,3205,1712
2005,3206,1410
2005,3207,1049
2005,3208,1098
2005,3209,584
2005,3210,1690
2005,3211,2297
2005,3212,1528
2005,3213,1961
2005,3214,1460
2005,3215,2141
2005,3216,10170
2005,3217,1490
2005,3218,3959
2005,3219,1282
2005,3220,2052
2005,3221,1239
2005,3222,2622
2005,4401,645
2005,4402,939
2005,4403,1239
2005,4404,1105
2005,4405,2182
2005,4406,1363
2005,4407,1747
2005,4408,778
2005,4409,1974
2005,4410,4509
2005,4411,4034
2005,4412,5506
2005,4413,3537
2005,4414,958
2005,4415,745
2005,4416,954
2005,4417,891
2005,4418,614
2005,4419,950
