node_idx,ze2020,libze2020,nb_com
211,7610,Castres-Mazamet,134
212,7611,Figeac-Villefranche,136
213,7612,Foix-Pamiers,268
214,7613,Mende,135
215,7614,Millau,91
216,7615,Montauban,101
217,7616,Montpellier,172
218,7617,Narbonne,102
219,7618,Nîmes,118
220,7619,Nord-du-Lot,110
221,7620,Perpignan,235
222,7621,Rodez,133
223,7622,Saint-Gaudens,387
224,7623,Sète,11
225,7624,Tarbes-Lourdes,477
226,7625,Toulouse,335
227,8401,Annecy,98
228,8402,Aubenas,175
229,8403,Aurillac,102
230,8404,Belley,72
231,8405,Bourg-en-Bresse,166
232,8406,Bourgoin-Jallieu,106
233,8407,Chambéry,110
234,8408,Clermont-Ferrand,191
235,8409,Grenoble,189
236,8410,Issoire,138
237,8411,La Maurienne,48
238,8412,La Plaine du Forez,88
239,8413,La Tarentaise,68
240,8414,La Vallée de l'Arve,28
241,8415,Le Chablais,48
242,8416,Le Genevois Français,146
243,8417,Le Livradois,109
244,8418,Le Mont Blanc,20
245,8419,Le Puy-en-Velay,184
246,8420,Les Sources de la Loire,77
247,8421,Lyon,235
248,8422,Montélimar,65
249,8423,Montluçon,114
250,8424,Moulins,101
251,8425,Oyonnax,35
252,8426,Roanne,76
253,8427,Romans-sur-Isère,57
254,8428,Saint-Étienne,134
255,8429,Saint-Flour,88
256,8430,Tarare,42
257,8431,Valence,157
258,8432,Vichy,144
259,8433,Vienne-Annonay,146
260,8434,Villefranche-sur-Saône,92
261,8435,Voiron,130
262,9301,Aix-en-Provence,61
263,9302,Briançon,36
264,9303,Brignoles,41
265,9304,Cannes,50
266,9305,Carpentras,29
267,9306,Cavaillon,54
268,9307,Digne-les-Bains,123
269,9308,Draguignan,39
270,9309,Fréjus,5
271,9310,0Gap,125
272,9311,Manosque,67
273,9312,Marseille,32
274,9313,Martigues-Salon,26
275,9314,Menton,18
276,9315,Nice,116
277,9316,Orange,16
278,9317,Sainte-Maxime,12
279,9318,Toulon,33
