source_ze2020,target_ze2020,edge_type
5312,5307,geographic_adjacency
5312,5309,geographic_adjacency
5312,5311,geographic_adjacency
5312,5316,geographic_adjacency
5312,5318,geographic_adjacency
5313,5302,geographic_adjacency
5313,5303,geographic_adjacency
5313,5314,geographic_adjacency
5314,5303,geographic_adjacency
5314,5309,geographic_adjacency
5314,5313,geographic_adjacency
5315,0062,geographic_adjacency
5315,5205,geographic_adjacency
5315,5304,geographic_adjacency
5315,5305,geographic_adjacency
5315,5307,geographic_adjacency
5315,5311,geographic_adjacency
5315,5317,geographic_adjacency
5315,5319,geographic_adjacency
5316,5303,geographic_adjacency
5316,5306,geographic_adjacency
5316,5307,geographic_adjacency
5316,5308,geographic_adjacency
5316,5312,geographic_adjacency
5317,2802,geographic_adjacency
5317,5304,geographic_adjacency
5317,5305,geographic_adjacency
5317,5315,geographic_adjacency
5318,0062,geographic_adjacency
5318,5219,geographic_adjacency
5318,5301,geographic_adjacency
5318,5311,geographic_adjacency
5318,5312,geographic_adjacency
5319,5205,geographic_adjacency
5319,5211,geographic_adjacency
5319,5221,geographic_adjacency
5319,5305,geographic_adjacency
5319,5315,geographic_adjacency
7501,7518,geographic_adjacency
7501,7519,geographic_adjacency
7501,7532,geographic_adjacency
7501,7604,geographic_adjacency
7501,7609,geographic_adjacency
7502,7509,geographic_adjacency
7502,7516,geographic_adjacency
7502,7520,geographic_adjacency
7502,7523,geographic_adjacency
7502,7524,geographic_adjacency
7502,7527,geographic_adjacency
7503,7510,geographic_adjacency
7503,7521,geographic_adjacency
7504,7514,geographic_adjacency
7504,7516,geographic_adjacency
