ze2020,libze2020,reg,year,is_structural_anomaly,anomaly_reason,bpe_evolution_commune_type_presence_total,side_stocks_et_total,side_stocks_ul_total,flores_et_total,side_creations_et_total,filosofi_s_hh_tax_weighted_proxy,filosofi_s_dir_tax_di_weighted_proxy,population_total,active_lr_total,employed_lr_total,unemployed_lr_total,unemployment_rate_est,jobs_lt_total,jobs_lt_per_1000_pop,side_stocks_et_per_1000_pop,bpe_facilities_total,bpe_facilities_per_1000_pop,flores_presential_unit_loc_total,flores_productive_unit_loc_total,observed_feature_count,has_any_feature_value,is_source_year_row,is_training_eligible_panel_v0
0203,Le Nord-Atlantique,2,2023,0,,,701.0,657.0,,107,,,,,,,,,,44.907111,645.0,41.319667,,,6,1,1,1
0203,Le Nord-Atlantique,2,2024,0,,186,,,,,,,,,,,,,,,657.0,42.088405,241.0,187.0,5,1,1,1
0204,Le Nord-Caraibe,2,2019,0,,268,1065.0,978.0,523.0,224,,,,,,,,,,,,,,,5,1,1,1
0204,Le Nord-Caraibe,2,2020,0,,,1099.0,1011.0,529.0,189,66.012707,-12.703693,,,,,,,,,,,,,6,1,1,1
0204,Le Nord-Caraibe,2,2021,0,,,1196.0,1094.0,546.0,232,35.163959,-13.534446,22352.0,9735.685344,7705.281787,2030.403557,0.208553,6013.717214,269.046046,53.507516,830.0,37.133142,,,16,1,1,1
0204,Le Nord-Caraibe,2,2022,0,,,,,,287,,,22357.0,9775.01359,7889.92926,1885.08433,0.192847,6085.69403,272.205306,,,,,,8,1,1,1
0204,Le Nord-Caraibe,2,2023,0,,,1307.0,1231.0,,251,,,,,,,,,,58.460437,944.0,42.223912,,,6,1,1,1
0204,Le Nord-Caraibe,2,2024,0,,276,,,,,,,,,,,,,,,962.0,43.029029,414.0,175.0,5,1,1,1
0205,Le Sud,2,2019,0,,301,2782.0,2564.0,1176.0,584,,,,,,,,,,,,,,,5,1,1,1
0205,Le Sud,2,2020,0,,,2910.0,2669.0,1200.0,542,67.267794,-12.643425,,,,,,,,,,,,,6,1,1,1
0205,Le Sud,2,2021,0,,,3209.0,2968.0,1273.0,702,30.877953,-12.944229,49246.0,21364.369,16374.780786,4989.588215,0.233547,11406.033375,231.613398,65.162653,1924.0,39.069163,,,16,1,1,1
0205,Le Sud,2,2022,0,,,,,,834,,,49153.0,21375.10983,17193.86333,4181.2465,0.195613,11576.91109,235.528067,,,,,,8,1,1,1
0205,Le Sud,2,2023,0,,,3657.0,3417.0,,748,,,,,,,,,,74.400342,2135.0,43.435802,,,6,1,1,1
0205,Le Sud,2,2024,0,,313,,,,,,,,,,,,,,,2262.0,46.019572,980.0,421.0,5,1,1,1
0206,Le Sud-Caraibe,2,2019,0,,425,4966.0,4547.0,1960.0,861,,,,,,,,,,,,,,,5,1,1,1
0206,Le Sud-Caraibe,2,2020,0,,,5307.0,4863.0,2054.0,896,72.904537,-13.946215,,,,,,,,,,,,,6,1,1,1
0206,Le Sud-Caraibe,2,2021,0,,,5832.0,5361.0,2192.0,1168,39.833422,-13.845998,65822.0,30060.014288,24754.3972,5305.617087,0.176501,17995.977406,273.403686,88.602595,2704.0,41.08049,,,16,1,1,1
0206,Le Sud-Caraibe,2,2022,0,,,,,,1207,,,65885.0,29744.53578,24809.49083,4935.04495,0.165914,18178.26654,275.909031,,,,,,8,1,1,1
0206,Le Sud-Caraibe,2,2023,0,,,6628.0,6123.0,,1166,,,,,,,,,,100.599529,3039.0,46.125825,,,6,1,1,1
0206,Le Sud-Caraibe,2,2024,0,,431,,,,,,,,,,,,,,,3201.0,48.584655,1564.0,797.0,5,1,1,1
0301,Est-littoral,3,2019,0,,447,7859.0,6996.0,4070.0,1779,,,,,,,,,,,,,,,5,1,1,1
0301,Est-littoral,3,2020,0,,,8236.0,7354.0,4133.0,1811,,,,,,,,,,,,,,,4,1,1,1
0301,Est-littoral,3,2021,0,,,9153.0,8235.0,4436.0,2449,,,159660.0,69064.576652,50395.602433,18668.974219,0.270312,51241.535367,320.941597,57.328072,4688.0,29.362395,,,14,1,1,1
0301,Est-littoral,3,2022,0,,,,,,2591,,,160925.0,68352.6923,49961.42222,18391.27008,0.269064,51569.16595,320.454659,,,,,,8,1,1,1
0301,Est-littoral,3,2023,0,,,10385.0,9392.0,,2738,,,,,,,,,,64.533168,5398.0,33.543576,,,6,1,1,1
0301,Est-littoral,3,2024,0,,471,,,,,,,,,,,,,,,5891.0,36.607115,3246.0,1872.0,5,1,1,1
0302,Ouest-Guyanais,3,2019,0,,202,870.0,755.0,596.0,250,,,,,,,,,,,,,,,5,1,1,1
0302,Ouest-Guyanais,3,2020,0,,,922.0,814.0,613.0,225,,,,,,,,,,,,,,,4,1,1,1
0302,Ouest-Guyanais,3,2021,0,,,1100.0,969.0,667.0,444,,,97568.0,31651.956693,18639.931474,13012.025218,0.411097,18779.036538,192.471267,11.274188,863.0,8.845113,,,14,1,1,1
0302,Ouest-Guyanais,3,2022,0,,,,,,525,,,98344.0,31560.93215,19960.65362,11600.27853,0.367552,19268.12024,195.925733,,,,,,8,1,1,1
0302,Ouest-Guyanais,3,2023,0,,,1370.0,1236.0,,491,,,,,,,,,,13.930692,1089.0,11.073375,,,6,1,1,1
0302,Ouest-Guyanais,3,2024,0,,225,,,,,,,,,,,,,,,1233.0,12.537623,597.0,192.0,5,1,1,1
0303,Savanes,3,2019,0,,142,1138.0,999.0,723.0,191,,,,,,,,,,,,,,,5,1,1,1
0303,Savanes,3,2020,0,,,1176.0,1052.0,713.0,228,,,,,,,,,,,,,,,4,1,1,1
0303,Savanes,3,2021,0,,,1323.0,1183.0,741.0,378,,,29390.0,12807.98574,9262.875006,3545.110734,0.276789,10022.93066,341.032006,45.015311,833.0,28.342974,,,14,1,1,1
0303,Savanes,3,2022,0,,,,,,365,,,29113.0,12124.88847,8884.73316,3240.15531,0.267232,10044.66848,345.023477,,,,,,8,1,1,1
0303,Savanes,3,2023,0,,,1479.0,1325.0,,364,,,,,,,,,,50.802047,984.0,33.799334,,,6,1,1,1
0303,Savanes,3,2024,0,,155,,,,,,,,,,,,,,,1068.0,36.684643,535.0,274.0,5,1,1,1
0401,L'Est,4,2019,0,,412,5413.0,4904.0,2877.0,983,,,,,,,,,,,,,,,5,1,1,1
0401,L'Est,4,2020,0,,,5880.0,5330.0,2998.0,1166,67.569133,-10.20133,,,,,,,,,,,,,6,1,1,1
