ze2020,libze2020,reg,PMUN2023,PMUN2022,PMUN2021,PMUN2020,PMUN2019,PMUN2018,PMUN2017,PMUN2016,PMUN2015,PMUN2014,PMUN2013,PMUN2012,PMUN2011,PMUN2010,PMUN2009,PMUN2008,PMUN2007,PMUN2006,PSDC1999,PSDC1990,PSDC1982,PSDC1975,PSDC1968,PSDC1962,PTOT1954,PTOT1936,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
2702,Auxerre,27,179486.0,180562.0,180825.0,181500.0,182926.0,184092.0,184732.0,186052.0,186237.0,187175.0,187612.0,188197.0,189157.0,190030.0,190697.0,190493.0,190528.0,189943.0,187714.0,184360.0,180269.0,174257.0,162788.0,152590.0,148828.0,148100.0,149229.0,151274.0,148592.0,163199.0,169048.0,170679.0,177030.0,183834.0,190070.0,190541.0,191059.0
2703,Avallon,27,50138.0,50355.0,50510.0,50701.0,51042.0,51561.0,52183.0,52952.0,53521.0,54209.0,54695.0,55180.0,55472.0,55746.0,55926.0,56126.0,56227.0,56312.0,56927.0,57772.0,59743.0,62531.0,64939.0,66709.0,69736.0,78754.0,82773.0,85813.0,88301.0,104156.0,110792.0,114518.0,118973.0,123522.0,128012.0,130012.0,131270.0
2704,Beaune,27,77898.0,78043.0,77892.0,78152.0,78776.0,79133.0,79675.0,80441.0,80450.0,80494.0,80783.0,80696.0,80662.0,80961.0,80796.0,79818.0,79009.0,78301.0,76602.0,74844.0,71839.0,68411.0,66893.0,65555.0,63793.0,64143.0,66190.0,66891.0,67172.0,78592.0,82989.0,84913.0,86700.0,88664.0,91128.0,92854.0,93231.0
2705,Belfort,27,191203.0,191085.0,190731.0,191379.0,192765.0,193404.0,194344.0,195925.0,196420.0,196295.0,196243.0,196100.0,195438.0,194829.0,194264.0,193483.0,193466.0,191874.0,185432.0,181637.0,179904.0,172295.0,159875.0,149778.0,139987.0,140856.0,141572.0,140144.0,137738.0,151274.0,146296.0,142191.0,137900.0,132942.0,129889.0,124385.0,111869.0
2706,Besançon,27,320719.0,321974.0,320937.0,319518.0,318778.0,317056.0,315764.0,315441.0,314576.0,313434.0,312597.0,310699.0,309290.0,309032.0,308063.0,306613.0,305233.0,302366.0,287133.0,270846.0,258151.0,250842.0,229333.0,205000.0,182353.0,174743.0,174661.0,174506.0,171919.0,187954.0,190577.0,193330.0,200294.0,204610.0,211197.0,216588.0,218110.0
2707,Chalon-sur-Saône,27,160778.0,159954.0,160283.0,160561.0,160729.0,160297.0,160522.0,160671.0,160532.0,159933.0,159724.0,158564.0,158134.0,157513.0,157111.0,156614.0,155974.0,154914.0,150699.0,148099.0,144104.0,139520.0,126840.0,117529.0,108957.0,109897.0,111427.0,112052.0,112900.0,121809.0,123491.0,125295.0,123579.0,124878.0,125812.0,125170.0,123701.0
2708,Charolais,27,85420.0,85605.0,85929.0,86354.0,86832.0,87277.0,87728.0,88144.0,88623.0,88871.0,89320.0,89598.0,89885.0,90303.0,90481.0,90719.0,90625.0,90607.0,91949.0,97812.0,104198.0,107652.0,106612.0,104118.0,99110.0,103518.0,105843.0,107175.0,106308.0,120438.0,125124.0,127634.0,130276.0,129820.0,131863.0,130986.0,128401.0
2709,Châtillon-Montbard,27,59285.0,59531.0,59621.0,59817.0,60081.0,60458.0,60934.0,61435.0,61799.0,62095.0,62455.0,62765.0,62964.0,63104.0,63108.0,63131.0,63125.0,63146.0,64479.0,66820.0,69002.0,69248.0,71846.0,72070.0,70841.0,72318.0,74187.0,76468.0,77667.0,87118.0,90770.0,93130.0,96090.0,100314.0,102980.0,105302.0,106814.0
2710,Creusot-Montceau,27,96598.0,96728.0,96937.0,97920.0,98669.0,99459.0,100563.0,101500.0,102064.0,102510.0,103164.0,103595.0,104078.0,104588.0,104768.0,105077.0,105457.0,105402.0,110320.0,119059.0,126877.0,126993.0,124624.0,127080.0,118604.0,116074.0,122613.0,124430.0,125302.0,126177.0,122155.0,122187.0,117880.0,109600.0,103798.0,100585.0,94709.0
2711,Dijon,27,406266.0,403427.0,401474.0,400642.0,398808.0,397156.0,396708.0,394819.0,394363.0,392283.0,390006.0,387387.0,385692.0,383601.0,383438.0,381724.0,379988.0,378634.0,367826.0,354014.0,333844.0,318977.0,282888.0,250755.0,223036.0,199054.0,194495.0,186602.0,177729.0,185818.0,185983.0,185443.0,187358.0,189949.0,189614.0,186866.0,179268.0
