selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_local_all_lambda_0_5,8413,La Tarentaise,10946.0,1036.0,919.5387304934998,116.46126950650023,9.464644619038918,8.40068271965558,1.0639618993833384
fixed_huber_absolute_local_all_lambda_0_5,8414,La Vallée de l'Arve,5901.0,702.0,759.8072061683761,-57.80720616837607,11.896288764616166,12.87590588321261,-0.979617118596444
fixed_huber_absolute_local_all_lambda_0_5,8415,Le Chablais,8713.0,617.0,540.774931588873,76.22506841112704,7.081372661540228,6.206529686547377,0.874842974992851
fixed_huber_absolute_local_all_lambda_0_5,8416,Le Genevois Français,22417.0,2133.0,2378.8548294475695,-245.8548294475695,9.515100147209706,10.611834007438862,-1.0967338602291559
fixed_huber_absolute_local_all_lambda_0_5,8417,Le Livradois,4170.0,487.0,459.4175454516867,27.582454548313308,11.678657074340528,11.017207324980497,0.6614497493600311
fixed_huber_absolute_local_all_lambda_0_5,8418,Le Mont Blanc,6721.0,320.0,204.32951633852372,115.67048366147628,4.761196250557952,3.0401653970915596,1.7210308534663925
fixed_huber_absolute_local_all_lambda_0_5,8419,Le Puy-en-Velay,5812.0,584.0,542.5648446279008,41.43515537209919,10.048176187198898,9.335251972262574,0.712924214936324
fixed_huber_absolute_local_all_lambda_0_5,8420,Les Sources de la Loire,4225.0,427.0,336.0270129865519,90.97298701344812,10.106508875739644,7.953302082521938,2.1532067932177066
fixed_huber_absolute_local_all_lambda_0_5,8421,Lyon,170484.0,9532.0,10828.422306171342,-1296.422306171342,5.591140517585228,6.3515768671378785,-0.7604363495526503
fixed_huber_absolute_local_all_lambda_0_5,8422,Montélimar,6997.0,508.0,526.9348080065897,-18.93480800658972,7.2602543947406035,7.530867629078029,-0.2706132343374259
fixed_huber_absolute_local_all_lambda_0_5,8423,Montluçon,5096.0,413.0,290.31912175443995,122.68087824556005,8.104395604395604,5.697000034427786,2.407395569967818
fixed_huber_absolute_local_all_lambda_0_5,8424,Moulins,4458.0,362.0,435.1524070232798,-73.1524070232798,8.120233288470166,9.761157627260651,-1.6409243387904855
fixed_huber_absolute_local_all_lambda_0_5,8425,Oyonnax,3025.0,347.0,292.6553702189859,54.34462978101408,11.47107438016529,9.674557693189618,1.7965166869756715
fixed_huber_absolute_local_all_lambda_0_5,8426,Roanne,7121.0,493.0,349.3153460023814,143.68465399761862,6.92318494593456,4.905425445897786,2.0177595000367736
fixed_huber_absolute_local_all_lambda_0_5,8427,Romans-sur-Isère,6317.0,651.0,730.2088974673418,-79.20889746734179,10.305524774418236,11.55942532004657,-1.2539005456283334
fixed_huber_absolute_local_all_lambda_0_5,8428,Saint-Étienne,33237.0,2476.0,2881.8098026944062,-405.80980269440624,7.449529139212324,8.670487115848019,-1.2209579766356944
fixed_huber_absolute_local_all_lambda_0_5,8429,Saint-Flour,1562.0,201.0,165.53675870578883,35.46324129421117,12.868117797695264,10.597743835197749,2.2703739624975157
fixed_huber_absolute_local_all_lambda_0_5,8430,Tarare,2862.0,201.0,106.07732580772392,94.92267419227608,7.023060796645702,3.706405513896713,3.3166552827489895
fixed_huber_absolute_local_all_lambda_0_5,8431,Valence,19108.0,1233.0,1469.7862178393761,-236.78621783937615,6.452794640988067,7.691994022605067,-1.2391993816170004
fixed_huber_absolute_local_all_lambda_0_5,8432,Vichy,7643.0,764.0,600.5905893511735,163.40941064882645,9.996074839722622,7.858047747627548,2.138027092095074
fixed_huber_absolute_local_all_lambda_0_5,8433,Vienne-Annonay,14940.0,1149.0,859.433143918287,289.566856081713,7.690763052208835,5.75256455099255,1.9381985012162852
fixed_huber_absolute_local_all_lambda_0_5,8434,Villefranche-sur-Saône,12277.0,931.0,1027.0966604282808,-96.09666042828076,7.583285819011159,8.36602313617562,-0.7827373171644609
