ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
2714,Montbéliard,27,166376.0,71536.60266000002,0.0,0.0,61219.83229999997,367.960717,9316.0,8313.0,55.993653,5515.0,33.14781,2933.0,1155.0,44.766122,-13.373161
2715,Pontarlier,27,127034.0,66364.87816000001,0.0,0.0,38349.585460000024,301.88442,8961.0,8126.0,70.54017,5125.0,40.34353,2740.0,1499.0,65.033699,-19.484829
2716,Saint-Claude,27,51794.0,24805.042879999994,0.0,0.0,16649.036090000005,321.447196,4119.0,3776.0,79.526586,2456.0,47.41862,1172.0,542.0,54.465312,-15.743797
2717,Sens,27,114192.0,50953.736159999986,0.0,0.0,37744.39568999999,330.534501,7893.0,7110.0,69.120429,4330.0,37.918593,2197.0,1049.0,45.964727,-14.042517
2718,Vesoul,27,126165.0,55591.88705999999,0.0,0.0,47131.482710000004,373.570188,8281.0,7477.0,65.63627,5388.0,42.70598,2824.0,1324.0,43.489928,-13.469405
2801,Argentan,28,41551.0,17412.159549999997,0.0,0.0,14906.83510000001,358.75996,2636.0,2349.0,63.44011,1486.0,35.763279,893.0,581.0,41.604915,-12.586119
2802,Avranches,28,89226.0,38406.147090000006,0.0,0.0,37324.41925999999,418.313264,6506.0,5754.0,72.915966,3535.0,39.618497,2145.0,1374.0,43.598619,-13.144101
2803,Bernay,28,69837.0,31040.804010000014,0.0,0.0,23965.768509999994,343.167211,4950.0,4511.0,70.879333,2765.0,39.592193,1542.0,827.0,46.14634,-13.867967
2804,Caen,28,542066.0,249450.50045999986,0.0,0.0,221437.0911099999,408.505774,46065.0,40796.0,84.980427,20944.0,38.637362,12923.0,5767.0,52.072647,-15.603135
2805,Cherbourg-en-Cotentin,28,185457.0,85530.85388000001,0.0,0.0,79474.81885000003,428.535018,10931.0,9621.0,58.940887,5847.0,31.527524,3547.0,1712.0,52.198041,-14.831857
2806,Coutances,28,64192.0,26938.135540000007,0.0,0.0,23174.21899,361.014129,4684.0,4283.0,72.968594,2554.0,39.786889,1492.0,955.0,44.198822,-13.915845
2807,Dieppe-Caux maritime,28,145057.0,64054.44756999999,0.0,0.0,53882.51121000005,371.457504,9206.0,8192.0,63.464707,5594.0,38.564151,3249.0,1607.0,44.170534,-13.345066
2808,Évreux,28,184524.0,86015.30540999991,0.0,0.0,68663.40706999994,372.110983,12777.0,11426.0,69.243025,6750.0,36.580607,3640.0,1735.0,47.722666,-14.201748
2809,Flers,28,93218.0,38919.57929999999,0.0,0.0,35970.41160999999,385.874097,5287.0,4713.0,56.716514,3262.0,34.993242,1886.0,1099.0,40.856577,-12.818884
2810,Granville,28,54355.0,21481.106420000004,0.0,0.0,18441.12321000001,339.271883,4943.0,4462.0,90.939196,2340.0,43.050317,1489.0,660.0,53.503238,-16.096462
2811,Honfleur Pont-Audemer,28,104504.0,47178.650490000015,0.0,0.0,38248.57454999998,366.001058,10411.0,9197.0,99.622981,5426.0,51.921458,3277.0,1287.0,46.93321,-15.548228
2812,L'Aigle,28,44422.0,18774.840170000007,0.0,0.0,15191.98405000001,341.992347,3002.0,2741.0,67.579127,1803.0,40.587997,979.0,622.0,41.115208,-13.025994
2813,Le Havre,28,321805.0,142022.58104999995,0.0,0.0,131372.09746000002,408.235103,20137.0,17451.0,62.575162,10325.0,32.084648,6164.0,2943.0,48.55166,-14.598194
2814,Lisieux,28,74037.0,33312.287859999975,0.0,0.0,30379.73675,410.331817,6195.0,5534.0,83.674379,3136.0,42.3572,1829.0,1018.0,41.087908,-12.98326
2815,Rouen,28,737878.0,338491.19770000014,0.0,0.0,304572.55669999984,412.768177,50812.0,44341.0,68.862332,24596.0,33.333424,14862.0,6465.0,50.376746,-15.137899
2816,Saint-Lô,28,107393.0,48426.606990000015,0.0,0.0,45936.08246000002,427.738144,7110.0,6302.0,66.205432,3788.0,35.272318,2427.0,1452.0,46.05292,-13.524455
2817,Vernon-Gisors,28,132054.0,61474.55067,0.0,0.0,42261.05673,320.0286,9244.0,8290.0,70.001666,4799.0,36.341194,2648.0,1251.0,51.555033,-14.658579
2818,Vire Normandie,28,43756.0,18768.14029,0.0,0.0,17130.005439999994,391.489292,2642.0,2344.0,60.380291,1454.0,33.229728,787.0,545.0,43.867921,-12.747519
2819,Yvetot-Vallée du Commerce,28,117688.0,54667.29919999998,0.0,0.0,39964.95355999998,339.58393,6515.0,5748.0,55.358235,3706.0,31.490041,2123.0,1054.0,45.607653,-13.507826
3201,Abbeville,32,92321.0,40030.92551999996,0.0,0.0,31168.607209999987,337.611239,6450.0,5385.0,69.864928,3915.0,42.406386,2146.0,1062.0,40.754579,-13.384863
3202,Amiens,32,384611.0,177323.00683999993,0.0,0.0,152070.95980000007,395.389003,24471.0,21362.0,63.625325,13679.0,35.565805,7655.0,3585.0,46.204233,-15.573301
3203,Arras,32,181801.0,84033.42916999997,0.0,0.0,79176.59570000005,435.512432,12179.0,10701.0,66.990831,6386.0,35.126319,3867.0,2159.0,49.607585,-15.501835
3204,Berck,32,126986.0,53325.75873000004,0.0,0.0,47163.85468999997,371.409877,9610.0,8543.0,75.677634,5580.0,43.941852,3454.0,1432.0,45.291384,-14.483481
