year_month,ze2020,target_proxy_establishment_creations_count
2011-02,2813,257
2011-02,2814,101
2011-02,2815,623
2011-02,2816,86
2011-02,2817,103
2011-02,2818,42
2011-02,2819,76
2011-02,3201,85
2011-02,3202,278
2011-02,3203,146
2011-02,3204,95
2011-02,3205,212
2011-02,3206,141
2011-02,3207,128
2011-02,3208,127
2011-02,3209,63
2011-02,3210,167
2011-02,3211,256
2011-02,3212,166
2011-02,3213,178
2011-02,3214,78
2011-02,3215,247
2011-02,3216,998
2011-02,3217,152
2011-02,3218,427
2011-02,3219,116
2011-02,3220,183
2011-02,3221,124
2011-02,3222,272
2011-02,4401,57
2011-02,4402,100
2011-02,4403,145
2011-02,4404,89
2011-02,4405,207
2011-02,4406,84
2011-02,4407,177
2011-02,4408,83
2011-02,4409,215
2011-02,4410,424
2011-02,4411,437
2011-02,4412,522
2011-02,4413,356
2011-02,4414,103
2011-02,4415,70
2011-02,4416,107
2011-02,4417,102
2011-02,4418,87
2011-02,4419,83
2011-02,4420,92
2011-02,4421,63
2011-02,4422,101
2011-02,4423,879
2011-02,4424,213
2011-02,4425,208
2011-02,4426,61
2011-02,4427,80
2011-02,5201,78
2011-02,5202,371
2011-02,5203,196
2011-02,5204,38
2011-02,5205,49
2011-02,5206,137
2011-02,5207,127
2011-02,5208,57
2011-02,5209,45
2011-02,5210,154
2011-02,5211,129
2011-02,5212,302
2011-02,5213,104
2011-02,5214,101
2011-02,5215,68
2011-02,5216,1179
2011-02,5217,90
2011-02,5218,53
2011-02,5219,279
2011-02,5220,96
2011-02,5221,50
2011-02,5301,138
2011-02,5302,349
2011-02,5303,82
2011-02,5304,98
2011-02,5305,55
2011-02,5306,62
2011-02,5307,68
2011-02,5308,133
2011-02,5309,247
2011-02,5310,125
2011-02,5311,71
2011-02,5312,111
2011-02,5313,276
2011-02,5314,59
2011-02,5315,772
2011-02,5316,156
2011-02,5317,186
2011-02,5318,298
2011-02,5319,76
2011-02,7501,165
2011-02,7502,225
2011-02,7503,584
2011-02,7504,154
2011-02,7505,1603
2011-02,7506,83
2011-02,7507,139
2011-02,7508,72
2011-02,7509,146
2011-02,7510,216
2011-02,7511,101
2011-02,7512,369
2011-02,7513,238
2011-02,7514,143
2011-02,7515,90
2011-02,7516,184
2011-02,7517,308
2011-02,7518,112
2011-02,7519,162
2011-02,7520,178
2011-02,7521,84
2011-02,7522,358
2011-02,7523,236
2011-02,7524,303
2011-02,7525,84
2011-02,7526,187
2011-02,7527,82
2011-02,7528,151
2011-02,7529,104
2011-02,7530,55
2011-02,7531,97
2011-02,7532,118
2011-02,7601,180
2011-02,7602,289
2011-02,7603,289
2011-02,7604,227
2011-02,7605,80
2011-02,7606,344
2011-02,7607,144
2011-02,7608,290
2011-02,7609,84
2011-02,7610,175
2011-02,7611,100
2011-02,7612,179
2011-02,7613,87
2011-02,7614,72
2011-02,7615,232
2011-02,7616,1409
2011-02,7617,266
2011-02,7618,571
2011-02,7619,67
2011-02,7620,767
2011-02,7621,158
2011-02,7622,186
2011-02,7623,193
2011-02,7624,320
2011-02,7625,1765
2011-02,8401,404
2011-02,8402,178
2011-02,8403,75
2011-02,8404,53
2011-02,8405,262
2011-02,8406,260
2011-02,8407,305
2011-02,8408,440
2011-02,8409,837
2011-02,8410,71
2011-02,8411,54
2011-02,8412,113
2011-02,8413,209
2011-02,8414,111
2011-02,8415,144
2011-02,8416,319
2011-02,8417,71
2011-02,8418,108
2011-02,8419,140
2011-02,8420,59
2011-02,8421,1693
2011-02,8422,158
2011-02,8423,106
2011-02,8424,89
2011-02,8425,67
2011-02,8426,141
2011-02,8427,124
2011-02,8428,602
2011-02,8429,36
2011-02,8430,63
2011-02,8431,395
2011-02,8432,125
2011-02,8433,251
2011-02,8434,206
2011-02,8435,221
2011-02,9301,775
2011-02,9302,62
2011-02,9303,214
2011-02,9304,1119
2011-02,9305,138
2011-02,9306,217
2011-02,9307,114
2011-02,9308,236
2011-02,9309,253
2011-02,9310,157
2011-02,9311,141
2011-02,9312,616
2011-02,9313,377
2011-02,9314,113
2011-02,9315,1265
2011-02,9316,99
2011-02,9317,183
2011-02,9318,999
2011-03,0051,127
2011-03,0052,252
2011-03,0053,469
2011-03,0054,264
2011-03,0055,107
2011-03,0056,68
2011-03,0057,155
2011-03,0058,75
2011-03,0059,168
2011-03,0060,153
2011-03,0061,56
2011-03,0062,73
