ze2020,libze2020,reg,year,bpe_evolution_commune_type_presence_total,bpe_evolution_communes_observed,bpe_evolution_facility_types_observed,source_geography_year,comparability_status
4423,Strasbourg,44,2024,5114,213,145,2025,official_harmonized_2019_2024_presence_absence
4424,Thionville,44,2019,3243,190,134,2025,official_harmonized_2019_2024_presence_absence
4424,Thionville,44,2024,3345,190,134,2025,official_harmonized_2019_2024_presence_absence
4425,Troyes,44,2019,3381,358,139,2025,official_harmonized_2019_2024_presence_absence
4425,Troyes,44,2024,3571,358,139,2025,official_harmonized_2019_2024_presence_absence
4426,Verdun,44,2019,1469,231,122,2025,official_harmonized_2019_2024_presence_absence
4426,Verdun,44,2024,1545,231,125,2025,official_harmonized_2019_2024_presence_absence
4427,Vitry-le-François Saint-Dizier,44,2019,1840,224,129,2025,official_harmonized_2019_2024_presence_absence
4427,Vitry-le-François Saint-Dizier,44,2024,1953,224,126,2025,official_harmonized_2019_2024_presence_absence
5201,Ancenis,52,2019,890,23,115,2025,official_harmonized_2019_2024_presence_absence
5201,Ancenis,52,2024,906,23,116,2025,official_harmonized_2019_2024_presence_absence
5202,Angers,52,2019,2435,67,146,2025,official_harmonized_2019_2024_presence_absence
5202,Angers,52,2024,2512,67,146,2025,official_harmonized_2019_2024_presence_absence
5203,Challans,52,2019,1642,42,127,2025,official_harmonized_2019_2024_presence_absence
5203,Challans,52,2024,1754,42,128,2025,official_harmonized_2019_2024_presence_absence
5204,Château-Gontier-sur-Mayenne,52,2019,543,32,109,2025,official_harmonized_2019_2024_presence_absence
5204,Château-Gontier-sur-Mayenne,52,2024,567,32,108,2025,official_harmonized_2019_2024_presence_absence
5205,Châteaubriant,52,2019,751,32,121,2025,official_harmonized_2019_2024_presence_absence
5205,Châteaubriant,52,2024,764,32,121,2025,official_harmonized_2019_2024_presence_absence
5206,Cholet,52,2019,1150,35,136,2025,official_harmonized_2019_2024_presence_absence
5206,Cholet,52,2024,1159,35,134,2025,official_harmonized_2019_2024_presence_absence
5207,Fontenay-le-Comte,52,2019,1818,98,123,2025,official_harmonized_2019_2024_presence_absence
5207,Fontenay-le-Comte,52,2024,1914,98,122,2025,official_harmonized_2019_2024_presence_absence
5208,La Ferté-Bernard,52,2019,1207,80,110,2025,official_harmonized_2019_2024_presence_absence
5208,La Ferté-Bernard,52,2024,1247,80,108,2025,official_harmonized_2019_2024_presence_absence
5209,La Flèche,52,2019,694,28,114,2025,official_harmonized_2019_2024_presence_absence
5209,La Flèche,52,2024,709,28,114,2025,official_harmonized_2019_2024_presence_absence
5210,La Roche-sur-Yon,52,2019,1404,45,139,2025,official_harmonized_2019_2024_presence_absence
5210,La Roche-sur-Yon,52,2024,1476,45,138,2025,official_harmonized_2019_2024_presence_absence
5211,Laval,52,2019,1717,85,137,2025,official_harmonized_2019_2024_presence_absence
5211,Laval,52,2024,1826,85,137,2025,official_harmonized_2019_2024_presence_absence
5212,Le Mans,52,2019,3326,148,143,2025,official_harmonized_2019_2024_presence_absence
5212,Le Mans,52,2024,3421,148,144,2025,official_harmonized_2019_2024_presence_absence
5213,Les Herbiers-Montaigu,52,2019,1365,49,112,2025,official_harmonized_2019_2024_presence_absence
5213,Les Herbiers-Montaigu,52,2024,1444,49,111,2025,official_harmonized_2019_2024_presence_absence
5214,Les Sables-d'Olonne,52,2019,632,18,127,2025,official_harmonized_2019_2024_presence_absence
5214,Les Sables-d'Olonne,52,2024,676,18,129,2025,official_harmonized_2019_2024_presence_absence
5215,Mayenne,52,2019,1332,92,118,2025,official_harmonized_2019_2024_presence_absence
5215,Mayenne,52,2024,1372,92,122,2025,official_harmonized_2019_2024_presence_absence
5216,Nantes,52,2019,4420,95,147,2025,official_harmonized_2019_2024_presence_absence
5216,Nantes,52,2024,4543,95,147,2025,official_harmonized_2019_2024_presence_absence
5217,Pornic,52,2019,730,16,112,2025,official_harmonized_2019_2024_presence_absence
5217,Pornic,52,2024,733,16,113,2025,official_harmonized_2019_2024_presence_absence
5218,Sablé-sur-Sarthe,52,2019,837,52,112,2025,official_harmonized_2019_2024_presence_absence
5218,Sablé-sur-Sarthe,52,2024,861,52,112,2025,official_harmonized_2019_2024_presence_absence
5219,Saint-Nazaire,52,2019,1760,37,138,2025,official_harmonized_2019_2024_presence_absence
5219,Saint-Nazaire,52,2024,1847,37,138,2025,official_harmonized_2019_2024_presence_absence
5220,Saumur,52,2019,1020,45,127,2025,official_harmonized_2019_2024_presence_absence
5220,Saumur,52,2024,1046,45,126,2025,official_harmonized_2019_2024_presence_absence
