task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
63,NL,main,2014,2019,BE,KZ,2032,0.14224334346113088,0.020231649302068666,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4081.178,0.0051428571428571435,True
63,NL,main,2014,2019,BE,MN,2033,0.12101815653313475,0.014536039974067605,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4081.178,0.0051428571428571435,True
64,NL,main,2014,2019,FZ,BE,2031,0.15088320115806364,0.0225488847280072,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4079.353,0.0051428571428571435,True
64,NL,main,2014,2019,FZ,RU,2034,0.126291168368515,0.014892182457530545,0.001,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4079.353,0.0051428571428571435,True
65,NL,main,2014,2019,GI,BE,2031,0.1022812351405036,0.010407818568886507,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,5597.811,0.0051428571428571435,True
67,NL,main,2014,2019,KZ,JZ,2033,0.11199923609857751,0.012472305967097697,0.001,0.992,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4127.66,0.0051428571428571435,True
69,NL,main,2014,2019,MN,FZ,2034,0.12166862780644935,0.013104330138151488,0.001,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,3991.72,0.0051428571428571435,True
69,NL,main,2014,2019,MN,RU,2034,0.14771864027607184,0.02110322058415659,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,3991.72,0.0051428571428571435,True
71,NL,main,2014,2019,RU,GI,2034,0.16503036036447302,0.02714654802757821,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode09,4033.206,0.0051428571428571435,True
71,NL,main,2014,2019,RU,JZ,2033,0.12862473844113625,0.016158128229218804,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode09,4033.206,0.0051428571428571435,True
71,NL,main,2014,2019,RU,KZ,2033,0.10406713281675045,0.01080098909919791,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode09,4033.206,0.0051428571428571435,True
