ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
14,2016,18250.0,9400.0,24830.0,410.0,1100.0,410.0,7040.0,37080.0,5550.0,104070.0
15,2016,5550.0,2810.0,8690.0,590.0,480.0,140.0,2440.0,16030.0,2370.0,39100.0
16,2016,15230.0,5740.0,21450.0,710.0,870.0,400.0,4350.0,29180.0,5290.0,83220.0
17,2016,12760.0,5210.0,18750.0,1060.0,950.0,280.0,4010.0,36660.0,4370.0,84050.0
18,2016,105640.0,63990.0,386310.0,53500.0,46470.0,14870.0,271460.0,319670.0,106590.0,1368500.0
19,2016,4620.0,2490.0,10030.0,120.0,400.0,230.0,3560.0,17770.0,2330.0,41550.0
20,2016,5500.0,2540.0,9450.0,150.0,520.0,140.0,2030.0,26670.0,2460.0,49460.0
21,2016,16810.0,4820.0,25570.0,510.0,1090.0,370.0,7110.0,40350.0,4410.0,101040.0
22,2016,5170.0,1640.0,9200.0,110.0,450.0,190.0,2420.0,22580.0,2900.0,44660.0
23,2016,10120.0,2770.0,14900.0,690.0,790.0,260.0,4540.0,33670.0,4190.0,71930.0
24,2016,8510.0,6330.0,25310.0,870.0,1140.0,290.0,6380.0,53820.0,10020.0,112670.0
25,2016,6870.0,6350.0,34100.0,1000.0,1560.0,890.0,9210.0,50320.0,7690.0,117990.0
1,2017,21100.0,10030.0,22670.0,440.0,920.0,560.0,6120.0,29770.0,5170.0,96780.0
2,2017,52390.0,21300.0,42810.0,2770.0,1750.0,1550.0,16780.0,45240.0,10560.0,195150.0
3,2017,83320.0,13520.0,38590.0,790.0,1390.0,1220.0,11370.0,35100.0,8260.0,193560.0
4,2017,181230.0,40100.0,217450.0,16710.0,11870.0,7250.0,117500.0,173470.0,44040.0,809620.0
5,2017,3180.0,2810.0,6420.0,100.0,330.0,110.0,1170.0,16500.0,1570.0,32190.0
6,2017,65220.0,24930.0,32150.0,380.0,1230.0,860.0,7530.0,36830.0,8170.0,177300.0
7,2017,6970.0,5160.0,16100.000000000002,240.0,780.0,230.0,3180.0,54560.0,3960.0,91180.0
8,2017,3870.0,2240.0,8820.0,140.0,470.0,120.0,1570.0,31150.0,1830.0,50210.0
9,2017,10150.0,16079.999999999998,89160.0,1410.0,2090.0,4590.0,23770.0,64210.0,13200.0,224660.0
10,2017,27460.0,9950.0,44050.0,1290.0,1580.0,1230.0,10470.0,54000.0,7410.0,157440.0
11,2017,56400.0,7810.0,38660.0,1880.0,1520.0,870.0,15570.0,41610.0,7440.0,171760.0
12,2017,29760.0,11970.0,46390.0,2700.0,1940.0,1080.0,16440.0,65880.0,11300.0,187460.0
13,2017,34610.0,13060.0,36310.0,1060.0,1570.0,980.0,12820.0,28410.0,5500.0,134320.0
14,2017,19490.0,9580.0,25230.0,440.0,1060.0,490.0,7180.0,36980.0,5590.0,106040.0
15,2017,5570.0,2920.0,8990.0,650.0,450.0,160.0,2670.0,15560.0,2400.0,39370.0
16,2017,15410.0,6050.0,22370.0,740.0,830.0,450.0,4510.0,28670.0,5390.0,84420.0
17,2017,13090.0,5300.0,19330.0,980.0,890.0,340.0,4320.0,35310.0,4330.0,83890.0
18,2017,110070.0,67750.0,400890.0,57570.0,46290.0,19090.0,298420.0,328420.0,109310.0,1437810.0
19,2017,4390.0,2530.0,10360.0,130.0,370.0,270.0,3710.0,18660.0,2360.0,42780.0
20,2017,5700.0,2710.0,9660.0,170.0,470.0,230.0,2140.0,27500.0,2410.0,50990.0
21,2017,17350.0,4960.0,25810.0,570.0,1040.0,450.0,7610.0,39390.0,4510.0,101690.0
22,2017,5230.0,1740.0,9340.0,120.0,440.0,230.0,2780.0,22590.0,2840.0,45310.0
23,2017,10440.0,2890.0,15350.0,690.0,760.0,300.0,4790.0,34010.0,4150.0,73380.0
24,2017,8590.0,6890.0,26530.0,890.0,1100.0,420.0,7370.0,52490.0,9800.0,114080.0
25,2017,6860.0,7070.0,35750.0,1170.0,1610.0,1020.0,10100.0,51750.0,7790.0,123120.0
1,2018,22860.0,9990.0,23300.0,560.0,910.0,580.0,6690.0,29880.0,5240.0,100010.0
2,2018,54510.0,22190.0,44410.0,3250.0,1830.0,1720.0,17620.0,45480.0,10730.0,201740.0
3,2018,84580.0,13600.0,39250.0,1060.0,1440.0,1390.0,12020.0,34880.0,8560.0,196780.0
4,2018,185180.0,41940.0,227220.0,18420.0,11840.0,8310.0,121530.0,174300.0,44420.0,833160.0
5,2018,3240.0,2840.0,6640.0,110.0,340.0,130.0,1300.0,16840.0,1590.0,33030.0
6,2018,65269.99999999999,25980.0,33080.0,440.0,1240.0,970.0,7880.0,36090.0,8130.000000000001,179080.0
7,2018,7290.0,5160.0,16680.0,280.0,820.0,250.0,3580.0,50410.0,4010.0,88480.0
8,2018,3920.0,2430.0,9330.0,160.0,480.0,140.0,1630.0,32620.0,1890.0,52600.0
9,2018,10470.0,18100.0,94690.0,1480.0,2090.0,5070.0,25240.0,64870.0,13700.0,235710.0
