ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
5221,mobility_prior,0.0,5202,Angers,0.5575257932156564,5204,Château-Gontier-sur-Mayenne,0.1597513345090085,5201,Ancenis,0.0632167565824624,0.9999999999999971,0.7804938843071295,True,pending,Segré-en-Anjou Bleu,14.285714285714285,87.14285714285714,0.6642857142857143
5301,mobility_prior,0.0,5318,Vannes,0.515205086374734,5309,Lorient,0.2869763787625499,5312,Pontivy-Loudéac,0.0745100701868354,0.9999999999999961,0.8766915353241227,True,pending,Auray,41.07142857142857,23.92857142857143,0.8785714285714286
5302,mobility_prior,0.0,5310,Morlaix,0.4093585218096875,5313,Quimper,0.2805305177845278,5303,Carhaix-Plouguer,0.0571947328835691,0.9999999999999933,0.7470837724777895,True,pending,Brest,83.92857142857143,19.28571428571429,0.5678571428571428
5303,mobility_prior,0.0,5313,Quimper,0.3104255591243491,5302,Brest,0.122158695475417,5312,Pontivy-Loudéac,0.1207799753066727,0.9999999999999971,0.5533642299064404,True,pending,Carhaix-Plouguer,15.714285714285714,74.64285714285714,0.14642857142857144
5304,mobility_prior,0.0,5317,Saint-Malo,0.400506564080083,5315,Rennes,0.2608566190080066,5307,Lamballe-Armor,0.16577729473674,0.9999999999999968,0.8271404778248322,True,pending,Dinan,51.42857142857142,68.57142857142857,0.7678571428571429
5305,mobility_prior,0.0,5315,Rennes,0.5726287263831128,2802,Avranches,0.1166393972800116,5319,Vitré,0.1152395738021501,0.9999999999999963,0.8045076974652775,True,pending,Fougères,35.0,20.714285714285715,0.7214285714285714
5306,mobility_prior,0.0,5316,Saint-Brieuc,0.4306634283613686,5308,Lannion,0.3251265780766905,5303,Carhaix-Plouguer,0.0717389109559789,0.9999999999999976,0.8275289173940401,True,pending,Guingamp,29.642857142857142,98.57142857142858,0.775
5307,mobility_prior,0.0,5316,Saint-Brieuc,0.5212516433236694,5304,Dinan,0.1698740793566691,5315,Rennes,0.1063492367646838,0.9999999999999968,0.7974749594450248,True,pending,Lamballe-Armor,13.214285714285715,94.64285714285714,0.6928571428571428
5308,mobility_prior,0.0,5306,Guingamp,0.3759628566157494,5316,Saint-Brieuc,0.2505261007391426,5310,Morlaix,0.1411174302118428,0.9999999999999962,0.7676063875667376,True,pending,Lannion,48.57142857142857,44.285714285714285,0.6107142857142858
5309,mobility_prior,0.0,5301,Auray,0.1819658650065969,5314,Quimperlé,0.1816332276812571,5318,Vannes,0.1518025796841388,0.9999999999999941,0.5154016723719957,True,pending,Lorient,89.28571428571429,3.571428571428571,0.09285714285714286
5310,mobility_prior,0.0,5302,Brest,0.683371387907941,5308,Lannion,0.057598401929053,5303,Carhaix-Plouguer,0.0570225915511023,0.9999999999999966,0.7979923813880991,True,pending,Morlaix,62.142857142857146,12.142857142857142,0.6964285714285714
5311,mobility_prior,0.0,5315,Rennes,0.3458963442410556,5318,Vannes,0.2538197128424491,5312,Pontivy-Loudéac,0.143300300899784,0.9999999999999971,0.7430163579832908,True,pending,Ploërmel,8.035714285714286,86.42857142857143,0.5607142857142857
5312,mobility_prior,0.0,5318,Vannes,0.2716777896481636,5309,Lorient,0.1844545506808772,5311,Ploërmel,0.1192336011004932,0.999999999999996,0.5753659414295363,True,pending,Pontivy-Loudéac,19.28571428571429,87.5,0.18214285714285713
5313,mobility_prior,0.0,5302,Brest,0.3173175571945938,5314,Quimperlé,0.1673894708204456,5303,Carhaix-Plouguer,0.1498230854028829,0.9999999999999936,0.6345301134179264,True,pending,Quimper,58.92857142857143,47.14285714285714,0.30714285714285716
5314,mobility_prior,0.0,5309,Lorient,0.485057944526875,5313,Quimper,0.3336773553043458,5303,Carhaix-Plouguer,0.0737319372242993,0.999999999999997,0.8924672370555227,True,pending,Quimperlé,28.92857142857143,56.07142857142857,0.9392857142857143
