ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
16,2011,15,3221.0,3221.0,3066.0,2779.0,2867.0,0.0505544683626875,0.06941053365887684,0,0,0,1,0,0,40386.0
17,2011,16,2670.0,2670.0,2661.0,2393.0,2562.0,0.0033821871476888,0.03864168618266972,0,0,0,1,0,0,29854.0
18,2011,17,555.0,555.0,525.0,521.0,462.0,0.0571428571428571,0.13636363636363646,0,0,0,1,0,0,6928.0
19,2011,18,3336.0,3336.0,3121.0,2955.0,2847.0,0.0688881768663889,0.09624165788549344,0,0,0,1,0,0,32799.0
20,2011,19,2850.0,2850.0,2770.0,2611.0,2772.0,0.0288808664259927,-0.0007215007215006786,0,0,0,1,0,0,34194.0
21,2011,20,1379.0,1379.0,1330.0,1274.0,1369.0,0.0368421052631578,-0.028487947406866332,0,0,0,1,0,0,16448.0
22,2011,21,1946.0,1946.0,1853.0,1633.0,1821.0,0.0501888828926065,0.0175727622185613,0,0,0,1,0,0,22344.0
23,2011,22,309.0,309.0,278.0,286.0,294.0,0.1115107913669064,-0.05442176870748294,0,0,0,1,0,0,4369.0
24,2011,23,1048.0,1048.0,930.0,964.0,1063.0,0.1268817204301075,-0.1251175917215428,0,0,0,1,0,0,11534.0
25,2011,24,1640.0,1640.0,1560.0,1347.0,1509.0,0.0512820512820512,0.03379721669980129,0,0,0,1,0,0,18945.0
26,2011,25,356.0,356.0,304.0,279.0,326.0,0.1710526315789473,-0.06748466257668717,0,0,0,1,0,0,5108.0
27,2011,26,2780.0,2780.0,2540.0,2327.0,2579.0,0.0944881889763779,-0.01512214036448234,0,0,0,1,0,0,32847.0
28,2011,27,790.0,790.0,796.0,738.0,795.0,-0.007537688442211,0.0012578616352201255,0,0,0,1,0,0,10829.0
29,2011,28,294.0,294.0,302.0,230.0,246.0,-0.0264900662251655,0.22764227642276413,0,0,0,1,0,0,4146.0
30,2011,29,894.0,894.0,937.0,815.0,923.0,-0.0458911419423692,0.015167930660888507,0,0,0,1,0,0,13178.0
31,2011,30,1405.0,1405.0,1258.0,1197.0,1335.0,0.1168521462639109,-0.0576779026217229,0,0,0,1,0,0,16592.0
32,2011,31,820.0,820.0,796.0,747.0,811.0,0.0301507537688442,-0.018495684340320562,0,0,0,1,0,0,9555.0
33,2011,32,1132.0,1132.0,1049.0,1016.0,1012.0,0.0791229742612011,0.03656126482213429,0,0,0,1,0,0,13791.0
34,2011,33,675.0,675.0,667.0,564.0,618.0,0.0119940029985007,0.07928802588996753,0,0,0,1,0,0,8459.0
35,2011,34,569.0,569.0,526.0,526.0,590.0,0.0817490494296578,-0.1084745762711864,0,0,0,1,0,0,9676.0
36,2011,35,1090.0,1090.0,1123.0,1034.0,1138.0,-0.0293855743544078,-0.013181019332161648,0,0,0,1,0,0,14289.0
37,2011,36,928.0,928.0,989.0,890.0,946.0,-0.0616784630940343,0.045454545454545414,0,0,0,1,0,0,12967.0
38,2011,37,2695.0,2695.0,2684.0,2351.0,2572.0,0.0040983606557377,0.043545878693623585,0,0,0,1,0,0,31493.0
39,2011,38,1366.0,1366.0,1373.0,1157.0,1417.0,-0.0050983248361252,-0.031051517290049402,0,0,0,1,0,0,19149.0
40,2011,39,212.0,212.0,183.0,180.0,216.0,0.1584699453551912,-0.1527777777777778,0,0,0,1,0,0,2691.0
41,2011,40,448.0,448.0,429.0,353.0,347.0,0.0442890442890442,0.2363112391930835,0,0,0,1,0,0,4939.0
42,2011,41,616.0,616.0,578.0,539.0,525.0,0.0657439446366782,0.1009523809523809,0,0,0,1,0,0,9118.0
1,2012,0,1329.0,1329.0,1374.0,1294.0,1246.0,-0.0327510917030567,0.10272873194221499,0,0,0,1,0,0,18535.0
2,2012,1,6511.0,6511.0,6685.0,6559.0,5859.0,-0.0260284218399401,0.14097968936678607,0,0,0,1,0,0,75495.0
3,2012,2,197.0,197.0,217.0,175.0,172.0,-0.0921658986175115,0.2616279069767442,0,0,0,1,0,0,2098.0
4,2012,3,409.0,409.0,394.0,364.0,335.0,0.0380710659898477,0.17611940298507456,0,0,0,1,0,0,5396.0
