ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
19,2010,27092.0,11675.0,42663.0,3634.0,4807.0,1210.0,20378.0,81149.0,7948.0,200556.0
20,2010,15077.0,5058.0,28030.0,3618.0,4847.0,429.0,18100.0,66679.0,5059.0,146897.0
21,2010,16926.0,5016.0,12864.0,202.0,1020.0,168.0,4979.0,21250.0,1543.0,63968.0
22,2010,25502.0,5636.0,28549.0,5025.0,1740.0,357.0,12296.0,34391.0,4853.0,118349.0
23,2010,1772.0,1578.0,3438.0,174.0,223.0,76.0,1166.0,8061.0,677.0,17165.0
24,2010,7483.0,3331.0,11772.0,1339.0,1115.0,450.0,5655.0,33186.0,2656.0,66987.0
25,2010,11041.0,5085.0,16579.0,2002.0,2600.0,433.0,10636.0,45856.0,3945.0,98177.0
26,2010,1606.0,2797.0,3331.0,412.0,216.0,42.0,1355.0,8438.0,584.0,18781.0
27,2010,19038.0,5809.0,28381.0,3136.0,3887.0,553.0,13950.0,41334.0,3725.0,119813.0
28,2010,4450.0,2284.0,11201.0,202.0,567.0,581.0,3743.0,14947.0,1502.0,39477.0
29,2010,1116.0,819.0,2415.0,17.0,159.0,26.0,553.0,6886.0,565.0,12556.0
30,2010,15077.0,4225.0,10310.0,1266.0,1104.0,222.0,7102.0,17923.0,1199.0,58428.0
31,2010,14023.0,7464.0,18761.0,443.0,1209.0,325.0,7270.0,24131.0,2226.0,75852.0
32,2010,6478.0,3006.0,8696.0,400.0,681.0,201.0,3621.0,19466.0,1319.0,43868.0
33,2010,10356.0,5520.0,8838.0,345.0,947.0,159.0,3815.0,16242.0,1056.0,47278.0
34,2010,2074.0,3097.0,5138.0,28.0,456.0,89.0,1453.0,15222.0,1024.0,28581.0
35,2010,13128.0,2930.0,4709.0,182.0,646.0,76.0,2138.0,6544.0,563.0,30916.0
36,2010,6617.0,4204.0,10877.0,147.0,735.0,121.0,4324.0,16726.0,1609.0,45360.0
37,2010,12406.0,3966.0,15215.0,392.0,1355.0,302.0,5649.0,30976.0,2944.0,73205.0
38,2010,38558.0,14079.0,31725.0,1203.0,2486.0,395.0,13694.0,44444.0,3914.0,150498.0
39,2010,13623.0,7367.0,16282.0,648.0,1267.0,283.0,5922.0,30908.0,3139.0,79439.0
40,2010,1900.0,677.0,1676.0,8.0,142.0,30.0,372.0,5052.0,374.0,10231.0
41,2010,1672.0,1331.0,3026.0,59.0,217.0,82.0,1237.0,5837.0,318.0,13779.0
42,2010,8383.0,2524.0,5755.0,243.0,598.0,73.0,2801.0,11492.0,1047.0,32916.0
1,2011,8874.0,4871.0,14911.0,631.0,1151.0,223.0,6574.0,25446.0,1766.0,64447.0
2,2011,54940.0,20060.0,103235.0,10213.0,13917.0,2312.0,61367.0,117636.0,13819.0,397499.0
3,2011,2186.0,455.0,4116.0,81.0,186.0,55.0,1444.0,8606.0,788.0,17917.0
4,2011,2953.0,1744.0,4242.0,27.0,263.0,60.0,1837.0,7441.0,649.0,19216.0
5,2011,8328.0,2933.0,5974.0,183.0,551.0,98.0,2817.0,11448.0,696.0,33028.0
6,2011,987.0,1071.0,2481.0,11.0,190.0,27.0,889.0,4971.0,334.0,10961.0
7,2011,14133.0,5131.0,23880.0,1321.0,1528.0,647.0,10093.0,42695.0,4071.0,103499.0
8,2011,29379.0,16640.0,119438.0,32657.0,63144.0,5311.0,95494.0,235892.0,34721.0,632676.0
9,2011,26104.0,8440.0,27550.0,1972.0,1916.0,929.0,13372.0,48080.0,3580.0,131943.0
10,2011,27458.0,8848.0,21830.0,1631.0,2207.0,455.0,12576.0,33874.0,3146.0,112025.0
11,2011,1786.0,1882.0,5241.0,75.0,401.0,126.0,1259.0,13110.0,1397.0,25277.0
12,2011,1828.0,1288.0,2550.0,42.0,252.0,26.0,1022.0,4137.0,329.0,11474.0
13,2011,4802.0,1658.0,3549.0,60.0,349.0,89.0,2382.0,7784.0,666.0,21339.0
14,2011,2089.0,941.0,4534.0,155.0,296.0,280.0,1306.0,7458.0,729.0,17788.0
15,2011,38205.0,12495.0,40597.0,5116.0,5981.0,1001.0,30639.0,82218.0,6918.0,223170.0
16,2011,21160.0,7717.0,83464.0,12902.0,3497.0,669.0,40110.0,43129.0,4746.0,217394.0
17,2011,30970.0,10115.0,32634.0,2922.0,2853.0,528.0,20944.0,57483.0,5269.0,163718.0
18,2011,4449.0,1955.0,4421.0,218.0,367.0,118.0,2769.0,11190.0,835.0,26322.0
19,2011,26958.0,11733.0,42787.0,3575.0,4714.0,1243.0,21361.0,79415.0,7618.0,199404.0
20,2011,14895.0,5115.0,27895.0,3656.0,4785.0,451.0,18716.0,66866.0,5077.0,147456.0
21,2011,17154.0,4964.0,12754.0,185.0,1040.0,165.0,6449.0,20782.0,1521.0,65014.0
22,2011,25650.0,5512.0,28635.0,4695.0,1670.0,370.0,12966.0,34831.0,4165.0,118494.0
23,2011,1811.0,1620.0,3486.0,156.0,253.0,80.0,1459.0,8333.0,674.0,17872.0
24,2011,7357.0,3493.0,11887.0,1324.0,1149.0,451.0,6295.0,32800.0,2687.0,67443.0
25,2011,11040.0,5257.0,16863.0,1886.0,2572.0,452.0,10987.0,44946.0,3938.0,97941.0
26,2011,1621.0,2905.0,3320.0,396.0,201.0,45.0,1629.0,8430.0,601.0,19148.0
27,2011,19649.0,5842.0,28237.0,3271.0,3898.0,567.0,15430.0,40397.0,3936.0,121227.0
28,2011,4363.0,2428.0,11158.0,182.0,565.0,568.0,4013.0,15048.0,1495.0,39820.0
29,2011,1177.0,819.0,2552.0,18.0,156.0,20.0,599.0,6917.0,554.0,12812.0
30,2011,15152.0,4166.0,10356.0,1265.0,1107.0,224.0,7576.0,18478.0,1192.0,59516.0
31,2011,13993.0,7761.0,19245.0,449.0,1187.0,296.0,8415.0,23231.0,2171.0,76748.0
32,2011,6325.0,3020.0,9040.0,375.0,688.0,231.0,4078.0,18740.0,1349.0,43846.0
33,2011,10864.0,5690.0,8838.0,342.0,931.0,166.0,4111.0,16360.0,1063.0,48365.0
34,2011,2061.0,3064.0,5344.0,31.0,460.0,78.0,1492.0,15034.0,1044.0,28608.0
35,2011,13265.0,3169.0,4529.0,207.0,655.0,85.0,2155.0,6508.0,529.0,31102.0
36,2011,6586.0,4162.0,11022.0,155.0,757.0,129.0,4939.0,16094.0,1967.0,45811.0
37,2011,12870.0,4067.0,14419.0,416.0,1387.0,315.0,5937.0,30679.0,2918.0,73008.0
38,2011,38600.0,14544.0,31420.0,1171.0,2365.0,419.0,14819.0,44626.0,3844.0,151808.0
39,2011,13839.0,7630.0,16446.0,601.0,1217.0,287.0,6275.0,30616.0,3136.0,80047.0
40,2011,1915.0,753.0,1647.0,9.0,144.0,33.0,510.0,4945.0,389.0,10345.0
41,2011,1621.0,1374.0,3129.0,37.0,218.0,100.0,1343.0,5733.0,343.0,13898.0
42,2011,8529.0,2544.0,5868.0,260.0,602.0,74.0,2782.0,11596.0,990.0,33245.0
1,2012,8835.0,4870.0,14429.0,585.0,1186.0,231.0,7091.0,26392.0,1740.0,65359.0
2,2012,53059.0,19963.0,101803.0,10221.0,14879.0,2271.0,63911.0,117858.0,13725.0,397690.0
3,2012,2055.0,429.0,3986.0,81.0,183.0,49.0,1420.0,8445.0,797.0,17445.0
4,2012,2630.0,1664.0,4120.0,31.0,272.0,59.0,1875.0,7856.0,630.0,19137.0
5,2012,8205.0,2974.0,5738.0,172.0,540.0,99.0,2997.0,11604.0,720.0,33049.0
6,2012,1008.0,1013.0,2437.0,6.0,181.0,30.0,811.0,5015.0,318.0,10819.0
7,2012,13690.0,5062.0,23707.0,1460.0,1520.0,689.0,10549.0,43097.0,3983.0,103757.0
8,2012,29160.0,16405.0,116270.0,31621.0,60468.0,5643.0,95318.0,236738.0,34839.0,626462.0
9,2012,24358.0,8686.0,27264.0,1993.0,1993.0,935.0,13964.0,48204.0,3517.0,130914.0
10,2012,26108.0,8832.0,22112.0,1578.0,2274.0,453.0,12811.0,33881.0,3219.0,111268.0
11,2012,1731.0,1943.0,4966.0,76.0,385.0,138.0,1345.0,13179.0,1449.0,25212.0
12,2012,1887.0,1295.0,2476.0,45.0,249.0,13.0,1068.0,4188.0,341.0,11562.0
13,2012,4927.0,1646.0,3454.0,89.0,375.0,83.0,2589.0,7821.0,648.0,21632.0
14,2012,1987.0,940.0,4514.0,71.0,300.0,281.0,1446.0,7300.0,722.0,17561.0
15,2012,38409.0,12252.0,41099.0,5285.0,6142.0,1049.0,30905.0,81371.0,6786.0,223298.0
16,2012,20430.0,7782.0,84125.0,13114.0,3635.0,657.0,39098.0,42924.0,4884.0,216649.0
17,2012,31517.0,9648.0,33026.0,2906.0,2953.0,536.0,20515.0,57539.0,5352.0,163992.0
18,2012,4557.0,2032.0,4322.0,234.0,275.0,121.0,3080.0,11221.0,884.0,26726.0
19,2012,26353.0,11746.0,41704.0,3632.0,4620.0,1307.0,21960.0,79516.0,7624.0,198462.0
20,2012,14197.0,5063.0,27641.0,4168.0,4737.0,490.0,19890.0,68151.0,5171.0,149508.0
21,2012,16840.0,4963.0,12471.0,224.0,1047.0,171.0,6631.0,20885.0,1553.0,64785.0
22,2012,25084.0,5776.0,28143.0,3991.0,1717.0,364.0,13321.0,35252.0,4797.0,118445.0
23,2012,1767.0,1609.0,3470.0,122.0,247.0,92.0,1398.0,8400.0,668.0,17773.0
24,2012,7191.0,3194.0,11852.0,1330.0,1104.0,468.0,6663.0,33403.0,2594.0,67799.0
25,2012,10571.0,5127.0,16551.0,1812.0,2403.0,455.0,10833.0,44510.0,4015.0,96277.0
26,2012,1644.0,2941.0,3306.0,348.0,214.0,52.0,1409.0,8581.0,599.0,19094.0
27,2012,19808.0,5931.0,27785.0,3328.0,3823.0,675.0,15440.0,40313.0,3958.0,121061.0
28,2012,4427.0,2417.0,11227.0,146.0,546.0,553.0,3998.0,15314.0,1521.0,40149.0
29,2012,1193.0,824.0,2489.0,17.0,154.0,23.0,620.0,6742.0,540.0,12602.0
30,2012,14802.0,4046.0,10301.0,1229.0,1228.0,230.0,8041.0,18591.0,1220.0,59688.0
31,2012,13730.0,7529.0,19246.0,587.0,1178.0,289.0,8696.0,23277.0,2284.0,76816.0
32,2012,5954.0,2958.0,8778.0,381.0,646.0,192.0,4409.0,18787.0,1346.0,43451.0
33,2012,11031.0,5626.0,8563.0,318.0,971.0,173.0,4565.0,16701.0,1093.0,49041.0
34,2012,2044.0,3001.0,5147.0,27.0,458.0,96.0,1616.0,14983.0,998.0,28370.0
35,2012,13045.0,3099.0,4355.0,227.0,692.0,89.0,3011.0,6527.0,520.0,31565.0
36,2012,6201.0,4094.0,10966.0,174.0,755.0,137.0,5382.0,16393.0,1470.0,45572.0
