zone_id,target_year,a10,jobs,jobs_suppressed
CR03,2013,RSU,4.7,0
CR03,2014,A,1.0,0
CR03,2014,BE,16.7,0
CR03,2014,FZ,5.6,0
CR03,2014,GI,35.4,0
CR03,2014,JZ,6.7,0
CR03,2014,KZ,3.9,0
CR03,2014,LZ,1.4,0
CR03,2014,MN,31.0,0
CR03,2014,OPQ,71.3,0
CR03,2014,RSU,4.9,0
CR03,2015,A,1.1,0
CR03,2015,BE,16.3,0
CR03,2015,FZ,5.7,0
CR03,2015,GI,36.3,0
CR03,2015,JZ,7.0,0
CR03,2015,KZ,4.4,0
CR03,2015,LZ,1.4,0
CR03,2015,MN,36.0,0
CR03,2015,OPQ,72.7,0
CR03,2015,RSU,5.0,0
CR03,2016,A,1.1,0
CR03,2016,BE,15.7,0
CR03,2016,FZ,5.6,0
CR03,2016,GI,36.9,0
CR03,2016,JZ,7.4,0
CR03,2016,KZ,4.4,0
CR03,2016,LZ,1.5,0
CR03,2016,MN,37.2,0
CR03,2016,OPQ,75.7,0
CR03,2016,RSU,5.0,0
CR03,2017,A,1.1,0
CR03,2017,BE,15.5,0
CR03,2017,FZ,5.7,0
CR03,2017,GI,37.5,0
CR03,2017,JZ,7.5,0
CR03,2017,KZ,3.7,0
CR03,2017,LZ,1.5,0
CR03,2017,MN,42.0,0
CR03,2017,OPQ,79.1,0
CR03,2017,RSU,5.1,0
CR03,2018,A,1.3,0
CR03,2018,BE,15.8,0
CR03,2018,FZ,6.2,0
CR03,2018,GI,40.8,0
CR03,2018,JZ,7.2,0
CR03,2018,KZ,3.5,0
CR03,2018,LZ,1.6,0
CR03,2018,MN,40.3,0
CR03,2018,OPQ,81.9,0
CR03,2018,RSU,5.7,0
CR03,2019,A,1.3,0
CR03,2019,BE,15.8,0
CR03,2019,FZ,6.4,0
CR03,2019,GI,41.2,0
CR03,2019,JZ,7.4,0
CR03,2019,KZ,3.8,0
CR03,2019,LZ,1.6,0
CR03,2019,MN,38.5,0
CR03,2019,OPQ,84.5,0
CR03,2019,RSU,5.2,0
CR03,2020,A,1.4,0
CR03,2020,BE,16.1,0
CR03,2020,FZ,6.6,0
CR03,2020,GI,38.9,0
CR03,2020,JZ,7.2,0
CR03,2020,KZ,4.0,0
CR03,2020,LZ,1.7,0
CR03,2020,MN,35.2,0
CR03,2020,OPQ,87.3,0
CR03,2020,RSU,4.8,0
CR03,2021,A,1.5,0
CR03,2021,BE,15.6,0
CR03,2021,FZ,6.9,0
CR03,2021,GI,41.3,0
CR03,2021,JZ,7.6,0
CR03,2021,KZ,4.2,0
CR03,2021,LZ,1.7,0
CR03,2021,MN,37.7,0
CR03,2021,OPQ,90.2,0
CR03,2021,RSU,5.0,0
CR03,2022,A,1.4,0
CR03,2022,BE,16.0,0
CR03,2022,FZ,6.6,0
CR03,2022,GI,43.9,0
CR03,2022,JZ,7.9,0
CR03,2022,KZ,4.2,0
CR03,2022,LZ,1.8,0
CR03,2022,MN,37.3,0
CR03,2022,OPQ,92.0,0
CR03,2022,RSU,5.3,0
CR03,2023,A,1.4,0
CR03,2023,BE,16.2,0
CR03,2023,FZ,6.9,0
CR03,2023,GI,44.5,0
CR03,2023,JZ,7.9,0
