zone_id,target_year,stock
CR27,2025,35240.0
CR28,2015,30755.0
CR28,2016,32095.0
CR28,2017,33080.0
CR28,2018,34745.0
CR28,2019,36420.0
CR28,2020,38195.0
CR28,2021,39485.0
CR28,2022,42345.0
CR28,2023,43820.0
CR28,2024,46450.0
CR28,2025,47285.0
CR29,2015,123870.0
CR29,2016,129490.0
CR29,2017,133705.0
CR29,2018,141185.0
CR29,2019,149795.0
CR29,2020,160490.0
CR29,2021,169145.0
CR29,2022,185720.0
CR29,2023,196020.0
CR29,2024,211940.0
CR29,2025,215970.0
CR30,2015,34565.0
CR30,2016,35935.0
CR30,2017,36680.0
CR30,2018,38170.0
CR30,2019,36420.0
CR30,2020,38300.0
CR30,2021,39670.0
CR30,2022,42965.0
CR30,2023,44810.0
CR30,2024,48095.0
CR30,2025,48865.0
CR31,2015,9095.0
CR31,2016,9445.0
CR31,2017,9655.0
CR31,2018,9895.0
CR31,2019,10155.0
CR31,2020,10410.0
CR31,2021,10675.0
CR31,2022,11390.0
CR31,2023,11635.0
CR31,2024,12115.0
CR31,2025,12225.0
CR32,2015,25805.0
CR32,2016,26700.0
CR32,2017,27335.0
CR32,2018,28355.0
CR32,2019,29700.0
CR32,2020,30930.0
CR32,2021,32130.0
CR32,2022,34410.0
CR32,2023,35615.0
CR32,2024,37565.0
CR32,2025,38055.0
CR33,2015,60050.0
CR33,2016,61945.0
CR33,2017,63355.0
CR33,2018,65985.0
CR33,2019,68475.0
CR33,2020,71660.0
CR33,2021,73965.0
CR33,2022,80070.0
CR33,2023,82535.0
CR33,2024,87420.0
CR33,2025,88860.0
CR34,2015,44565.0
CR34,2016,45830.0
CR34,2017,47000.0
CR34,2018,49010.0
CR34,2019,51320.0
CR34,2020,53810.0
CR34,2021,56875.0
CR34,2022,61635.0
CR34,2023,63530.0
CR34,2024,67020.0
CR34,2025,68555.0
CR35,2015,66555.0
CR35,2016,69315.0
CR35,2017,71535.0
CR35,2018,74300.0
CR35,2019,77345.0
CR35,2020,80920.0
CR35,2021,82685.0
CR35,2022,89250.0
CR35,2023,92090.0
CR35,2024,97565.0
CR35,2025,99340.0
CR36,2015,73650.0
CR36,2016,76425.0
CR36,2017,78725.0
CR36,2018,82080.0
CR36,2019,85440.0
CR36,2020,89360.0
CR36,2021,92210.0
CR36,2022,99610.0
CR36,2023,102295.0
CR36,2024,107780.0
CR36,2025,109670.0
CR37,2015,23625.0
CR37,2016,24345.0
CR37,2017,24860.0
CR37,2018,25810.0
CR37,2019,26815.0
CR37,2020,27870.0
CR37,2021,28675.0
CR37,2022,31025.0
CR37,2023,32025.0
CR37,2024,33705.0
CR37,2025,34430.0
CR38,2015,21230.0
CR38,2016,21980.0
CR38,2017,22590.0
CR38,2018,23485.0
CR38,2019,24285.0
CR38,2020,25130.0
CR38,2021,25985.0
CR38,2022,27835.0
CR38,2023,28555.0
CR38,2024,30165.0
CR38,2025,30765.0
CR39,2015,46280.0
CR39,2016,47950.0
CR39,2017,49400.0
CR39,2018,51090.0
CR39,2019,52770.0
CR39,2020,54285.0
CR39,2021,55675.0
CR39,2022,59420.0
CR39,2023,60665.0
CR39,2024,63835.0
CR39,2025,64645.0
CR40,2015,37165.0
CR40,2016,38670.0
CR40,2017,39845.0
CR40,2018,41820.0
CR40,2019,44020.0
CR40,2020,46955.0
CR40,2021,49240.0
CR40,2022,53915.0
CR40,2023,56745.0
CR40,2024,61290.0
CR40,2025,62990.0
