ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,OprichtingenVanVestigingen_1
862,T001081,CR22  ,2014JJ00,
863,T001081,CR22  ,2015JJ00,1455.0
864,T001081,CR22  ,2016JJ00,1705.0
865,T001081,CR22  ,2017JJ00,1635.0
866,T001081,CR22  ,2018JJ00,1885.0
867,T001081,CR22  ,2019JJ00,2220.0
868,T001081,CR22  ,2020JJ00,2170.0
869,T001081,CR22  ,2021JJ00,2460.0
870,T001081,CR22  ,2022JJ00,2825.0
871,T001081,CR22  ,2023JJ00,2870.0
872,T001081,CR22  ,2024JJ00,2655.0
873,T001081,CR22  ,2025JJ00,2350.0
874,T001081,CR23  ,2007JJ00,
875,T001081,CR23  ,2008JJ00,
876,T001081,CR23  ,2009JJ00,
877,T001081,CR23  ,2010JJ00,
878,T001081,CR23  ,2011JJ00,
879,T001081,CR23  ,2012JJ00,
880,T001081,CR23  ,2013JJ00,
881,T001081,CR23  ,2014JJ00,
882,T001081,CR23  ,2015JJ00,21365.0
883,T001081,CR23  ,2016JJ00,23355.0
884,T001081,CR23  ,2017JJ00,23720.0
885,T001081,CR23  ,2018JJ00,25410.0
886,T001081,CR23  ,2019JJ00,29420.0
887,T001081,CR23  ,2020JJ00,27680.0
888,T001081,CR23  ,2021JJ00,30645.0
889,T001081,CR23  ,2022JJ00,32080.0
890,T001081,CR23  ,2023JJ00,33880.0
891,T001081,CR23  ,2024JJ00,31550.0
892,T001081,CR23  ,2025JJ00,27585.0
893,T001081,CR24  ,2007JJ00,
894,T001081,CR24  ,2008JJ00,
895,T001081,CR24  ,2009JJ00,
896,T001081,CR24  ,2010JJ00,
897,T001081,CR24  ,2011JJ00,
898,T001081,CR24  ,2012JJ00,
899,T001081,CR24  ,2013JJ00,
900,T001081,CR24  ,2014JJ00,
901,T001081,CR24  ,2015JJ00,3120.0
902,T001081,CR24  ,2016JJ00,3165.0
903,T001081,CR24  ,2017JJ00,3300.0
904,T001081,CR24  ,2018JJ00,3415.0
905,T001081,CR24  ,2019JJ00,3825.0
906,T001081,CR24  ,2020JJ00,3735.0
907,T001081,CR24  ,2021JJ00,4090.0
908,T001081,CR24  ,2022JJ00,4255.0
909,T001081,CR24  ,2023JJ00,3920.0
910,T001081,CR24  ,2024JJ00,3760.0
911,T001081,CR24  ,2025JJ00,3250.0
912,T001081,CR25  ,2007JJ00,
913,T001081,CR25  ,2008JJ00,
914,T001081,CR25  ,2009JJ00,
915,T001081,CR25  ,2010JJ00,
916,T001081,CR25  ,2011JJ00,
917,T001081,CR25  ,2012JJ00,
918,T001081,CR25  ,2013JJ00,
919,T001081,CR25  ,2014JJ00,
920,T001081,CR25  ,2015JJ00,3850.0
921,T001081,CR25  ,2016JJ00,3955.0
922,T001081,CR25  ,2017JJ00,4010.0
923,T001081,CR25  ,2018JJ00,4290.0
924,T001081,CR25  ,2019JJ00,4825.0
925,T001081,CR25  ,2020JJ00,4800.0
926,T001081,CR25  ,2021JJ00,5175.0
927,T001081,CR25  ,2022JJ00,5215.0
928,T001081,CR25  ,2023JJ00,5555.0
929,T001081,CR25  ,2024JJ00,5100.0
930,T001081,CR25  ,2025JJ00,4440.0
931,T001081,CR26  ,2007JJ00,
932,T001081,CR26  ,2008JJ00,
933,T001081,CR26  ,2009JJ00,
934,T001081,CR26  ,2010JJ00,
935,T001081,CR26  ,2011JJ00,
936,T001081,CR26  ,2012JJ00,
937,T001081,CR26  ,2013JJ00,
938,T001081,CR26  ,2014JJ00,
939,T001081,CR26  ,2015JJ00,9880.0
940,T001081,CR26  ,2016JJ00,10720.0
941,T001081,CR26  ,2017JJ00,11315.0
942,T001081,CR26  ,2018JJ00,13240.0
943,T001081,CR26  ,2019JJ00,14920.0
944,T001081,CR26  ,2020JJ00,14520.0
945,T001081,CR26  ,2021JJ00,16270.0
946,T001081,CR26  ,2022JJ00,18125.0
947,T001081,CR26  ,2023JJ00,18730.0
948,T001081,CR26  ,2024JJ00,16175.0
949,T001081,CR26  ,2025JJ00,13235.0
950,T001081,CR27  ,2007JJ00,
951,T001081,CR27  ,2008JJ00,
952,T001081,CR27  ,2009JJ00,
953,T001081,CR27  ,2010JJ00,
954,T001081,CR27  ,2011JJ00,
955,T001081,CR27  ,2012JJ00,
956,T001081,CR27  ,2013JJ00,
957,T001081,CR27  ,2014JJ00,
958,T001081,CR27  ,2015JJ00,2140.0
959,T001081,CR27  ,2016JJ00,2280.0
960,T001081,CR27  ,2017JJ00,2280.0
961,T001081,CR27  ,2018JJ00,2565.0
962,T001081,CR27  ,2019JJ00,2920.0
963,T001081,CR27  ,2020JJ00,2945.0
964,T001081,CR27  ,2021JJ00,3235.0
965,T001081,CR27  ,2022JJ00,3370.0
966,T001081,CR27  ,2023JJ00,3575.0
967,T001081,CR27  ,2024JJ00,3215.0
968,T001081,CR27  ,2025JJ00,2710.0
969,T001081,CR28  ,2007JJ00,
970,T001081,CR28  ,2008JJ00,
971,T001081,CR28  ,2009JJ00,
972,T001081,CR28  ,2010JJ00,
973,T001081,CR28  ,2011JJ00,
974,T001081,CR28  ,2012JJ00,
975,T001081,CR28  ,2013JJ00,
976,T001081,CR28  ,2014JJ00,
977,T001081,CR28  ,2015JJ00,2885.0
978,T001081,CR28  ,2016JJ00,2950.0
979,T001081,CR28  ,2017JJ00,2935.0
980,T001081,CR28  ,2018JJ00,3235.0
981,T001081,CR28  ,2019JJ00,3435.0
982,T001081,CR28  ,2020JJ00,3545.0
983,T001081,CR28  ,2021JJ00,3960.0
984,T001081,CR28  ,2022JJ00,4085.0
985,T001081,CR28  ,2023JJ00,4240.0
986,T001081,CR28  ,2024JJ00,3950.0
987,T001081,CR28  ,2025JJ00,3415.0
988,T001081,CR29  ,2007JJ00,
989,T001081,CR29  ,2008JJ00,
990,T001081,CR29  ,2009JJ00,
991,T001081,CR29  ,2010JJ00,
992,T001081,CR29  ,2011JJ00,
993,T001081,CR29  ,2012JJ00,
994,T001081,CR29  ,2013JJ00,
995,T001081,CR29  ,2014JJ00,
996,T001081,CR29  ,2015JJ00,13805.0
997,T001081,CR29  ,2016JJ00,14510.0
998,T001081,CR29  ,2017JJ00,14900.0
999,T001081,CR29  ,2018JJ00,17210.0
1000,T001081,CR29  ,2019JJ00,20045.0
1001,T001081,CR29  ,2020JJ00,20330.0
1002,T001081,CR29  ,2021JJ00,22795.0
1003,T001081,CR29  ,2022JJ00,24670.0
1004,T001081,CR29  ,2023JJ00,26325.0
1005,T001081,CR29  ,2024JJ00,22515.0
1006,T001081,CR29  ,2025JJ00,18550.0
1007,T001081,CR30  ,2007JJ00,
1008,T001081,CR30  ,2008JJ00,
1009,T001081,CR30  ,2009JJ00,
1010,T001081,CR30  ,2010JJ00,
1011,T001081,CR30  ,2011JJ00,
1012,T001081,CR30  ,2012JJ00,
1013,T001081,CR30  ,2013JJ00,
1014,T001081,CR30  ,2014JJ00,
1015,T001081,CR30  ,2015JJ00,3400.0
1016,T001081,CR30  ,2016JJ00,3340.0
1017,T001081,CR30  ,2017JJ00,3290.0
1018,T001081,CR30  ,2018JJ00,3655.0
1019,T001081,CR30  ,2019JJ00,3835.0
1020,T001081,CR30  ,2020JJ00,3940.0
1021,T001081,CR30  ,2021JJ00,4385.0
1022,T001081,CR30  ,2022JJ00,4685.0
1023,T001081,CR30  ,2023JJ00,5070.0
1024,T001081,CR30  ,2024JJ00,4295.0
1025,T001081,CR30  ,2025JJ00,3795.0
1026,T001081,CR31  ,2007JJ00,
1027,T001081,CR31  ,2008JJ00,
1028,T001081,CR31  ,2009JJ00,
1029,T001081,CR31  ,2010JJ00,
1030,T001081,CR31  ,2011JJ00,
1031,T001081,CR31  ,2012JJ00,
1032,T001081,CR31  ,2013JJ00,
1033,T001081,CR31  ,2014JJ00,
1034,T001081,CR31  ,2015JJ00,800.0
1035,T001081,CR31  ,2016JJ00,725.0
1036,T001081,CR31  ,2017JJ00,675.0
1037,T001081,CR31  ,2018JJ00,750.0
1038,T001081,CR31  ,2019JJ00,805.0
1039,T001081,CR31  ,2020JJ00,870.0
1040,T001081,CR31  ,2021JJ00,975.0
1041,T001081,CR31  ,2022JJ00,935.0
1042,T001081,CR31  ,2023JJ00,980.0
1043,T001081,CR31  ,2024JJ00,895.0
1044,T001081,CR31  ,2025JJ00,870.0
1045,T001081,CR32  ,2007JJ00,
1046,T001081,CR32  ,2008JJ00,
1047,T001081,CR32  ,2009JJ00,
1048,T001081,CR32  ,2010JJ00,
1049,T001081,CR32  ,2011JJ00,
1050,T001081,CR32  ,2012JJ00,
1051,T001081,CR32  ,2013JJ00,
1052,T001081,CR32  ,2014JJ00,
1053,T001081,CR32  ,2015JJ00,2135.0
1054,T001081,CR32  ,2016JJ00,2140.0
1055,T001081,CR32  ,2017JJ00,2180.0
1056,T001081,CR32  ,2018JJ00,2410.0
1057,T001081,CR32  ,2019JJ00,2690.0
1058,T001081,CR32  ,2020JJ00,2785.0
1059,T001081,CR32  ,2021JJ00,2995.0
1060,T001081,CR32  ,2022JJ00,3015.0
1061,T001081,CR32  ,2023JJ00,3225.0
1062,T001081,CR32  ,2024JJ00,2840.0
1063,T001081,CR32  ,2025JJ00,2560.0
1064,T001081,CR33  ,2007JJ00,
1065,T001081,CR33  ,2008JJ00,
1066,T001081,CR33  ,2009JJ00,
1067,T001081,CR33  ,2010JJ00,
1068,T001081,CR33  ,2011JJ00,
1069,T001081,CR33  ,2012JJ00,
1070,T001081,CR33  ,2013JJ00,
1071,T001081,CR33  ,2014JJ00,
1072,T001081,CR33  ,2015JJ00,5635.0
