ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
532,T001081,CR15  ,2017JJ00,332.5
533,T001081,CR15  ,2018JJ00,343.0
534,T001081,CR15  ,2019JJ00,349.1
535,T001081,CR15  ,2020JJ00,343.8
536,T001081,CR15  ,2021JJ00,358.1
537,T001081,CR15  ,2022JJ00,369.2
538,T001081,CR15  ,2023JJ00,368.6
539,T001081,CR15  ,2024JJ00,373.6
540,T001081,CR16  ,2010JJ00,100.3
541,T001081,CR16  ,2011JJ00,101.5
542,T001081,CR16  ,2012JJ00,98.9
543,T001081,CR16  ,2013JJ00,98.8
544,T001081,CR16  ,2014JJ00,100.5
545,T001081,CR16  ,2015JJ00,100.3
546,T001081,CR16  ,2016JJ00,101.3
547,T001081,CR16  ,2017JJ00,104.4
548,T001081,CR16  ,2018JJ00,108.2
549,T001081,CR16  ,2019JJ00,110.8
550,T001081,CR16  ,2020JJ00,111.0
551,T001081,CR16  ,2021JJ00,113.7
552,T001081,CR16  ,2022JJ00,116.7
553,T001081,CR16  ,2023JJ00,117.7
554,T001081,CR16  ,2024JJ00,117.9
555,T001081,CR17  ,2010JJ00,666.0
556,T001081,CR17  ,2011JJ00,674.2
557,T001081,CR17  ,2012JJ00,666.6
558,T001081,CR17  ,2013JJ00,658.9
559,T001081,CR17  ,2014JJ00,662.1
560,T001081,CR17  ,2015JJ00,666.3
561,T001081,CR17  ,2016JJ00,675.9
562,T001081,CR17  ,2017JJ00,706.7
563,T001081,CR17  ,2018JJ00,725.5
564,T001081,CR17  ,2019JJ00,750.7
565,T001081,CR17  ,2020JJ00,752.7
566,T001081,CR17  ,2021JJ00,778.1
567,T001081,CR17  ,2022JJ00,802.9
568,T001081,CR17  ,2023JJ00,820.0
569,T001081,CR17  ,2024JJ00,835.8
570,T001081,CR18  ,2010JJ00,140.9
571,T001081,CR18  ,2011JJ00,144.6
572,T001081,CR18  ,2012JJ00,141.5
573,T001081,CR18  ,2013JJ00,138.5
574,T001081,CR18  ,2014JJ00,139.1
575,T001081,CR18  ,2015JJ00,140.9
576,T001081,CR18  ,2016JJ00,142.2
577,T001081,CR18  ,2017JJ00,144.6
578,T001081,CR18  ,2018JJ00,147.8
