task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted,promoted_without_2020
7,PT,main,2006,2011,RU,JZ,321,-0.0071135308237776545,5.011323911663368e-05,0.917,0.52,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1436.491,0.9689056603773586,False,False
7,PT,main,2006,2011,RU,LZ,358,-0.017964311308214076,0.0003224541702069317,0.753,0.624,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1436.491,0.8971914893617021,False,False
7,PT,main,2006,2011,RU,MN,544,0.01705973693025964,0.0002904246192592108,0.704,0.558,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1436.491,0.8760888888888889,False,False
7,PT,main,2006,2011,RU,OQ,544,-0.02377016882585615,0.0005650209020660046,0.702,0.686,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1436.491,0.8760888888888889,False,False
8,PT,main,2007,2012,BE,FZ,766,0.07895623293118398,0.006218141510164976,0.035,0.944,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.584,False,False
8,PT,main,2007,2012,BE,GI,780,-0.01822116592246456,0.0003290968541432848,0.624,0.7,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.896,False,False
8,PT,main,2007,2012,BE,JZ,464,0.008524384561455933,7.252028166382374e-05,0.864,0.618,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.9574901960784313,False,False
8,PT,main,2007,2012,BE,LZ,520,0.08448532444293944,0.0071100467804929846,0.067,0.88,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.584,False,False
8,PT,main,2007,2012,BE,MN,780,0.04348513239176224,0.001887405069253889,0.192,0.884,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.7435555555555555,False,False
8,PT,main,2007,2012,BE,OQ,780,0.06807124331755118,0.00462573127484367,0.065,0.932,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.584,False,False
8,PT,main,2007,2012,BE,RU,747,-0.03824548754054968,0.0014594812577278793,0.344,0.806,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1906.665,0.8026666666666666,False,False
9,PT,main,2007,2012,FZ,BE,736,-0.0066512595908397865,4.413475967524061e-05,0.855,0.588,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.9574901960784313,False,False
9,PT,main,2007,2012,FZ,GI,824,0.0509850165834429,0.0025987576356311104,0.139,0.908,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.7435555555555555,False,False
9,PT,main,2007,2012,FZ,JZ,472,0.007973330050198013,6.321788170282616e-05,0.872,0.6,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.9574901960784313,False,False
9,PT,main,2007,2012,FZ,LZ,530,-0.00011429038301669081,1.3050742042608476e-08,0.998,0.5,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.998,False,False
9,PT,main,2007,2012,FZ,MN,824,-0.04575381810910424,0.0020905777426861727,0.202,0.908,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.7435555555555555,False,False
9,PT,main,2007,2012,FZ,OQ,824,0.004654640512992803,2.1660398715983575e-05,0.894,0.486,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.9627692307692308,False,False
9,PT,main,2007,2012,FZ,RU,783,-0.08774856694203825,0.007698614640418877,0.026,0.954,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1872.794,0.584,False,False
10,PT,main,2007,2012,GI,BE,743,0.0652860080147489,0.00421103370547804,0.073,0.918,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.584,False,False
10,PT,main,2007,2012,GI,FZ,813,-0.010295212156167466,0.00010570382251173793,0.775,0.584,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.9574901960784313,False,False
10,PT,main,2007,2012,GI,JZ,472,-0.020452702592035577,0.00041672402658765595,0.722,0.676,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.9574901960784313,False,False
10,PT,main,2007,2012,GI,LZ,530,-0.028780732053717062,0.0008231513303706972,0.538,0.72,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.8445405405405406,False,False
10,PT,main,2007,2012,GI,MN,834,0.0028435416736817265,8.085628267262557e-06,0.949,0.486,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.9934814814814814,False,False
10,PT,main,2007,2012,GI,OQ,834,0.06155584059683883,0.0037859381899983946,0.116,0.93,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.7217777777777779,False,False
10,PT,main,2007,2012,GI,RU,790,-0.009838501019637735,9.626744199375814e-05,0.809,0.588,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode35,1631.27,0.9574901960784313,False,False
11,PT,main,2007,2012,JZ,BE,552,0.04237825895518299,0.0017936837395526872,0.268,0.834,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.7812000000000001,False,False
11,PT,main,2007,2012,JZ,FZ,582,0.034024607946815555,0.0011560994348756015,0.439,0.686,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.8445405405405406,False,False
11,PT,main,2007,2012,JZ,GI,583,0.039746668909758975,0.0015569528259692378,0.343,0.826,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.8026666666666666,False,False
11,PT,main,2007,2012,JZ,LZ,467,-0.008070594243511309,6.51008770847783e-05,0.872,0.544,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.9574901960784313,False,False
11,PT,main,2007,2012,JZ,MN,583,0.02863286689567346,0.0008197910403656694,0.553,0.736,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.8445405405405406,False,False
11,PT,main,2007,2012,JZ,OQ,583,-0.009286682221844311,8.624188392547527e-05,0.821,0.57,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.9574901960784313,False,False
11,PT,main,2007,2012,JZ,RU,578,0.0012081177595292814,1.4583630462139396e-06,0.98,0.488,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1720.932,0.9978181818181817,False,False
12,PT,main,2007,2012,LZ,BE,592,-0.02747325247804,0.00075096662482943,0.556,0.66,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.8445405405405406,False,False
12,PT,main,2007,2012,LZ,FZ,633,-0.0706635588350773,0.004956230529582273,0.105,0.964,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.7217777777777779,False,False
12,PT,main,2007,2012,LZ,GI,635,-0.02617577270471433,0.0006829223053208544,0.558,0.762,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.8445405405405406,False,False
12,PT,main,2007,2012,LZ,JZ,440,0.008916770313369793,7.946898214905573e-05,0.87,0.558,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.9574901960784313,False,False
12,PT,main,2007,2012,LZ,MN,635,-0.08667597687388837,0.007482219183220118,0.048,0.95,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.584,False,False
12,PT,main,2007,2012,LZ,OQ,635,-0.0687304515258087,0.0046899846421114555,0.168,0.952,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.7435555555555555,False,False
12,PT,main,2007,2012,LZ,RU,623,0.040679852564438186,0.0016544277172737543,0.368,0.764,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1821.494,0.82432,False,False
13,PT,main,2007,2012,MN,BE,743,0.028020795922929664,0.0007810985757468192,0.454,0.762,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1696.76,0.8445405405405406,False,False
13,PT,main,2007,2012,MN,FZ,813,-0.024600187552087066,0.0006042001400488051,0.491,0.786,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1696.76,0.8445405405405406,False,False
13,PT,main,2007,2012,MN,GI,834,-0.0351825014611411,0.001237792950077643,0.315,0.824,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1696.76,0.8018181818181819,False,False
13,PT,main,2007,2012,MN,JZ,472,0.03285730618691807,0.0010737473073696435,0.506,0.756,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1696.76,0.8445405405405406,False,False
13,PT,main,2007,2012,MN,LZ,530,0.044957932404791234,0.0020210460293254018,0.31,0.814,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode36,1696.76,0.8018181818181819,False,False
