source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112548515,0.55756795,0.0633894,0.15523933,0.040103495,0.020698577,0.0,0.03234153,0.0,0.0,0.0,0.0,0.0,0.012936611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051746443
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026196638,0.023285897,0.8745149,0.01972833,0.023285897,0.0061448896,0.0,0.01358344,0.0,0.0,0.0,0.0,0.0,0.010025873,0.0,0.0,0.0,0.0,0.0,0.0032341527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044893045,0.020789396,0.0,0.689063,0.012654415,0.042181384,0.0,0.14010245,0.0,0.0,0.0,0.0,0.0,0.022295875,0.0072310944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020789396
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676027,0.028081125,0.052522104,0.061362453,0.71450853,0.10140405,0.0,0.020280812,0.0,0.0,0.0,0.0,0.0,0.010400415,0.0,0.0,0.0,0.0,0.0,0.004680187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060366705,0.033286314,0.74809587,0.022284904,0.050493646,0.0,0.0,0.0,0.0,0.0,0.01974612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044287723,0.01184767,0.009590972,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022406638,0.0,0.04564315,0.5751037,0.19087136,0.0,0.0,0.0,0.0,0.0,0.021576762,0.0,0.0,0.0,0.0,0.0,0.0132780075,0.028215766,0.0,0.0,0.0,0.022406638,0.08049791,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04092228,0.0,0.010688655,0.014811423,0.7604215,0.0,0.0,0.0,0.0,0.0,0.09955718,0.02885937,0.0,0.015422204,0.0,0.012368302,0.016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135211265,0.68338025,0.11042253,0.01915493,0.0067605632,0.016901407,0.13464788,0.0,0.0,0.0,0.0,0.0,0.0067605632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008450704
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015280135,0.08828522,0.58064514,0.07470289,0.017826824,0.033955853,0.17487267,0.0,0.0,0.0076400675,0.0,0.0,0.0067911716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017970402,0.01268499,0.062367868,0.46723044,0.13002114,0.044397462,0.24418606,0.0,0.010570824,0.010570824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.049804688,0.41015622,0.011718751,0.41601562,0.0087890625,0.027343748,0.032226562,0.0,0.0,0.012695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02117061,0.0124533,0.02241594,0.04358655,0.02117061,0.41095892,0.4495641,0.00871731,0.0,0.00996264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
