source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
30,0.025356548,0.026287457,0.02328518,0.024702862,0.026037391,0.02551665,0.02401372,0.025692226,0.024498047,0.025417753,0.025189854,0.025701012,0.025112461,0.026125828,0.024342055,0.025358062,0.023881353,0.025016418,0.025018424,0.026299048,0.024124831,0.025751648,0.02258144,0.023556562,0.024804227,0.02211694,0.023833033,0.025135022,0.02463937,0.025315039,0.026355963,0.025582904,0.025436975,0.02489255,0.025826845,0.025445946,0.025616825,0.026008768,0.025012892,0.02510979
31,0.025231218,0.025090622,0.024546633,0.025283195,0.025411788,0.025396418,0.02503801,0.025354305,0.024818761,0.025457216,0.025184335,0.025360325,0.025382767,0.02534376,0.025065456,0.024760768,0.024721857,0.025462441,0.025452636,0.024970159,0.02510022,0.025220439,0.022897076,0.024234874,0.025362005,0.023923256,0.024371842,0.02528397,0.024954256,0.024806023,0.0248077,0.025557335,0.02517284,0.024712518,0.025213458,0.02428352,0.025007637,0.025442496,0.025260137,0.025055775
32,0.024529336,0.024956224,0.024083901,0.024828931,0.025138328,0.025267478,0.024361376,0.025258582,0.02509202,0.025237478,0.025317358,0.025362147,0.025245313,0.02507707,0.024941953,0.025334928,0.024854707,0.024779657,0.025090575,0.024785047,0.02480923,0.025304137,0.024193961,0.024335394,0.025080903,0.023660835,0.02500045,0.025264451,0.025346968,0.02532901,0.02459669,0.025101906,0.025485318,0.025364734,0.025376422,0.024875503,0.025417158,0.02523949,0.025248403,0.025426636
33,0.024161542,0.024727907,0.023985092,0.02469616,0.024949744,0.025207182,0.024170736,0.025190854,0.025293583,0.025138473,0.02536604,0.02531169,0.025228119,0.024846867,0.02498766,0.025538072,0.025025854,0.024491413,0.024974003,0.02455163,0.024784464,0.025275445,0.024875585,0.024321493,0.025010794,0.023793811,0.025349084,0.025244493,0.025580443,0.02553233,0.024293419,0.02487136,0.025599908,0.02572161,0.0253736,0.02503661,0.025545536,0.025070077,0.02528925,0.02558815
34,0.024772745,0.025234435,0.023925407,0.024814196,0.02533221,0.025334356,0.024274774,0.0253728,0.02494977,0.025304697,0.025337646,0.025485707,0.02525275,0.0253245,0.024783015,0.025306594,0.024707839,0.02481577,0.025055839,0.025169568,0.024588235,0.025371954,0.023806967,0.024260502,0.024980439,0.023314022,0.02471755,0.025243793,0.025134517,0.025369536,0.025025947,0.025195029,0.025429534,0.025193123,0.025538657,0.025077604,0.025360035,0.025408467,0.025166579,0.025262907
35,0.024845934,0.02543987,0.023853177,0.024678394,0.025275672,0.025463631,0.02392385,0.02558829,0.025381012,0.025238255,0.025541678,0.025589338,0.025110623,0.025455637,0.024805328,0.02532597,0.024523009,0.024274446,0.024602126,0.02549502,0.024127483,0.025081048,0.024039788,0.023850527,0.024745334,0.023131834,0.025065407,0.024725892,0.025021793,0.025506666,0.025242308,0.024841934,0.025519442,0.025448766,0.025673041,0.026145043,0.025600871,0.025371064,0.025305528,0.025144883
36,0.024500497,0.02525639,0.023753515,0.024665218,0.02530095,0.025289435,0.024108274,0.02532934,0.025024185,0.025198402,0.025291288,0.025401738,0.025144376,0.025251925,0.02479037,0.025504861,0.024605416,0.02466028,0.024990387,0.02507694,0.024634007,0.02544967,0.024167946,0.024108462,0.024971116,0.023237232,0.024896957,0.02520491,0.025314445,0.025410796,0.024935253,0.025102934,0.025586113,0.02547911,0.025475293,0.02512076,0.025654728,0.025372775,0.025215834,0.025517961
37,0.025129551,0.025421984,0.024079774,0.025010603,0.02554105,0.025415188,0.024581315,0.025449261,0.024802828,0.025397094,0.025230022,0.02546512,0.025267767,0.02552474,0.024833336,0.02505016,0.024493726,0.025157847,0.025223663,0.025342857,0.024734838,0.0253742,0.02307792,0.024035806,0.025127454,0.023340208,0.024362994,0.025202319,0.024932828,0.025066763,0.025226556,0.025448442,0.025316726,0.024915785,0.025432993,0.02480655,0.02528236,0.025563307,0.02519396,0.025140062
38,0.024967851,0.024614686,0.024911964,0.025296748,0.024995465,0.025377769,0.02504216,0.0253031,0.025327722,0.025356915,0.025367178,0.02527287,0.025372848,0.024968905,0.025366088,0.024703883,0.025048707,0.025076667,0.02523425,0.024502464,0.02515468,0.024824305,0.023651533,0.024339847,0.025364313,0.02455094,0.025062487,0.025022618,0.02516452,0.02485283,0.024154909,0.02515594,0.025215305,0.025024086,0.025081096,0.024634654,0.025016489,0.025084171,0.025451912,0.025085049
39,0.0242915,0.024806855,0.024037585,0.024764178,0.02507156,0.02518022,0.02434482,0.025136571,0.025023142,0.025180815,0.025282186,0.025285685,0.025241677,0.024926158,0.024946695,0.02544237,0.024986306,0.024786778,0.025171226,0.02456526,0.024980735,0.025392074,0.024509065,0.024574874,0.025126299,0.023751618,0.025078204,0.025412792,0.025511298,0.025339853,0.024383884,0.02509175,0.025535097,0.025461232,0.025317682,0.02461495,0.025457589,0.025170278,0.02522512,0.025594031
